 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	
day	psi	F	**	**	
         0	   2999.93	       530	646287	0	
    0.0001	   3000.26	       530	646287	4.9548	
0.000195588	   3000.53	       530	646286	9.28226	
0.000293607	   3000.78	       530	646286	13.3815	
0.000395845	   3001.03	       530	646285	17.3217	
0.000503548	   3001.28	       530	646285	21.1344	
0.000617956	   3001.53	       530	646284	24.8399	
0.000740398	   3001.74	       530	646284	28.4787	
0.000875619	   3001.97	       530	646283	32.1398	
0.00102476	    3002.2	       530	646282	35.792	
0.00118954	   3002.42	       530	646282	39.4145	
0.00137239	   3002.66	       530	646281	42.994	
0.00157662	   3002.89	       530	646281	46.5241	
0.00180673	   3003.12	       530	646280	50.0034	
0.00206878	   3003.33	       530	646280	53.477	
0.00237694	   3003.55	       530	646279	57.0128	
0.00274199	   3003.78	       530	646279	60.5964	
0.00317977	   3004.02	       530	646278	64.2373	
0.00371377	   3004.27	       530	646278	67.9752	
0.00437926	   3004.53	       530	646277	71.8921	
0.00522993	   3004.82	       530	646276	76.1329	
0.00634861	   3005.15	       530	646276	80.9354	
0.00779432	   3005.52	       530	646275	86.4239	
0.00962519	   3005.94	       530	646274	92.7339	
 0.0119113	   3006.43	       530	646272	100.017	
 0.0147444	      3007	       530	646271	108.435	
 0.0182494	   3007.65	       530	646269	118.175	
 0.0225997	    3008.4	       530	646267	129.471	
 0.0280385	   3009.26	       530	646265	142.64	
 0.0348866	   3010.27	       530	646262	158.062	
 0.0434992	   3011.44	       530	646259	176.067	
 0.0544085	   3012.78	       530	646255	197.228	
 0.0684575	   3014.33	       530	646250	222.447	
  0.086951	   3016.13	       530	646244	253.097	
  0.111864	   3018.22	       530	646236	291.161	
  0.145741	   3021.59	       530	646225	351.45	
  0.185969	   3026.84	       530	646213	440.997	
  0.223409	   3031.86	       530	646203	526.863	
  0.261159	   3036.78	       530	646192	613.011	
   0.30187	   3041.83	       530	646181	703.921	
  0.347891	   3047.11	       530	646169	803.41	
  0.401749	   3052.71	       530	646156	915.382	
  0.466635	    3059.4	       530	646140	1053.74	
  0.547095	   3068.93	       530	646120	1249.38	
  0.627807	   3078.66	       530	646101	1450.64	
  0.714691	   3088.72	       530	646080	1666.2	
  0.809361	   3098.85	       530	646059	1895.33	
  0.914403	   3109.92	       530	646036	2155.68	
   1.03433	   3123.52	       530	646009	2480.38	
   1.16359	   3138.37	       530	645981	2839.04	
   1.30897	    3154.4	       530	645950	3242.43	
   1.46861	    3172.1	       530	645917	3707.11	
   1.64823	   3193.01	       530	645880	4269.18	
   1.84812	   3216.57	       530	645838	4913.2	
   2.07388	   3243.09	       530	645794	5663.72	
   2.31669	   3271.84	       530	645746	6500.09	
   2.57473	   3302.05	       530	645696	7402.57	
    2.8438	   3332.32	       530	645644	8346.57	
    3.1231	   3362.06	       530	645590	9327.42	
    3.4073	   3391.23	       530	645534	10323.7	
   3.69443	   3419.78	       530	645478	11322.9	
    3.9881	   3448.04	       530	645420	12333.4	
   4.28782	    3475.9	       530	645359	13350.7	
   4.59815	   3503.82	       530	645296	14387.1	
      4.92	   3531.83	       530	645229	15442.2	
   5.25625	   3560.23	       530	645158	16521.8	
   5.61409	   3589.51	       530	645080	17644.4	
    6.0091	   3620.63	       530	644991	18852	
   6.45243	   3653.24	       530	644888	20175.4	
    6.9828	   3689.22	       530	644758	21726	
   7.58272	   3728.94	       530	644600	23429.4	
   8.29875	   3774.39	       530	644406	25392.2	
   9.15199	    3825.4	       530	644157	27657.2	
   10.1273	   3880.94	       530	643850	30158.5	
   11.1273	   3934.97	       530	643511	32636.1	
   12.1273	   3986.03	       530	643147	35037.5	
   13.1273	   4034.46	       530	642760	37370.9	
   14.1273	   4080.34	       530	642349	39644.4	
   15.1273	   4124.16	       530	641912	41862.1	
   16.1273	   4166.06	       530	641453	44026.5	
   17.1273	   4206.03	       530	640973	46142.5	
   18.1273	   4244.73	       530	640474	48207.4	
   19.1273	   4281.56	       530	639955	50222.8	
   20.1273	   4316.36	       530	639416	52193.9	
   21.1273	   4349.65	       530	638858	54122.1	
   22.1273	    4381.5	       530	638285	56007.2	
   23.1273	   4411.97	       530	637693	57848.7	
   24.1273	   4440.98	       530	637088	59647.1	
   25.1273	   4468.15	       530	636465	61405	
   26.1273	   4493.73	       530	635828	63125.7	
   27.1273	   4518.29	       530	635175	64809.1	
   28.1273	    4541.8	       530	634509	66455.9	
   29.1273	   4564.29	       530	633830	68066.6	
   30.1273	   4585.65	       530	633141	69642.8	
   31.1273	    4605.8	       530	632440	71187.1	
   32.1273	   4625.05	       530	631727	72700.2	
   33.1273	   4643.21	       530	631004	74184.4	
   34.1273	   4660.48	       530	630272	75641.4	
   35.1273	   4676.96	       530	629530	77071.5	
   36.1273	   4692.63	       530	628780	78475.7	
   37.1273	   4707.37	       530	628023	79856.2	
   38.1273	   4721.41	       530	627256	81213.8	
   39.1273	   4734.75	       530	626483	82549.3	
   40.1273	   4747.12	       530	625701	83869	
   41.1273	   4758.98	       530	624912	85173.8	
   42.1273	   4769.65	       530	624117	86471.4	
   43.1273	   4780.16	       530	623315	87760.6	
   44.1273	   4790.36	       530	622507	89041	
   45.1273	   4800.34	       530	621692	90311.9	
   46.1273	   4809.88	       530	620871	91573.8	
   47.1273	   4819.16	       530	620044	92826	
   48.1273	   4828.15	       530	619212	94068.2	
   49.1273	   4836.74	       530	618375	95300.8	
   50.1273	   4845.05	       530	617532	96523.5	
   51.1273	   4852.82	       530	616684	97738.6	
   52.1273	   4860.35	       530	615832	98946	
   53.1273	   4867.67	       530	614975	100145	
   54.1273	   4874.76	       530	614115	101337	
   55.1273	    4881.6	       530	613249	102520	
   56.1273	   4888.16	       530	612380	103696	
   57.1273	   4894.53	       530	611506	104864	
   58.1273	   4900.66	       530	610629	106025	
   59.1273	   4906.57	       530	609749	107179	
   60.1273	   4912.26	       530	608865	108325	
   61.1273	   4917.56	       530	607978	109465	
   62.1273	   4922.62	       530	607087	110600	
   63.1273	   4927.47	       530	606194	111728	
   64.1273	   4932.12	       530	605298	112851	
   65.1273	   4936.59	       530	604399	113968	
   66.1273	   4940.87	       530	603498	115079	
   67.1273	   4944.95	       530	602594	116185	
   68.1273	   4948.91	       530	601688	117285	
   69.1273	   4952.68	       530	600780	118380	
   70.1273	    4956.3	       530	599869	119470	
   71.1273	   4959.76	       530	598957	120554	
   72.1273	   4963.08	       530	598042	121635	
   73.1273	   4966.24	       530	597129	122710	
   74.1273	   4969.25	       530	596211	123781	
   75.1273	    4972.1	       530	595292	124847	
   76.1273	   4974.81	       530	594371	125909	
   77.1273	   4977.23	       530	593448	126969	
   78.1273	   4979.54	       530	592524	128028	
   79.1273	   4981.81	       530	591599	129085	
   80.1273	   4984.04	       530	590672	130142	
   81.1273	   4986.24	       530	589744	131197	
   82.1273	   4988.41	       530	588814	132252	
   83.1273	   4990.52	       530	587883	133305	
   84.1273	   4992.58	       530	586951	134357	
   85.1273	   4994.58	       530	586017	135407	
   86.1273	   4996.53	       530	585082	136455	
   87.1273	   4998.42	       530	584146	137502	
   88.1273	   5000.25	       530	583209	138548	
