Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	6000      	70        	0         	-139.791  	
0.000195588	6000      	70        	0         	-129.22   	
0.000293607	6000      	70        	0         	-119.376  	
0.000395845	6000      	70        	0         	-110.011  	
0.000503548	6000      	70        	0         	-101.052  	
0.000617956	6000      	70        	0         	-92.4597  	
0.000740398	6000      	70        	0         	-84.8401  	
0.000875619	6000      	70        	0         	-77.2988  	
0.00102476	6000      	70        	0         	-69.9209  	
0.00118954	6000      	70        	0         	-62.7718  	
0.00137239	6000      	70        	0         	-55.904   	
0.00157662	6000      	70        	0         	-49.3622  	
0.00180673	6000      	70        	0         	-43.1878  	
0.00206878	6000      	70        	0         	-37.8605  	
0.00237694	6000      	70        	0         	-32.7779  	
0.00274199	6000      	70        	0         	-28.0492  	
0.00317977	6000      	70        	0         	-23.7662  	
0.00371377	6000      	70        	0         	-20.0052  	
0.00437926	6000      	70        	0         	-16.8237  	
0.00522993	6000      	70        	0         	-14.2511  	
0.00634861	6000      	70        	0         	-12.2721  	
0.00779432	6000      	70        	0         	-10.8511  	
0.00962519	6000      	70        	0         	-9.84876  	
0.0119113 	6000      	70        	0         	-9.10249  	
0.0147444 	6000      	70        	0         	-8.4893   	
0.0182494 	6000      	70        	0         	-7.9389   	
0.0225997 	6000      	70        	0         	-7.41938  	
0.0280385 	6000      	70        	0         	-6.91916  	
0.0348866 	6000      	70        	0         	-6.43627  	
0.0434992 	6000      	70        	0         	-5.97507  	
0.0544085 	6000      	70        	0         	-5.54345  	
0.0684575 	6000      	70        	0         	-5.12966  	
0.086951  	6000      	70        	0         	-4.73476  	
0.111864  	6000      	70        	0         	-4.36256  	
0.145741  	6000      	70        	0         	-5.07316  	
0.185969  	6000      	70        	0         	-6.06799  	
0.223409  	6000      	70        	0         	-6.36989  	
0.261159  	6000      	70        	0         	-6.39723  	
0.30187   	6000      	70        	0         	-6.2866   	
0.347891  	6000      	70        	0         	-6.10009  	
0.401749  	6000      	70        	0         	-5.87469  	
0.466635  	6000      	70        	0         	-6.0888   	
0.547095  	6000      	70        	0         	-6.96403  	
0.627807  	6000      	70        	0         	-7.08869  	
0.714691  	6000      	70        	0         	-7.05138  	
0.809361  	6000      	70        	0         	-6.87785  	
0.914403  	6000      	70        	0         	-7.07551  	
1.03433   	6000      	70        	0         	-7.74034  	
1.16359   	6000      	70        	0         	-7.91005  	
1.30897   	6000      	70        	0         	-7.90446  	
1.46861   	6000      	70        	0         	-8.30959  	
1.64823   	6000      	70        	0         	-8.94106  	
1.84812   	6000      	70        	0         	-9.19261  	
2.07388   	6000      	70        	0         	-9.48889  	
2.31669   	6000      	70        	0         	-9.83191  	
2.57473   	6000      	70        	0         	-9.98265  	
2.8438    	6000      	70        	0         	-10.0138  	
3.1231    	6000      	70        	0         	-10.0239  	
3.4073    	6000      	70        	0         	-10.0057  	
3.69443   	6000      	70        	0         	-9.93309  	
3.9881    	6000      	70        	0         	-9.82136  	
4.28782   	6000      	70        	0         	-9.68774  	
4.59815   	6000      	70        	0         	-9.53189  	
4.92      	6000      	70        	0         	-9.3575   	
5.25625   	6000      	70        	0         	-9.1645   	
5.61409   	6000      	70        	0         	-8.95377  	
6.0091    	6000      	70        	0         	-8.72671  	
6.45243   	6000      	70        	0         	-8.52007  	
6.9828    	6000      	70        	0         	-8.34315  	
7.58272   	6000      	70        	0         	-8.103    	
8.29875   	6000      	70        	0         	-7.82386  	
9.15199   	6000      	70        	0         	-7.57725  	
10.1273   	6000      	70        	0         	-7.32005  	
11.1273   	6000      	70        	0         	-7.07162  	
12.1273   	6000      	70        	0         	-6.85451  	
13.1273   	6000      	70        	0         	-6.66015  	
14.1273   	6000      	70        	0         	-6.48906  	
15.1273   	6000      	70        	0         	-6.32903  	
16.1273   	6000      	70        	0         	-6.17712  	
17.1273   	6000      	70        	0         	-6.03861  	
18.1273   	6000      	70        	0         	-5.89313  	
19.1273   	6000      	70        	0         	-5.75245  	
20.1273   	6000      	70        	0         	-5.6262   	
21.1273   	6000      	70        	0         	-5.50288  	
22.1273   	6000      	70        	0         	-5.38011  	
23.1273   	6000      	70        	0         	-5.2555   	
24.1273   	6000      	70        	0         	-5.13257  	
25.1273   	6000      	70        	0         	-5.01714  	
26.1273   	6000      	70        	0         	-4.9109   	
27.1273   	6000      	70        	0         	-4.80455  	
28.1273   	6000      	70        	0         	-4.69998  	
29.1273   	6000      	70        	0         	-4.59709  	
30.1273   	6000      	70        	0         	-4.49873  	
31.1273   	6000      	70        	0         	-4.40743  	
32.1273   	6000      	70        	0         	-4.31862  	
33.1273   	6000      	70        	0         	-4.23621  	
34.1273   	6000      	70        	0         	-4.15827  	
35.1273   	6000      	70        	0         	-4.08171  	
36.1273   	6000      	70        	0         	-4.00776  	
37.1273   	6000      	70        	0         	-3.94012  	
38.1273   	6000      	70        	0         	-3.8748   	
39.1273   	6000      	70        	0         	-3.81198  	
40.1273   	6000      	70        	0         	-3.76644  	
41.1273   	6000      	70        	0         	-3.72413  	
42.1273   	6000      	70        	0         	-3.70363  	
43.1273   	6000      	70        	0         	-3.67962  	
44.1273   	6000      	70        	0         	-3.65465  	
45.1273   	6000      	70        	0         	-3.62742  	
46.1273   	6000      	70        	0         	-3.6015   	
47.1273   	6000      	70        	0         	-3.57406  	
48.1273   	6000      	70        	0         	-3.54562  	
49.1273   	6000      	70        	0         	-3.51802  	
50.1273   	6000      	70        	0         	-3.48984  	
51.1273   	6000      	70        	0         	-3.46807  	
52.1273   	6000      	70        	0         	-3.44607  	
53.1273   	6000      	70        	0         	-3.42351  	
54.1273   	6000      	70        	0         	-3.40057  	
55.1273   	6000      	70        	0         	-3.37745  	
56.1273   	6000      	70        	0         	-3.35513  	
57.1273   	6000      	70        	0         	-3.33457  	
58.1273   	6000      	70        	0         	-3.31375  	
59.1273   	6000      	70        	0         	-3.29279  	
60.1273   	6000      	70        	0         	-3.27185  	
61.1273   	6000      	70        	0         	-3.25481  	
62.1273   	6000      	70        	0         	-3.23818  	
63.1273   	6000      	70        	0         	-3.22149  	
64.1273   	6000      	70        	0         	-3.20473  	
65.1273   	6000      	70        	0         	-3.18794  	
66.1273   	6000      	70        	0         	-3.17119  	
67.1273   	6000      	70        	0         	-3.15474  	
68.1273   	6000      	70        	0         	-3.14003  	
69.1273   	6000      	70        	0         	-3.12544  	
70.1273   	6000      	70        	0         	-3.11091  	
71.1273   	6000      	70        	0         	-3.09649  	
72.1273   	6000      	70        	0         	-3.08275  	
73.1273   	6000      	70        	0         	-3.06943  	
74.1273   	6000      	70        	0         	-3.05631  	
75.1273   	6000      	70        	0         	-3.04344  	
76.1273   	6000      	70        	0         	-3.03081  	
77.1273   	6000      	70        	0         	-3.02546  	
78.1273   	6000      	70        	0         	-3.02174  	
79.1273   	6000      	70        	0         	-3.01864  	
80.1273   	6000      	70        	0         	-3.01581  	
81.1273   	6000      	70        	0         	-3.01291  	
82.1273   	6000      	70        	0         	-3.0098   	
83.1273   	6000      	70        	0         	-3.00605  	
84.1273   	6000      	70        	0         	-3.00168  	
85.1273   	6000      	70        	0         	-2.9973   	
86.1273   	6000      	70        	0         	-2.9926   	
87.1273   	6000      	70        	0         	-2.98823  	
88.1273   	6000      	70        	0         	-2.9842   	
89.1273   	6000      	70        	0         	-2.97968  	
90.1273   	6000      	70        	0         	-2.97469  	
91.1273   	6000      	70        	0         	-2.97     	
92.1273   	6000      	70        	0         	-2.96605  	
93.1273   	6000      	70        	0         	-2.96235  	
94.1273   	6000      	70        	0         	-2.95893  	
95.1273   	6000      	70        	0         	-2.95522  	
96.1273   	6000      	70        	0         	-2.95112  	
97.1273   	6000      	70        	0         	-2.94946  	
98.1273   	6000      	70        	0         	-2.94805  	
99.1273   	6000      	70        	0         	-2.94633  	
100.127   	6000      	70        	0         	-2.94416  	
101.127   	6000      	70        	0         	-2.94206  	
102.127   	6000      	70        	0         	-2.93976  	
103.127   	6000      	70        	0         	-2.93714  	
104.127   	6000      	70        	0         	-2.93441  	
105.127   	6000      	70        	0         	-2.93449  	
106.127   	6000      	70        	0         	-2.93459  	
107.127   	6000      	70        	0         	-2.93487  	
108.127   	6000      	70        	0         	-2.93532  	
109.127   	6000      	70        	0         	-2.93585  	
110.127   	6000      	70        	0         	-2.93602  	
111.127   	6000      	70        	0         	-2.93857  	
112.127   	6000      	70        	0         	-2.94137  	
113.127   	6000      	70        	0         	-2.94362  	
114.127   	6000      	70        	0         	-2.94527  	
115.127   	6000      	70        	0         	-2.94638  	
116.127   	6000      	70        	0         	-2.94702  	
117.127   	6000      	70        	0         	-2.94755  	
118.127   	6000      	70        	0         	-2.94788  	
119.127   	6000      	70        	0         	-2.94825  	
120.127   	6000      	70        	0         	-2.94845  	
121.127   	6000      	70        	0         	-2.94894  	
122.127   	6000      	70        	0         	-2.94937  	
123.127   	6000      	70        	0         	-2.94965  	
124.127   	6000      	70        	0         	-2.94986  	
125.127   	6000      	70        	0         	-2.94997  	
126.127   	6000      	70        	0         	-2.95001  	
127.127   	6000      	70        	0         	-2.94983  	
128.127   	6000      	70        	0         	-2.94943  	
129.127   	6000      	70        	0         	-2.94881  	
130.127   	6000      	70        	0         	-2.94797  	
131.127   	6000      	70        	0         	-2.94693  	
132.127   	6000      	70        	0         	-2.94568  	
133.127   	6000      	70        	0         	-2.94426  	
134.127   	6000      	70        	0         	-2.94266  	
135.127   	6000      	70        	0         	-2.94097  	
136.127   	6000      	70        	0         	-2.93918  	
137.127   	6000      	70        	0         	-2.93726  	
138.127   	6000      	70        	0         	-2.93529  	
139.127   	6000      	70        	0         	-2.93324  	
140.127   	6000      	70        	0         	-2.93111  	
141.127   	6000      	70        	0         	-2.9289   	
142.127   	6000      	70        	0         	-2.92659  	
143.127   	6000      	70        	0         	-2.92431  	
144.127   	6000      	70        	0         	-2.92199  	
145.127   	6000      	70        	0         	-2.91963  	
146.127   	6000      	70        	0         	-2.91731  	
147.127   	6000      	70        	0         	-2.915    	
148.127   	6000      	70        	0         	-2.91268  	
149.127   	6000      	70        	0         	-2.91028  	
150.127   	6000      	70        	0         	-2.9078   	
151.127   	6000      	70        	0         	-2.90524  	
152.127   	6000      	70        	0         	-2.90264  	
153.127   	6000      	70        	0         	-2.90005  	
154.127   	6000      	70        	0         	-2.89747  	
155.127   	6000      	70        	0         	-2.89486  	
156.127   	6000      	70        	0         	-2.89219  	
157.127   	6000      	70        	0         	-2.88943  	
158.127   	6000      	70        	0         	-2.88658  	
159.127   	6000      	70        	0         	-2.88365  	
160.127   	6000      	70        	0         	-2.88063  	
161.127   	6000      	70        	0         	-2.87756  	
162.127   	6000      	70        	0         	-2.87443  	
163.127   	6000      	70        	0         	-2.87121  	
164.127   	6000      	70        	0         	-2.8679   	
165.127   	6000      	70        	0         	-2.86455  	
166.127   	6000      	70        	0         	-2.86111  	
167.127   	6000      	70        	0         	-2.85765  	
168.127   	6000      	70        	0         	-2.85409  	
169.127   	6000      	70        	0         	-2.8504   	
170.127   	6000      	70        	0         	-2.84702  	
171.127   	6000      	70        	0         	-2.84371  	
172.127   	6000      	70        	0         	-2.84037  	
173.127   	6000      	70        	0         	-2.83694  	
174.127   	6000      	70        	0         	-2.83336  	
175.127   	6000      	70        	0         	-2.82958  	
176.127   	6000      	70        	0         	-2.82558  	
177.127   	6000      	70        	0         	-2.82138  	
178.127   	6000      	70        	0         	-2.81702  	
179.127   	6000      	70        	0         	-2.81245  	
