Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	2500      	70        	22.5132   	0         	
0.000195588	2500      	70        	20.8716   	0         	
0.000293607	2500      	70        	19.3313   	0         	
0.000395845	2500      	70        	17.8658   	0         	
0.000503548	2500      	70        	16.4633   	0         	
0.000617956	2500      	70        	15.117    	0         	
0.000740398	2500      	70        	13.8229   	0         	
0.000875619	2500      	70        	12.5521   	0         	
0.00102476	2500      	70        	11.3191   	0         	
0.00118954	2500      	70        	10.1346   	0         	
0.00137239	2500      	70        	9.00721   	0         	
0.00157662	2500      	70        	7.94367   	0         	
0.00180673	2500      	70        	6.95014   	0         	
0.00206878	2500      	70        	6.0325    	0         	
0.00237694	2500      	70        	5.18398   	0         	
0.00274199	2500      	70        	4.42175   	0         	
0.00317977	2500      	70        	3.75791   	0         	
0.00371377	2500      	70        	3.19981   	0         	
0.00437926	2500      	70        	2.74959   	0         	
0.00522993	2500      	70        	2.40293   	0         	
0.00634861	2500      	70        	2.14763   	0         	
0.00779432	2500      	70        	1.96845   	0         	
0.00962519	2500      	70        	1.83998   	0         	
0.0119113 	2500      	70        	1.73892   	0         	
0.0147444 	2500      	70        	1.65051   	0         	
0.0182494 	2500      	70        	1.56776   	0         	
0.0225997 	2500      	70        	1.48824   	0         	
0.0280385 	2500      	70        	1.41144   	0         	
0.0348866 	2500      	70        	1.33758   	0         	
0.0434992 	2500      	70        	1.2674    	0         	
0.0544085 	2500      	70        	1.20096   	0         	
0.0684575 	2500      	70        	1.13775   	0         	
0.086951  	2500      	70        	1.07713   	0         	
0.111864  	2500      	70        	1.01861   	0         	
0.145741  	2500      	70        	0.962528  	0         	
0.185969  	2500      	70        	0.914544  	0         	
0.223409  	2500      	70        	0.880103  	0         	
0.261159  	2500      	70        	0.852322  	0         	
0.30187   	2500      	70        	0.827952  	0         	
0.347891  	2500      	70        	0.805418  	0         	
