Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	6000      	70        	0         	-78.8574  	
0.000134346	6000      	70        	0         	-62.6543  	
0.000163104	6000      	70        	0         	-51.556   	
0.000190786	6000      	70        	0         	-42.7807  	
0.000219404	6000      	70        	0         	-35.9486  	
0.000251071	6000      	70        	0         	-29.7869  	
0.0002869 	6000      	70        	0         	-24.2379  	
0.000328315	6000      	70        	0         	-19.2877  	
0.000377267	6000      	70        	0         	-14.9499  	
0.00043655	6000      	70        	0         	-11.2542  	
0.000510322	6000      	70        	0         	-8.23455  	
0.000604956	6000      	70        	0         	-5.91232  	
0.000730444	6000      	70        	0         	-4.27329  	
0.000902654	6000      	70        	0         	-3.24329  	
0.00114243	6000      	70        	0         	-2.68401  	
0.00146868	6000      	70        	0         	-2.41381  	
0.00190173	6000      	70        	0         	-2.27254  	
0.00246291	6000      	70        	0         	-2.1707   	
0.00317511	6000      	70        	0         	-2.07394  	
0.00406473	6000      	70        	0         	-1.97392  	
0.00516484	6000      	70        	0         	-1.8707   	
0.00651954	6000      	70        	0         	-1.76603  	
0.00818925	6000      	70        	0         	-1.66146  	
0.0102576 	6000      	70        	0         	-1.55792  	
0.0128409 	6000      	70        	0         	-1.4559   	
0.0160717 	6000      	70        	0         	-1.35632  	
0.0200866 	6000      	70        	0         	-1.26277  	
0.0251007 	6000      	70        	0         	-1.17219  	
0.0314378 	6000      	70        	0         	-1.08535  	
0.0396022 	6000      	70        	0         	-1.00289  	
0.0504124 	6000      	70        	0         	-0.925334 	
0.0651067 	6000      	70        	0         	-1.01164  	
0.0835378 	6000      	70        	0         	-1.23273  	
0.100905  	6000      	70        	0         	-1.30461  	
0.118374  	6000      	70        	0         	-1.31389  	
0.137157  	6000      	70        	0         	-1.2928   	
0.158348  	6000      	70        	0         	-1.25846  	
0.183226  	6000      	70        	0         	-1.21068  	
0.213093  	6000      	70        	0         	-1.15618  	
0.249776  	6000      	70        	0         	-1.39184  	
0.286987  	6000      	70        	0         	-1.44134  	
0.327029  	6000      	70        	0         	-1.45056  	
0.370612  	6000      	70        	0         	-1.4255   	
0.418809  	6000      	70        	0         	-1.37901  	
0.473121  	6000      	70        	0         	-1.36623  	
0.535906  	6000      	70        	0         	-1.48863  	
0.603662  	6000      	70        	0         	-1.59471  	
0.67828   	6000      	70        	0         	-1.61743  	
0.75995   	6000      	70        	0         	-1.65176  	
0.852406  	6000      	70        	0         	-1.79552  	
0.954608  	6000      	70        	0         	-1.88515  	
1.06691   	6000      	70        	0         	-1.95422  	
1.18969   	6000      	70        	0         	-2.00994  	
1.32234   	6000      	70        	0         	-2.03395  	
1.46488   	6000      	70        	0         	-2.03882  	
1.61308   	6000      	70        	0         	-2.03862  	
1.76317   	6000      	70        	0         	-2.02981  	
1.91428   	6000      	70        	0         	-2.01108  	
2.06799   	6000      	70        	0         	-1.98573  	
2.22391   	6000      	70        	0         	-1.95606  	
2.38418   	6000      	70        	0         	-1.92276  	
2.54962   	6000      	70        	0         	-1.8883   	
2.72184   	6000      	70        	0         	-1.85545  	
2.90497   	6000      	70        	0         	-1.81769  	
3.1061    	6000      	70        	0         	-1.77508  	
3.33819   	6000      	70        	0         	-1.73501  	
3.60047   	6000      	70        	0         	-1.69134  	
3.89446   	6000      	70        	0         	-1.63752  	
4.24604   	6000      	70        	0         	-1.59309  	
4.64179   	6000      	70        	0         	-1.55321  	
5.09975   	6000      	70        	0         	-1.51045  	
5.61703   	6000      	70        	0         	-1.46474  	
6.20852   	6000      	70        	0         	-1.41561  	
6.87659   	6000      	70        	0         	-1.36673  	
7.63018   	6000      	70        	0         	-1.31431  	
8.48487   	6000      	70        	0         	-1.26071  	
