Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	2500      	70        	13.4563   	0         	
0.000134346	2500      	70        	10.5548   	0         	
0.000163104	2500      	70        	8.60349   	0         	
0.000190786	2500      	70        	7.08137   	0         	
0.000219404	2500      	70        	5.81291   	0         	
0.000251071	2500      	70        	4.70318   	0         	
0.0002869 	2500      	70        	3.73611   	0         	
0.000328315	2500      	70        	2.90406   	0         	
0.000377267	2500      	70        	2.20381   	0         	
0.00043655	2500      	70        	1.63388   	0         	
0.000510322	2500      	70        	1.19192   	0         	
0.000604956	2500      	70        	0.871795  	0         	
0.000730444	2500      	70        	0.660713  	0         	
0.000902654	2500      	70        	0.537472  	0         	
0.00114243	2500      	70        	0.474758  	0         	
0.00146868	2500      	70        	0.444704  	0         	
0.00190173	2500      	70        	0.427022  	0         	
0.00246291	2500      	70        	0.412029  	0         	
0.00317511	2500      	70        	0.396632  	0         	
0.00406473	2500      	70        	0.380371  	0         	
0.00516484	2500      	70        	0.36351   	0         	
0.00651954	2500      	70        	0.346413  	0         	
0.00818925	2500      	70        	0.32939   	0         	
0.0102576 	2500      	70        	0.31267   	0         	
0.0128409 	2500      	70        	0.296413  	0         	
0.0160717 	2500      	70        	0.280825  	0         	
0.0200866 	2500      	70        	0.266129  	0         	
0.0251007 	2500      	70        	0.252313  	0         	
0.0314378 	2500      	70        	0.239254  	0         	
0.0396022 	2500      	70        	0.226772  	0         	
0.0504124 	2500      	70        	0.214655  	0         	
0.0651067 	2500      	70        	0.202785  	0         	
0.0835378 	2500      	70        	0.192005  	0         	
0.100905  	2500      	70        	0.184177  	0         	
0.118374  	2500      	70        	0.177885  	0         	
0.137157  	2500      	70        	0.172393  	0         	
0.158348  	2500      	70        	0.167332  	0         	
0.183226  	2500      	70        	0.16249   	0         	
0.213093  	2500      	70        	0.15778   	0         	
0.249776  	2500      	70        	0.153139  	0         	
0.286987  	2500      	70        	0.149277  	0         	
0.327029  	2500      	70        	0.145837  	0         	
0.370612  	2500      	70        	0.142725  	0         	
0.418809  	2500      	70        	0.139862  	0         	
0.473121  	2500      	70        	0.13719   	0         	
0.535906  	2500      	70        	0.134655  	0         	
0.603662  	2500      	70        	0.132408  	0         	
0.67828   	2500      	70        	0.130388  	0         	
0.75995   	2500      	70        	0.1286    	0         	
0.852406  	2500      	70        	0.126999  	0         	
0.954608  	2500      	70        	0.125645  	0         	
1.06691   	2500      	70        	0.124573  	0         	
1.18969   	2500      	70        	0.123829  	0         	
1.32234   	2500      	70        	0.123468  	0         	
1.46488   	2500      	70        	0.12355   	0         	
1.61308   	2500      	70        	0.124107  	0         	
1.76317   	2500      	70        	0.125124  	0         	
1.91428   	2500      	70        	0.126575  	0         	
2.06799   	2500      	70        	0.128468  	0         	
2.22391   	2500      	70        	0.130788  	0         	
2.38418   	2500      	70        	0.133563  	0         	
2.54962   	2500      	70        	0.136806  	0         	
2.72184   	2500      	70        	0.140555  	0         	
2.90497   	2500      	70        	0.144911  	0         	
3.1061    	2500      	70        	0.150073  	0         	
3.33819   	2500      	70        	0.156454  	0         	
3.60047   	2500      	70        	0.164127  	0         	
3.89446   	2500      	70        	0.173109  	0         	
4.24604   	2500      	70        	0.184278  	0         	
4.64179   	2500      	70        	0.197171  	0         	
5.09975   	2500      	70        	0.212329  	0         	
5.61703   	2500      	70        	0.229438  	0         	
6.20852   	2500      	70        	0.248728  	0         	
6.87659   	2500      	70        	0.269884  	0         	
7.63018   	2500      	70        	0.292675  	0         	
8.48487   	2500      	70        	0.317014  	0         	
9.45374   	2500      	70        	0.342483  	0         	
10.4537   	2500      	70        	0.366572  	0         	
11.4537   	2500      	70        	0.388475  	0         	
12.4537   	2500      	70        	0.408405  	0         	
13.4537   	2500      	70        	0.426689  	0         	
14.4537   	2500      	70        	0.443686  	0         	
15.4537   	2500      	70        	0.459423  	0         	
16.4537   	2500      	70        	0.473824  	0         	
17.4537   	2500      	70        	0.487117  	3.65952e-016	
18.4537   	2500      	70        	0.499454  	1.53213e-015	
19.4537   	2500      	70        	0.51078   	5.59592e-015	
20.4537   	2500      	70        	0.521078  	1.83983e-014	
21.4537   	2500      	70        	0.530582  	5.73305e-014	
22.4537   	2500      	70        	0.539372  	1.66837e-013	
23.4537   	2500      	70        	0.547431  	4.50891e-013	
24.4537   	2500      	70        	0.554762  	1.15668e-012	
25.4537   	2500      	70        	0.56153   	2.82926e-012	
26.4537   	2500      	70        	0.567679  	6.62271e-012	
27.4537   	2500      	70        	0.573337  	1.49633e-011	
28.4537   	2500      	70        	0.578541  	3.23849e-011	
29.4537   	2500      	70        	0.583328  	6.7731e-011	
30.4537   	2500      	70        	0.587674  	1.37625e-010	
31.4537   	2500      	70        	0.591619  	2.70676e-010	
32.4537   	2500      	70        	0.59522   	5.19116e-010	
33.4537   	2500      	70        	0.598546  	9.70494e-010	
34.4537   	2500      	70        	0.601572  	1.77191e-009	
35.4537   	2500      	70        	0.604317  	3.16511e-009	
