 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	
day	psi	F	**	**	
         0	   2999.93	       530	64628.7	0	
    0.0001	   3000.64	       530	64628.4	2.96613	
0.000134346	   3000.81	       530	64628.3	3.71775	
0.000163104	   3000.92	       530	64628.2	4.23632	
0.000190786	   3001.02	       530	64628.2	4.6507	
0.000219404	    3001.1	       530	64628.1	5.01075	
0.000251071	   3001.17	       530	64628.1	5.34085	
 0.0002869	   3001.24	       530	64628	5.64473	
0.000328315	    3001.3	       530	64628	5.92423	
0.000377267	   3001.36	       530	64628	6.18025	
0.00043655	   3001.42	       530	64627.9	6.41364	
0.000510322	   3001.47	       530	64627.9	6.62613	
0.000604956	   3001.52	       530	64627.9	6.82183	
0.000730444	   3001.57	       530	64627.8	7.00941	
0.000902653	   3001.62	       530	64627.8	7.20482	
0.00114241	   3001.67	       530	64627.8	7.43004	
0.00146859	   3001.74	       530	64627.7	7.70568	
0.00190144	   3001.83	       530	64627.7	8.05012	
 0.0024621	   3001.93	       530	64627.6	8.47623	
0.00317305	   3002.06	       530	64627.5	8.99232	
 0.0040599	   3002.21	       530	64627.4	9.60473	
0.00515442	   3002.38	       530	64627.3	10.3205	
0.00649855	   3002.58	       530	64627.1	11.1497	
0.00814959	   3002.82	       530	64627	12.1072	
 0.0101869	   3003.08	       530	64626.8	13.2141	
 0.0127212	    3003.4	       530	64626.5	14.5006	
 0.0158993	   3003.76	       530	64626.3	16.0033	
 0.0198773	   3004.18	       530	64625.9	17.7548	
  0.024899	   3004.67	       530	64625.5	19.808	
 0.0313254	   3005.25	       530	64625.1	22.2418	
 0.0397155	   3005.94	       530	64624.5	25.179	
 0.0509327	   3006.78	       530	64623.7	28.8039	
 0.0662383	   3008.08	       530	64622.7	34.3139	
 0.0851499	    3010.2	       530	64621.6	42.9397	
  0.102817	   3012.28	       530	64620.5	51.2655	
   0.12061	    3014.4	       530	64619.5	59.6124	
  0.139796	   3016.63	       530	64618.4	68.4185	
  0.161508	   3019.08	       530	64617.2	78.085	
  0.187055	   3021.84	       530	64615.9	89.0038	
  0.217783	   3024.98	       530	64614.3	101.518	
  0.255579	   3029.65	       530	64612.5	120.084	
  0.291935	   3034.38	       530	64610.7	138.519	
  0.331496	   3039.58	       530	64608.8	158.63	
  0.374792	   3045.16	       530	64606.8	180.224	
  0.422899	   3051.28	       530	64604.6	203.913	
  0.477212	   3058.65	       530	64602.2	232.706	
   0.53699	   3067.31	       530	64599.5	266.352	
  0.603485	   3077.15	       530	64596.6	304.157	
  0.677365	   3088.17	       530	64593.5	346.406	
  0.758245	   3100.99	       530	64590.2	396.2	
  0.849252	   3116.35	       530	64586.4	455.446	
  0.950527	      3134	       530	64582.3	522.6	
   1.06159	   3154.19	       530	64577.9	599.559	
   1.18211	   3176.95	       530	64573.1	685.501	
   1.31055	   3201.66	       530	64568	778.018	
   1.44449	   3227.39	       530	64562.7	874.604	
   1.58145	   3253.57	       530	64557.3	973.579	
    1.7196	   3279.89	       530	64551.8	1073.1	
   1.85934	   3306.34	       530	64546.1	1172.96	
   2.00184	   3333.05	       530	64540.3	1273.64	
    2.1471	   3359.92	       530	64534.2	1374.89	
   2.29658	   3387.18	       530	64527.9	1477.46	
   2.45249	   3415.09	       530	64521.1	1582.56	
   2.61588	   3443.79	       530	64513.9	1690.69	
   2.78995	   3473.71	       530	64505.9	1803.74	
   2.98325	   3506.17	       530	64496.7	1926.56	
   3.19707	    3541.1	       530	64486.2	2059.35	
   3.44756	    3580.8	       530	64473.3	2211.12	
   3.72987	   3624.02	       530	64457.7	2377.74	
   4.06177	   3672.92	       530	64438.5	2567.79	
   4.43909	   3726.37	       530	64415.2	2778.33	
   4.86724	   3784.64	       530	64386.8	3010.96	
    5.3676	   3849.66	       530	64351	3274.94	
   5.92755	   3918.72	       530	64307.5	3560.65	
   6.56169	   3992.29	       530	64254	3873.25	
   7.26283	   4068.43	       530	64190	4206.32	
   8.04059	   4146.87	       530	64113.2	4561.85	
   8.90372	   4226.81	       530	64021.2	4939.91	
   9.87803	   4308.54	       530	63909.7	5348	
    10.878	    4384.3	       530	63787.7	5748.42	
    11.878	   4453.05	       530	63658.9	6132.41	
    12.878	   4515.92	       530	63523.9	6501.26	
    13.878	    4573.5	       530	63383.2	6856.35	
    14.878	   4626.23	       530	63237.3	7198.81	
    15.878	   4674.51	       530	63086.4	7529.49	
    16.878	   4718.65	       530	62931.1	7849.5	
    17.878	   4759.03	       530	62771.7	8159.85	
    18.878	   4795.95	       530	62608.4	8461.09	
    19.878	   4829.63	       530	62441.7	8754.1	
    20.878	   4860.39	       530	62271.8	9039.65	
    21.878	   4888.47	       530	62098.9	9318.51	
    22.878	   4914.13	       530	61923.4	9591.21	
    23.878	   4937.55	       530	61745.4	9858.19	
    24.878	   4958.89	       530	61565.1	10120.2	
    25.878	   4978.39	       530	61382.9	10377.5	
    26.878	   4996.19	       530	61198.7	10630.7	
    27.878	   5012.44	       530	61012.8	10880.1	
    28.878	   5027.24	       530	60825.3	11125.9	
    29.878	   5040.72	       530	60636.4	11368.7	
    30.878	   5053.04	       530	60446.3	11608.7	
    31.878	   5064.35	       530	60254.9	11846.2	
    32.878	   5074.67	       530	60062.4	12081.5	
    33.878	   5084.22	       530	59868.9	12314.6	
    34.878	   5092.92	       530	59674.6	12545.7	
    35.878	   5100.93	       530	59479.5	12775.3	
    36.878	   5108.31	       530	59283.6	13003.3	
    37.878	   5115.11	       530	59087	13230.1	
    38.878	   5121.42	       530	58889.7	13455.6	
    39.878	   5127.19	       530	58691.8	13680.2	
    40.878	   5132.59	       530	58493.4	13904	
    41.878	   5137.57	       530	58294.4	14127.1	
    42.878	   5142.15	       530	58094.8	14349.8	
    43.878	   5146.49	       530	57894.6	14572.2	
    44.878	   5150.62	       530	57693.8	14794.4	
    45.878	   5154.55	       530	57492.6	15016.3	
    46.878	   5158.28	       530	57290.9	15237.9	
    47.878	   5161.83	       530	57088.8	15459.1	
    48.878	   5165.22	       530	56886.4	15680.1	
    49.878	   5168.48	       530	56683.8	15900.7	
    50.878	   5171.61	       530	56481.1	16120.9	
    51.878	   5174.62	       530	56278.3	16340.8	
    52.878	   5177.52	       530	56075.7	16560.4	
    53.878	   5180.41	       530	55873.2	16779.7	
    54.878	   5183.25	       530	55670.9	16998.8	
    55.878	   5186.07	       530	55468.7	17217.5	
    56.878	   5188.87	       530	55266.9	17435.9	
    57.878	   5191.65	       530	55065.3	17653.9	
    58.878	   5194.39	       530	54864	17871.5	
    59.878	    5197.1	       530	54662.9	18088.8	
    60.878	   5199.79	       530	54462.4	18305.6	
    61.878	   5202.48	       530	54262.2	18522.1	
    62.878	   5205.18	       530	54062.5	18738.1	
    63.878	   5207.91	       530	53863.3	18953.8	
    64.878	   5210.66	       530	53664.6	19168.9	
    65.878	   5213.43	       530	53466.6	19383.6	
    66.878	   5216.26	       530	53269.3	19597.8	
    67.878	   5219.17	       530	53072.8	19811.3	
    68.878	   5222.15	       530	52877.2	20024.2	
    69.878	   5225.19	       530	52682.6	20236.4	
    70.878	   5228.37	       530	52489.2	20447.8	
