Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	6000      	70        	0         	-78.8574  	
0.000134346	6000      	70        	0         	-62.6543  	
0.000163104	6000      	70        	0         	-51.556   	
0.000190786	6000      	70        	0         	-42.7807  	
0.000219404	6000      	70        	0         	-35.9486  	
0.000251071	6000      	70        	0         	-29.7869  	
0.0002869 	6000      	70        	0         	-24.2379  	
0.000328315	6000      	70        	0         	-19.2877  	
0.000377267	6000      	70        	0         	-14.9499  	
0.00043655	6000      	70        	0         	-11.2542  	
0.000510322	6000      	70        	0         	-8.23454  	
0.000604956	6000      	70        	0         	-5.91231  	
0.000730444	6000      	70        	0         	-4.27327  	
0.000902653	6000      	70        	0         	-3.24324  	
0.00114241	6000      	70        	0         	-2.68393  	
0.00146859	6000      	70        	0         	-2.41364  	
0.00190144	6000      	70        	0         	-2.27218  	
0.0024621 	6000      	70        	0         	-2.17001  	
0.00317305	6000      	70        	0         	-2.07274  	
0.0040599 	6000      	70        	0         	-1.97197  	
0.00515442	6000      	70        	0         	-1.86781  	
0.00649855	6000      	70        	0         	-1.7621   	
0.00814959	6000      	70        	0         	-1.65658  	
0.0101869 	6000      	70        	0         	-1.55244  	
0.0127212 	6000      	70        	0         	-1.45045  	
0.0158993 	6000      	70        	0         	-1.35125  	
0.0198773 	6000      	70        	0         	-1.25836  	
0.024899  	6000      	70        	0         	-1.16849  	
0.0313254 	6000      	70        	0         	-1.08225  	
0.0397155 	6000      	70        	0         	-1.00016  	
0.0509327 	6000      	70        	0         	-0.922825 	
0.0662383 	6000      	70        	0         	-1.02675  	
0.0851499 	6000      	70        	0         	-1.24078  	
0.102817  	6000      	70        	0         	-1.30749  	
0.12061   	6000      	70        	0         	-1.31403  	
0.139796  	6000      	70        	0         	-1.29152  	
0.161508  	6000      	70        	0         	-1.256    	
0.187055  	6000      	70        	0         	-1.20699  	
0.217783  	6000      	70        	0         	-1.15113  	
0.255579  	6000      	70        	0         	-1.41482  	
0.291935  	6000      	70        	0         	-1.44181  	
0.331496  	6000      	70        	0         	-1.44543  	
0.374792  	6000      	70        	0         	-1.41759  	
0.422899  	6000      	70        	0         	-1.40554  	
0.477212  	6000      	70        	0         	-1.51334  	
0.53699   	6000      	70        	0         	-1.60707  	
0.603485  	6000      	70        	0         	-1.62005  	
0.677365  	6000      	70        	0         	-1.63226  	
0.758245  	6000      	70        	0         	-1.75728  	
0.849252  	6000      	70        	0         	-1.85903  	
0.950527  	6000      	70        	0         	-1.89266  	
1.06159   	6000      	70        	0         	-1.97779  	
1.18211   	6000      	70        	0         	-2.0354   	
1.31055   	6000      	70        	0         	-2.05605  	
1.44449   	6000      	70        	0         	-2.05821  	
1.58145   	6000      	70        	0         	-2.06272  	
1.7196    	6000      	70        	0         	-2.05598  	
1.85934   	6000      	70        	0         	-2.03973  	
2.00184   	6000      	70        	0         	-2.01678  	
2.1471    	6000      	70        	0         	-1.98948  	
2.29658   	6000      	70        	0         	-1.9585   	
2.45249   	6000      	70        	0         	-1.92412  	
2.61588   	6000      	70        	0         	-1.88891  	
2.78995   	6000      	70        	0         	-1.85389  	
2.98325   	6000      	70        	0         	-1.81352  	
3.19707   	6000      	70        	0         	-1.77247  	
3.44756   	6000      	70        	0         	-1.72951  	
3.72987   	6000      	70        	0         	-1.68419  	
4.06177   	6000      	70        	0         	-1.63444  	
4.43909   	6000      	70        	0         	-1.59266  	
4.86724   	6000      	70        	0         	-1.55081  	
5.3676    	6000      	70        	0         	-1.50586  	
5.92755   	6000      	70        	0         	-1.45639  	
6.56169   	6000      	70        	0         	-1.40704  	
7.26283   	6000      	70        	0         	-1.35592  	
8.04059   	6000      	70        	0         	-1.30476  	
