Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	2500      	70        	13.4563   	0         	
0.000134346	2500      	70        	10.5548   	0         	
0.000163104	2500      	70        	8.60349   	0         	
0.000190786	2500      	70        	7.08137   	0         	
0.000219404	2500      	70        	5.81291   	0         	
0.000251071	2500      	70        	4.70318   	0         	
0.0002869 	2500      	70        	3.73611   	0         	
0.000328315	2500      	70        	2.90406   	0         	
0.000377267	2500      	70        	2.20381   	0         	
0.00043655	2500      	70        	1.63388   	0         	
0.000510322	2500      	70        	1.19192   	0         	
0.000604956	2500      	70        	0.871796  	0         	
0.000730444	2500      	70        	0.660713  	0         	
0.000902653	2500      	70        	0.537473  	0         	
0.00114241	2500      	70        	0.47476   	0         	
0.00146859	2500      	70        	0.444708  	0         	
0.00190144	2500      	70        	0.42703   	0         	
0.0024621 	2500      	70        	0.412047  	0         	
0.00317305	2500      	70        	0.396668  	0         	
0.0040599 	2500      	70        	0.380441  	0         	
0.00515442	2500      	70        	0.363631  	0         	
0.00649855	2500      	70        	0.346603  	0         	
0.00814959	2500      	70        	0.329661  	0         	
0.0101869 	2500      	70        	0.313023  	0         	
0.0127212 	2500      	70        	0.296831  	0         	
0.0158993 	2500      	70        	0.281199  	0         	
0.0198773 	2500      	70        	0.266327  	0         	
0.024899  	2500      	70        	0.25222   	0         	
0.0313254 	2500      	70        	0.238813  	0         	
0.0397155 	2500      	70        	0.225985  	0         	
0.0509327 	2500      	70        	0.21362   	0         	
0.0662383 	2500      	70        	0.201679  	0         	
0.0851499 	2500      	70        	0.191117  	0         	
0.102817  	2500      	70        	0.183551  	0         	
0.12061   	2500      	70        	0.177478  	0         	
0.139796  	2500      	70        	0.172165  	0         	
0.161508  	2500      	70        	0.167256  	0         	
0.187055  	2500      	70        	0.162544  	0         	
0.217783  	2500      	70        	0.157946  	0         	
0.255579  	2500      	70        	0.153404  	0         	
0.291935  	2500      	70        	0.149787  	0         	
0.331496  	2500      	70        	0.146508  	0         	
0.374792  	2500      	70        	0.143513  	0         	
0.422899  	2500      	70        	0.140736  	0         	
0.477212  	2500      	70        	0.138133  	0         	
0.53699   	2500      	70        	0.135758  	0         	
0.603485  	2500      	70        	0.13358   	0         	
0.677365  	2500      	70        	0.131602  	0         	
0.758245  	2500      	70        	0.129847  	0         	
0.849252  	2500      	70        	0.128284  	0         	
0.950527  	2500      	70        	0.126956  	0         	
1.06159   	2500      	70        	0.125913  	0         	
1.18211   	2500      	70        	0.125203  	0         	
1.31055   	2500      	70        	0.124874  	0         	
1.44449   	2500      	70        	0.12496   	0         	
1.58145   	2500      	70        	0.125469  	0         	
1.7196    	2500      	70        	0.126383  	0         	
1.85934   	2500      	70        	0.127692  	0         	
2.00184   	2500      	70        	0.129405  	0         	
2.1471    	2500      	70        	0.13152   	0         	
2.29658   	2500      	70        	0.134059  	0         	
2.45249   	2500      	70        	0.13707   	0         	
2.61588   	2500      	70        	0.140587  	0         	
2.78995   	2500      	70        	0.1447    	0         	
2.98325   	2500      	70        	0.149659  	0         	
3.19707   	2500      	70        	0.155547  	0         	
3.44756   	2500      	70        	0.162896  	0         	
3.72987   	2500      	70        	0.171647  	0         	
4.06177   	2500      	70        	0.182349  	0         	
4.43909   	2500      	70        	0.19489   	0         	
4.86724   	2500      	70        	0.209396  	0         	
5.3676    	2500      	70        	0.22644   	0         	
5.92755   	2500      	70        	0.245349  	0         	
6.56169   	2500      	70        	0.266265  	0         	
7.26283   	2500      	70        	0.288545  	0         	
8.04059   	2500      	70        	0.312028  	0         	
8.90372   	2500      	70        	0.336409  	0         	
9.87803   	2500      	70        	0.361754  	0         	
10.878    	2500      	70        	0.385391  	0         	
11.878    	2500      	70        	0.406795  	0         	
12.878    	2500      	70        	0.426382  	0         	
13.878    	2500      	70        	0.444429  	0         	
14.878    	2500      	70        	0.461097  	0         	
15.878    	2500      	70        	0.476473  	0         	
16.878    	2500      	70        	0.490648  	0         	
17.878    	2500      	70        	0.503701  	0         	
18.878    	2500      	70        	0.515696  	0         	
19.878    	2500      	70        	0.526713  	0         	
20.878    	2500      	70        	0.536798  	1.68024e-016	
21.878    	2500      	70        	0.546054  	2.39287e-016	
22.878    	2500      	70        	0.554541  	6.94299e-016	
23.878    	2500      	70        	0.562281  	2.25275e-015	
24.878    	2500      	70        	0.569376  	6.70091e-015	
25.878    	2500      	70        	0.575856  	1.89615e-014	
26.878    	2500      	70        	0.581795  	5.11339e-014	
27.878    	2500      	70        	0.587219  	1.31489e-013	
28.878    	2500      	70        	0.592142  	3.23155e-013	
29.878    	2500      	70        	0.59664   	7.70172e-013	
30.878    	2500      	70        	0.60075   	1.77373e-012	
31.878    	2500      	70        	0.604493  	3.95797e-012	
32.878    	2500      	70        	0.607953  	8.55572e-012	
33.878    	2500      	70        	0.611048  	1.80542e-011	
34.878    	2500      	70        	0.613873  	3.71558e-011	
35.878    	2500      	70        	0.616455  	7.47105e-011	
36.878    	2500      	70        	0.618792  	1.47005e-010	
