 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	
day	psi	F	**	**	
         0	   2999.93	       530	8.27248e+006	0	
    0.0001	   2999.94	       530	8.27248e+006	5.34422	
0.000247239	   2999.95	       530	8.27248e+006	13.1599	
0.000466256	   2999.97	       530	8.27247e+006	24.7193	
0.000790759	   3000.01	       530	8.27247e+006	41.7101	
0.00126884	   3000.06	       530	8.27247e+006	66.46	
 0.0019676	   3000.12	       530	8.27246e+006	102.057	
0.00297788	   3000.22	       530	8.27246e+006	152.37	
0.00441803	   3000.35	       530	8.27244e+006	221.877	
0.00643527	   3000.52	       530	8.27243e+006	315.204	
0.00920455	   3000.74	       530	8.27241e+006	436.423	
 0.0129272	   3001.02	       530	8.27238e+006	588.38	
 0.0178359	   3001.34	       530	8.27234e+006	772.479	
 0.0242129	    3001.7	       530	8.2723e+006	989.26	
 0.0324313	   3002.11	       530	8.27223e+006	1239.82	
 0.0430245	   3002.55	       530	8.27215e+006	1527.96	
 0.0567993	   3003.62	       530	8.27205e+006	2117.82	
 0.0739365	   3005.81	       530	8.27192e+006	3229.4	
 0.0926732	   3009.01	       530	8.27178e+006	4816.3	
  0.113022	   3013.24	       530	8.27162e+006	6897.33	
  0.134544	   3018.31	       530	8.27146e+006	9419.8	
  0.157709	   3024.17	       530	8.27128e+006	12431.3	
  0.182418	   3030.93	       530	8.27108e+006	15907	
   0.20904	   3038.69	       530	8.27087e+006	19886.5	
  0.238668	   3047.77	       530	8.27063e+006	24534.6	
  0.270964	   3058.06	       530	8.27036e+006	29787.8	
  0.307283	   3069.97	       530	8.27006e+006	35862.5	
  0.346515	    3083.1	       530	8.26972e+006	42551.1	
  0.390014	   3097.84	       530	8.26933e+006	50064.3	
  0.436182	   3113.61	       530	8.26891e+006	58096.7	
     0.487	   3131.02	       530	8.26843e+006	66967.1	
  0.542071	   3149.88	       530	8.2679e+006	76577.3	
  0.602103	   3170.36	       530	8.2673e+006	87027.7	
  0.666899	   3192.35	       530	8.26663e+006	98252.8	
  0.737813	   3216.24	       530	8.26587e+006	110459	
  0.814851	   3241.96	       530	8.26501e+006	123616	
  0.898504	    3269.6	       530	8.26405e+006	137773	
  0.987779	   3298.75	       530	8.26297e+006	152730	
