Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	2500      	70        	24.2819   	0         	
0.000247239	2500      	70        	24.221    	0         	
0.000466256	2500      	70        	24.1713   	0         	
0.000790759	2500      	70        	24.1248   	0         	
0.00126884	2500      	70        	24.0786   	0         	
0.0019676 	2500      	70        	24.032    	0         	
0.00297788	2500      	70        	23.985    	0         	
0.00441803	2500      	70        	23.939    	0         	
0.00643527	2500      	70        	23.8959   	0         	
0.00920455	2500      	70        	23.8581   	0         	
0.0129272 	2500      	70        	23.8276   	0         	
0.0178359 	2500      	70        	23.8066   	0         	
0.0242129 	2500      	70        	23.7972   	0         	
0.0324313 	2500      	70        	23.8006   	0         	
0.0430245 	2500      	70        	23.8165   	0         	
0.0567993 	2500      	70        	23.8474   	0         	
0.0739365 	2500      	70        	23.9069   	0         	
0.0926732 	2500      	70        	24.0048   	0         	
0.113022  	2500      	70        	24.152    	0         	
0.134544  	2500      	70        	24.3471   	0         	
0.157709  	2500      	70        	24.5868   	0         	
0.182418  	2500      	70        	24.8703   	0         	
0.20904   	2500      	70        	25.2085   	0         	
0.238668  	2500      	70        	25.6204   	0         	
0.270964  	2500      	70        	26.0991   	0         	
0.307283  	2500      	70        	26.663    	0         	
0.346515  	2500      	70        	27.2923   	0         	
0.390014  	2500      	70        	28.0062   	0         	
0.436182  	2500      	70        	28.7751   	0         	
0.487     	2500      	70        	29.6287   	0         	
0.542071  	2500      	70        	30.5573   	0         	
0.602103  	2500      	70        	31.5702   	0         	
0.666899  	2500      	70        	32.6608   	0         	
0.737813  	2500      	70        	33.849    	0         	
0.814851  	2500      	70        	35.132    	0         	
0.898504  	2500      	70        	36.5145   	0         	
0.987779  	2500      	70        	37.977    	0         	
1.08573   	2500      	70        	39.5656   	0         	
1.19011   	2500      	70        	41.2398   	0         	
1.30131   	2500      	70        	43.002    	0         	
1.42222   	2500      	70        	44.8926   	0         	
1.55246   	2500      	70        	46.8996   	0         	
1.69157   	2500      	70        	49.0096   	0         	
1.8403    	2500      	70        	51.2267   	0         	
2.00226   	2500      	70        	53.5954   	0         	
2.17573   	2500      	70        	56.0802   	0         	
