Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	6000      	70        	0         	-152.181  	
0.000247239	6000      	70        	0         	-151.509  	
0.000466257	6000      	70        	0         	-150.645  	
0.000790761	6000      	70        	0         	-149.448  	
0.00126884	6000      	70        	0         	-147.764  	
0.0019676 	6000      	70        	0         	-145.403  	
0.00297789	6000      	70        	0         	-142.144  	
0.00441805	6000      	70        	0         	-137.757  	
0.0064353 	6000      	70        	0         	-132.049  	
0.00920459	6000      	70        	0         	-124.937  	
0.0129273 	6000      	70        	0         	-116.506  	
0.017836  	6000      	70        	0         	-107.046  	
0.0242132 	6000      	70        	0         	-97.0237  	
0.0324317 	6000      	70        	0         	-87.0169  	
0.0430251 	6000      	70        	0         	-77.6309  	
0.0568    	6000      	70        	0         	-122.212  	
0.0739378 	6000      	70        	0         	-185.118  	
0.0926755 	6000      	70        	0         	-241.708  	
0.113025  	6000      	70        	0         	-291.861  	
0.134549  	6000      	70        	0         	-334.469  	
0.157717  	6000      	70        	0         	-370.965  	
0.182431  	6000      	70        	0         	-401.415  	
0.209049  	6000      	70        	0         	-426.579  	
0.238691  	6000      	70        	0         	-447.683  	
0.271201  	6000      	70        	0         	-464.237  	
0.307721  	6000      	70        	0         	-477.339  	
0.347029  	6000      	70        	0         	-486.509  	
0.390448  	6000      	70        	0         	-492.89   	
0.437222  	6000      	70        	0         	-496.443  	
0.488531  	6000      	70        	0         	-498.06   	
0.543564  	6000      	70        	0         	-497.916  	
0.603659  	6000      	70        	0         	-496.662  	
0.668558  	6000      	70        	0         	-494.262  	
0.74021   	6000      	70        	0         	-491.01   	
0.819084  	6000      	70        	0         	-487.112  	
0.904042  	6000      	70        	0         	-482.59   	
0.995638  	6000      	70        	0         	-477.639  	
1.09541   	6000      	70        	0         	-472.191  	
1.20149   	6000      	70        	0         	-466.43   	
1.31493   	6000      	70        	0         	-460.27   	
1.43878   	6000      	70        	0         	-453.664  	
1.57101   	6000      	70        	0         	-446.717  	
1.71267   	6000      	70        	0         	-439.407  	
1.86304   	6000      	70        	0         	-431.765  	
2.02526   	6000      	70        	0         	-423.735  	
2.20318   	6000      	70        	0         	-415.148  	
2.39075   	6000      	70        	0         	-406.306  	
2.59115   	6000      	70        	0         	-397.161  	
2.81298   	6000      	70        	0         	-387.314  	
3.04782   	6000      	70        	0         	-377.249  	
3.30548   	6000      	70        	0         	-366.634  	
3.588     	6000      	70        	0         	-355.474  	
3.89488   	6000      	70        	0         	-344.667  	
4.22504   	6000      	70        	0         	-333.839  	
4.58082   	6000      	70        	0         	-322.742  	
4.96309   	6000      	70        	0         	-311.448  	
5.3718    	6000      	70        	0         	-300.066  	
5.81257   	6000      	70        	0         	-288.548  	
6.29126   	6000      	70        	0         	-276.905  	
6.80735   	6000      	70        	0         	-265.277  	
7.35225   	6000      	70        	0         	-253.978  	
7.9301    	6000      	70        	0         	-243.018  	
8.54282   	6000      	70        	0         	-232.444  	
9.192     	6000      	70        	0         	-222.326  	
9.88506   	6000      	70        	0         	-212.648  	
10.6317   	6000      	70        	0         	-203.39   	
11.4416   	6000      	70        	0         	-194.574  	
12.3048   	6000      	70        	0         	-186.403  	
13.2214   	6000      	70        	0         	-178.932  	
14.1875   	6000      	70        	0         	-172.46   	
15.1875   	6000      	70        	0         	-167.019  	
16.1875   	6000      	70        	0         	-162.346  	
17.1875   	6000      	70        	0         	-158.334  	
18.1875   	6000      	70        	0         	-154.896  	
19.1875   	6000      	70        	0         	-151.949  	
20.1875   	6000      	70        	0         	-149.437  	
