 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	
day	psi	F	**	**	
         0	   2999.93	       530	8.27248e+006	0	
    0.0001	   2999.94	       530	8.27248e+006	5.34422	
0.000247239	   2999.95	       530	8.27248e+006	13.16	
0.000466257	   2999.97	       530	8.27247e+006	24.7197	
0.000790761	      3000	       530	8.27247e+006	41.711	
0.00126884	   3000.05	       530	8.27247e+006	66.462	
 0.0019676	   3000.12	       530	8.27246e+006	102.06	
0.00297789	   3000.21	       530	8.27246e+006	152.377	
0.00441803	   3000.34	       530	8.27244e+006	221.888	
0.00643526	   3000.51	       530	8.27243e+006	315.22	
 0.0092045	   3000.73	       530	8.27241e+006	436.446	
 0.0129271	      3001	       530	8.27238e+006	588.413	
 0.0178357	   3001.33	       530	8.27234e+006	772.522	
 0.0242126	   3001.69	       530	8.2723e+006	989.312	
 0.0324307	    3002.1	       530	8.27223e+006	1239.89	
 0.0430236	   3002.54	       530	8.27215e+006	1528.03	
  0.056798	   3003.61	       530	8.27205e+006	2118	
 0.0739331	   3005.78	       530	8.27192e+006	3229.7	
  0.092666	   3008.98	       530	8.27178e+006	4816.66	
   0.11301	    3013.2	       530	8.27162e+006	6897.9	
   0.13453	   3018.26	       530	8.27146e+006	9421.04	
  0.157694	   3024.11	       530	8.27127e+006	12433.4	
  0.182396	   3030.87	       530	8.27108e+006	15909.8	
  0.209014	   3038.62	       530	8.27087e+006	19891.8	
  0.237542	   3047.36	       530	8.27064e+006	24363.8	
    0.2682	    3057.1	       530	8.27038e+006	29343.5	
  0.301526	      3068	       530	8.2701e+006	34903.4	
  0.337181	   3079.89	       530	8.26979e+006	40966.9	
  0.375924	      3093	       530	8.26945e+006	47643.5	
  0.417317	   3107.12	       530	8.26908e+006	54836.9	
  0.462043	   3122.44	       530	8.26867e+006	62644.2	
  0.510449	   3139.04	       530	8.2682e+006	71105.2	
  0.563112	   3157.08	       530	8.26769e+006	80299.9	
  0.620477	   3176.64	       530	8.26711e+006	90282	
  0.683309	   3197.95	       530	8.26645e+006	101161	
  0.751478	    3220.9	       530	8.26572e+006	112888	
  0.825405	   3245.56	       530	8.26489e+006	125508	
  0.905245	   3271.93	       530	8.26396e+006	139018	
