Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	6000      	70        	0         	-152.181  	
0.000247239	6000      	70        	0         	-151.51   	
0.000466257	6000      	70        	0         	-150.648  	
0.000790761	6000      	70        	0         	-149.453  	
0.00126884	6000      	70        	0         	-147.771  	
0.0019676 	6000      	70        	0         	-145.413  	
0.00297789	6000      	70        	0         	-142.155  	
0.00441803	6000      	70        	0         	-137.769  	
0.00643526	6000      	70        	0         	-132.062  	
0.0092045 	6000      	70        	0         	-124.95   	
0.0129271 	6000      	70        	0         	-116.518  	
0.0178357 	6000      	70        	0         	-107.058  	
0.0242126 	6000      	70        	0         	-97.0339  	
0.0324307 	6000      	70        	0         	-87.0257  	
0.0430236 	6000      	70        	0         	-77.6383  	
0.056798  	6000      	70        	0         	-122.253  	
0.0739331 	6000      	70        	0         	-185.181  	
0.092666  	6000      	70        	0         	-241.802  	
0.11301   	6000      	70        	0         	-291.997  	
0.13453   	6000      	70        	0         	-334.653  	
0.157694  	6000      	70        	0         	-371.198  	
0.182396  	6000      	70        	0         	-401.691  	
0.209014  	6000      	70        	0         	-426.989  	
0.237542  	6000      	70        	0         	-447.433  	
0.2682    	6000      	70        	0         	-463.621  	
0.301526  	6000      	70        	0         	-476.184  	
0.337181  	6000      	70        	0         	-485.405  	
0.375924  	6000      	70        	0         	-491.888  	
0.417317  	6000      	70        	0         	-496.022  	
0.462043  	6000      	70        	0         	-498.259  	
0.510449  	6000      	70        	0         	-498.902  	
0.563112  	6000      	70        	0         	-498.344  	
0.620477  	6000      	70        	0         	-496.685  	
0.683309  	6000      	70        	0         	-494.208  	
0.751478  	6000      	70        	0         	-491.021  	
0.825405  	6000      	70        	0         	-487.25   	
0.905245  	6000      	70        	0         	-482.979  	
0.991471  	6000      	70        	0         	-478.283  	
1.08472   	6000      	70        	0         	-473.166  	
1.18575   	6000      	70        	0         	-467.622  	
1.29462   	6000      	70        	0         	-461.69   	
1.41216   	6000      	70        	0         	-455.399  	
1.53983   	6000      	70        	0         	-448.648  	
1.67606   	6000      	70        	0         	-441.558  	
1.82135   	6000      	70        	0         	-434.148  	
1.97817   	6000      	70        	0         	-426.321  	
2.14692   	6000      	70        	0         	-418.093  	
2.32636   	6000      	70        	0         	-409.551  	
2.52041   	6000      	70        	0         	-400.571  	
2.72952   	6000      	70        	0         	-391.178  	
2.9527    	6000      	70        	0         	-381.467  	
3.19187   	6000      	70        	0         	-371.429  	
3.44835   	6000      	70        	0         	-361.064  	
3.72146   	6000      	70        	0         	-350.694  	
4.01431   	6000      	70        	0         	-340.792  	
4.32783   	6000      	70        	0         	-330.654  	
4.66388   	6000      	70        	0         	-320.289  	
5.02423   	6000      	70        	0         	-309.733  	
5.41084   	6000      	70        	0         	-299.025  	
5.82497   	6000      	70        	0         	-288.225  	
6.26759   	6000      	70        	0         	-277.421  	
6.73969   	6000      	70        	0         	-266.685  	
7.2468    	6000      	70        	0         	-256.011  	
7.78907   	6000      	70        	0         	-245.51   	
8.36897   	6000      	70        	0         	-235.246  	
8.99025   	6000      	70        	0         	-225.271  	
9.65443   	6000      	70        	0         	-215.671  	
10.3699   	6000      	70        	0         	-206.445  	
11.1361   	6000      	70        	0         	-197.711  	
11.9554   	6000      	70        	0         	-189.534  	
12.8345   	6000      	70        	0         	-181.933  	
13.7745   	6000      	70        	0         	-175.007  	
14.7745   	6000      	70        	0         	-169.219  	
15.7745   	6000      	70        	0         	-164.261  	
16.7745   	6000      	70        	0         	-160.005  	
