Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	2500      	70        	24.2822   	0         	
0.000247239	2500      	70        	24.2223   	0         	
0.000466257	2500      	70        	24.1744   	0         	
0.000790761	2500      	70        	24.1299   	0         	
0.00126884	2500      	70        	24.0859   	0         	
0.0019676 	2500      	70        	24.0413   	0         	
0.00297789	2500      	70        	23.9963   	0         	
0.00441803	2500      	70        	23.9522   	0         	
0.00643526	2500      	70        	23.9111   	0         	
0.0092045 	2500      	70        	23.8752   	0         	
0.0129271 	2500      	70        	23.8465   	0         	
0.0178357 	2500      	70        	23.8274   	0         	
0.0242126 	2500      	70        	23.8199   	0         	
0.0324307 	2500      	70        	23.8249   	0         	
0.0430236 	2500      	70        	23.8419   	0         	
0.056798  	2500      	70        	23.8738   	0         	
0.0739331 	2500      	70        	23.9345   	0         	
0.092666  	2500      	70        	24.0341   	0         	
0.11301   	2500      	70        	24.1833   	0         	
0.13453   	2500      	70        	24.3805   	0         	
0.157694  	2500      	70        	24.6217   	0         	
0.182396  	2500      	70        	24.907    	0         	
0.209014  	2500      	70        	25.2473   	0         	
0.237542  	2500      	70        	25.6451   	0         	
0.2682    	2500      	70        	26.0995   	0         	
0.301526  	2500      	70        	26.6158   	0         	
0.337181  	2500      	70        	27.1861   	0         	
0.375924  	2500      	70        	27.8201   	0         	
0.417317  	2500      	70        	28.5081   	0         	
0.462043  	2500      	70        	29.2588   	0         	
0.510449  	2500      	70        	30.0758   	0         	
0.563112  	2500      	70        	30.9665   	0         	
0.620477  	2500      	70        	31.9359   	0         	
0.683309  	2500      	70        	32.9947   	0         	
0.751478  	2500      	70        	34.1379   	0         	
0.825405  	2500      	70        	35.37     	0         	
0.905245  	2500      	70        	36.6908   	0         	
0.991471  	2500      	70        	38.105    	0         	
1.08472   	2500      	70        	39.6199   	0         	
1.18575   	2500      	70        	41.2433   	0         	
1.29462   	2500      	70        	42.9723   	0         	
1.41216   	2500      	70        	44.8149   	0         	
1.53983   	2500      	70        	46.7876   	0         	
1.67606   	2500      	70        	48.8602   	0         	
1.82135   	2500      	70        	51.0337   	0         	
1.97817   	2500      	70        	53.3367   	0         	
2.14692   	2500      	70        	55.7653   	0         	
2.32636   	2500      	70        	58.2919   	0         	
2.52041   	2500      	70        	60.9593   	0         	
2.72952   	2500      	70        	63.7588   	0         	
2.9527    	2500      	70        	66.6621   	0         	
3.19187   	2500      	70        	69.6778   	0         	
3.44835   	2500      	70        	72.803    	0         	
3.72146   	2500      	70        	75.9504   	0         	
4.01431   	2500      	70        	78.9706   	0         	
4.32783   	2500      	70        	82.0916   	0         	
4.66388   	2500      	70        	85.299    	0         	
5.02423   	2500      	70        	88.582    	0         	
5.41084   	2500      	70        	91.9295   	0         	
5.82497   	2500      	70        	95.3214   	0         	
6.26759   	2500      	70        	98.734    	0         	
6.73969   	2500      	70        	102.142   	0         	
7.2468    	2500      	70        	105.55    	0         	
7.78907   	2500      	70        	108.92    	0         	
8.36897   	2500      	70        	112.23    	0         	
8.99025   	2500      	70        	115.463   	0         	
9.65443   	2500      	70        	118.59    	0         	
10.3699   	2500      	70        	121.608   	0         	
11.1361   	2500      	70        	124.478   	0         	
