Results of phase equilibria of CO2-H2O system at temperature = 563.4

P(psia)  Xco2   Yco2
     100  0.002424386   0.9895482  
     200  0.004784365   0.9942137  
     300  0.007047073   0.9957072  
     400  0.009202821   0.9963957  
     500  0.01124146   0.9967491  
     600  0.01315241   0.9969191  
     700  0.01492453   0.9969635  
     800  0.01654592   0.9969003  
     900  0.01800337   0.9967191  
    1000  0.01928103   0.9963708  
    1100  0.02035677   0.9956997  
    1200  0.02118805   0.9939329  
    1300  0.02167439   0.9868677  
    1400  0.02198014    0.982392  
    1500  0.02223884   0.9793279  
    1600   0.0224721   0.9768405  
    1700  0.02268809    0.974686  
    1800  0.02289113   0.9727555  
    1900  0.02308387   0.9709891  
    2000  0.02326811   0.9693502  
    2100  0.02344512   0.9678141  
    2200  0.02361587   0.9663634  
    2300  0.02378112   0.9649853  
    2400  0.02394146     0.96367  
    2500  0.02409739   0.9624098  
    2600  0.02424931   0.9611985  
    2700  0.02439756    0.960031  
    2800  0.02454243   0.9589032  
    2900  0.02468417   0.9578114  
    3000  0.02482301   0.9567528  
    3100  0.02495912   0.9557246  
    3200  0.02509269   0.9547246  
    3300  0.02522387    0.953751  
    3400  0.02535278   0.9528018  
    3500  0.02547955   0.9518757  
    3600  0.02560429   0.9509711  
    3700   0.0257271   0.9500869  
    3800  0.02584807    0.949222  
    3900  0.02596729   0.9483753  
    4000  0.02608482   0.9475459  
    4100  0.02620074   0.9467329  
    4200  0.02631512   0.9459357  
    4300  0.02642802   0.9451535  
    4400  0.02653949   0.9443856  
    4500  0.02664958   0.9436314  
    4600  0.02675834   0.9428905  
    4700  0.02686582   0.9421622  
    4800  0.02697206    0.941446  
    4900   0.0270771   0.9407416  
    5000  0.02718098   0.9400484  
    5100  0.02728374   0.9393662  
    5200   0.0273854   0.9386944  
    5300    0.027486   0.9380328  
    5400  0.02758557   0.9373811  
    5500  0.02768414   0.9367389  
    5600  0.02778173   0.9361059  
    5700  0.02787837   0.9354819  
    5800  0.02797408   0.9348665  
    5900   0.0280689   0.9342596  
    6000  0.02816283   0.9336608  
    6100   0.0282559     0.93307  
    6200  0.02834813    0.932487  
    6300  0.02843955   0.9319115  
    6400  0.02853016   0.9313434  
    6500  0.02861998   0.9307823  
    6600  0.02870904   0.9302283  
    6700  0.02879735   0.9296811  
    6800  0.02888493   0.9291405  
    6900  0.02897178   0.9286063  
    7000  0.02905793   0.9280785  
    7100  0.02914339   0.9275569  
    7200  0.02922816   0.9270413  
    7300  0.02931227   0.9265316  
    7400  0.02939573   0.9260277  
    7500  0.02947855   0.9255294  
    7600  0.02956074   0.9250366  
    7700  0.02964231   0.9245493  
    7800  0.02972327   0.9240672  
    7900  0.02980363   0.9235904  
    8000  0.02988341   0.9231186  
    8100   0.0299626   0.9226518  
    8200  0.03004123   0.9221899  
    8300  0.03011931   0.9217327  
    8400  0.03019683   0.9212803  
    8500  0.03027381   0.9208325  
    8600  0.03035026   0.9203892  
    8700  0.03042618   0.9199504  
    8800  0.03050158   0.9195159  
    8900  0.03057648   0.9190857  
    9000  0.03065087   0.9186597  
