Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         6000        0           0         
0.01      6000        -61183.456  0         
0.11      6000        -54300.37   0         
0.21      6000        -48925.405  0         
0.31      6000        -45188.298  0         
0.41      6000        -43112.569  0         
0.523859  6000        -41430.426  0         
0.666326  6000        -39883.227  0         
0.851823  6000        -41424.35   0         
1.08232   6000        -46776.975  0         
1.32481   6000        -48739.92   0         
1.55287   6000        -49465.468  0         
1.79555   6000        -49444.54   0         
2.07808   6000        -48801.415  0         
2.39582   6000        -47499.798  0         
2.74189   6000        -46929.172  0         
3.17229   6000        -45260.014  0         
3.69415   6000        -43252.461  0         
4.33363   6000        -41626.03   0         
5.15118   6000        -39697.552  0         
6.2222    6000        -39797.683  0         
7.68254   6000        -39326.914  0         
9.62605   6000        -38579.879  0         
12.1398   6000        -38666.507  0         
15.8047   6000        -38945.915  0         
20.33     6000        -39420.304  0         
25.33     6000        -39985.22   0         
30.33     6000        -40924.594  0         
35.33     6000        -40751.542  0         
40.33     6000        -41532.037  0         
45.33     6000        -41878.931  0         
50.33     6000        -42560.613  0         
55.33     6000        -43284.14   0         
60.33     6000        -43765.359  0         
65.33     6000        -44304.023  0         
70.33     6000        -44680.367  0         
75.33     6000        -44999.606  0         
80.33     6000        -45726.756  0         
85.33     6000        -46553.974  0         
90.33     6000        -47232.455  0         
95.33     6000        -47823.118  0         
100.33    6000        -48365.695  0         
105.33    6000        -48940.614  0         
110.33    6000        -49295.461  0         
115.33    6000        -50248.206  0         
120.33    6000        -51493.581  0         
125.33    6000        -54810.351  0         
130.33    6000        -60113.085  0         
135.33    6000        -64822.168  0         
140.33    6000        -68743.162  0         
145.33    6000        -72029.925  0         
150       6000        -74702.131  0         
