Results for well: PROD in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         400         0           0         
0.01      400         0           7863.96   
0.11      400         0           6681.98   
0.21      400         0           6182.54   
0.31      400         0           5881.02   
0.41      400         0           5688.94   
0.523859  400         0           5567.92   
0.666326  400         0           5521.65   
0.851823  400         0           5573.27   
1.08232   400         0           5738.79   
1.32481   400         0           5983.32   
1.55287   400         0           6255.23   
1.79555   400         0           6572.2    
2.07808   400         0           6955.04   
2.39582   400         0           7382.77   
2.74189   400         0           7822.61   
3.17229   400         0           8310.62   
3.69415   400         0           8810.36   
4.33363   400         0           9292.68   
5.15118   400         0           9750.63   
6.2222    400         0           10169.5   
7.68254   400         0           10560     
9.62605   400         0           10920.1   
12.1398   400         0           11210.9   
15.8047   400         0           11484.3   
20.33     400         0           11764.7   
25.33     400         0           12007.9   
30.33     400         0           12295.5   
35.33     400         0           12494.8   
40.33     400         0           12729.7   
45.33     400         0           12962.6   
50.33     400         0           13166.9   
55.33     400         0           13367.1   
60.33     400         0           13578.5   
65.33     400         0           13788.3   
70.33     400         0           13997.2   
75.33     400         0           14243.8   
80.33     400         0           14465.9   
85.33     400         9.8561334   14691.8   
90.33     400         59.571862   14913.4   
95.33     400         152.9479    15136     
100.33    400         322.22833   15328.3   
105.33    400         610.15627   15502.1   
110.33    400         1134.6793   15647.8   
115.33    400         2205.4514   15720.7   
120.33    400         4857.5591   15501.5   
125.33    400         14944.667   14055.2   
130.33    400         26001.042   12714.8   
135.33    400         31530.852   12048.7   
140.33    400         36072.34    11578.2   
145.33    400         40492.821   11184.1   
150       400         44320.521   10849.9   
