Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
0           1993.5      0               1               
1           1993.5      0               1               
2           1993.5      0               1               
3           1993.5      0               1               
4           1993.5      0               1               
5           1993.5      0               1               
6           1993.5      0               1               
7           1993.5      0               1               
8           1993.5      0               1               
9           1993.5      0               1               
10          2002.17     0               1               
11          2002.17     0               1               
12          2002.17     0               1               
13          2002.17     0               1               
14          2002.17     0               1               
15          2002.17     0               1               
16          2002.17     0               1               
17          2002.17     0               1               
18          2002.17     0               1               
19          2002.17     0               1               
20          2010.83     0               1               
21          2010.83     0               1               
22          2010.83     0               1               
23          2010.83     0               1               
24          2010.83     0               1               
25          2010.83     0               1               
26          2010.83     0               1               
27          2010.83     0               1               
28          2010.83     0               1               
29          2010.83     0               1               
30          2019.49     0               1               
31          2019.49     0               1               
32          2019.49     0               1               
33          2019.49     0               1               
34          2019.49     0               1               
35          2019.49     0               1               
36          2019.49     0               1               
37          2019.49     0               1               
38          2019.49     0               1               
39          2019.49     0               1               
40          2028.15     0               1               
41          2028.15     0               1               
42          2028.15     0               1               
43          2028.15     0               1               
44          2028.15     0               1               
45          2028.15     0               1               
46          2028.15     0               1               
47          2028.15     0               1               
48          2028.15     0               1               
49          2028.15     0               1               
50          2036.81     0               1               
51          2036.81     0               1               
52          2036.81     0               1               
53          2036.81     0               1               
54          2036.81     0               1               
55          2036.81     0               1               
56          2036.81     0               1               
57          2036.81     0               1               
58          2036.81     0               1               
59          2036.81     0               1               
60          2045.48     0               1               
61          2045.48     0               1               
62          2045.48     0               1               
63          2045.48     0               1               
64          2045.48     0               1               
65          2045.48     0               1               
66          2045.48     0               1               
67          2045.48     0               1               
68          2045.48     0               1               
69          2045.48     0               1               
70          2054.14     0               1               
71          2054.14     0               1               
72          2054.14     0               1               
73          2054.14     0               1               
74          2054.14     0               1               
75          2054.14     0               1               
76          2054.14     0               1               
77          2054.14     0               1               
78          2054.14     0               1               
79          2054.14     0               1               
80          2062.8      0               1               
81          2062.8      0               1               
82          2062.8      0               1               
83          2062.8      0               1               
84          2062.8      0               1               
85          2062.8      0               1               
86          2062.8      0               1               
87          2062.8      0               1               
88          2062.8      0               1               
89          2062.8      0               1               
90          2071.46     0               1               
91          2071.46     0               1               
92          2071.46     0               1               
93          2071.46     0               1               
94          2071.46     0               1               
95          2071.46     0               1               
96          2071.46     0               1               
97          2071.46     0               1               
98          2071.46     0               1               
99          2071.46     0               1               
t=1.08232 (days)
0           1455.37     0               1               
1           1730.5      0               1               
2           1918.16     0               1               
3           2102.17     0               1               
4           2297.98     0               1               
5           2511.73     0               1               
6           2746.87     0               1               
7           3002.19     0               1               
8           3260.53     0               1               
9           3457.55     0               1               
10          1514        0               1               
11          1743.02     0               1               
12          1927.44     0               1               
13          2110.96     0               1               
14          2306.69     0               1               
15          2520.47     0               1               
16          2755.83     0               1               
17          3012        0               1               
18          3273.02     0               1               
19          3475.52     0               1               
20          1563.76     0               1               
21          1757.68     0               1               
22          1937.21     0               1               
23          2119.87     0               1               
24          2315.44     0               1               
25          2529.29     0               1               
26          2765.06     0               1               
27          3022.86     0               1               
28          3289.22     0               1               
29          3503.02     0               1               
30          1606.07     0               1               
31          1773.27     0               1               
32          1947.33     0               1               
33          2128.87     0               1               
34          2324.22     0               1               
35          2538.16     0               1               
36          2774.52     0               1               
37          3034.65     0               1               
38          3308.9      0               1               
