Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         3500        0           0         
0.01      3500        -96557.949  0         
0.11      3500        -86278.992  0         
0.226237  3500        -83942.507  0         
0.478043  3500        -82013.506  0         
1.00626   3500        -73511.528  0         
1.65295   3500        -73317      0         
2.71222   3500        -94526.019  0         
4.23975   3500        -135530.23  0         
5.93249   3500        -150781     0         
7.79892   3500        -163584.65  0         
10.4485   3500        -179790.66  0         
13.5899   3500        -202375.36  0         
18.2868   3500        -210794.43  0         
24.2502   3500        -221604.47  0         
31.9854   3500        -231862.36  0         
41.4283   3500        -238617.54  0         
52.8883   3500        -243324.72  0         
67.8481   3500        -240545.64  0         
85.8094   3500        -237963.67  0         
107.977   3500        -229651.36  0         
134.834   3500        -223538.01  0         
167.846   3500        -215040.88  0         
208.096   3500        -206434.64  0         
255.544   3500        -196801.86  0         
311.74    3500        -186554.97  0         
378.227   3500        -177856.75  0         
454.957   3500        -169166.14  0         
538.065   3500        -161080.58  0         
626.206   3500        -153784.66  0         
717.35    3500        -147260.02  0         
810.221   3500        -141295.32  0         
905.526   3500        -135632.55  0         
1003.1    3500        -130569.73  0         
1103.34   3500        -126374.46  0         
1211.55   3500        -122150.57  0         
1323.77   3500        -118145.4   0         
1439.17   3500        -114304.92  0         
1557.82   3500        -110652.85  0         
1679.75   3500        -107364.1   0         
1804.38   3500        -103927.33  0         
1932.06   3500        -100995.23  0         
2067.63   3500        -97770.143  0         
2208.34   3500        -94951.788  0         
2353.24   3500        -92457.099  0         
2502.49   3500        -90094.87   0         
2656.74   3500        -88014.009  0         
2820.1    3500        -85866.177  0         
2989.61   3500        -83744.856  0         
3164.21   3500        -81964.757  0         
3343.7    3500        -80542.831  0         
3531.53   3500        -79290.349  0         
3725.68   3500        -78037.571  0         
3926.97   3500        -76930.25   0         
4133.47   3500        -75859.138  0         
4346.11   3500        -74986.354  0         
4566.33   3500        -73983.861  0         
4791.95   3500        -73264.527  0         
5023.03   3500        -72605.85   0         
5260.14   3500        -72172.508  0         
5503.38   3500        -71733.25   0         
5751.55   3500        -71425.205  0         
6005.73   3500        -71162.355  0         
6265.14   3500        -70910.304  0         
6531.59   3500        -70675.662  0         
6803.07   3500        -70558.914  0         
7077.15   3500        -70389.005  0         
7356.51   3500        -70253.299  0         
7640.47   3500        -70160.479  0         
7929.47   3500        -70052.875  0         
8220.62   3500        -70073.613  0         
8510.43   3500        -69949.842  0         
8803.18   3500        -69827.556  0         
9099.74   3500        -69887.089  0         
9402.75   3500        -69888.055  0         
9704.81   3500        -69871.624  0         
10004.1   3500        -69795.536  0         
10305.2   3500        -69839.005  0         
10614.1   3500        -69889.217  0         
10927.6   3500        -69942.917  0         
11238.7   3500        -69919.814  0         
11546     3500        -69896.032  0         
11854.3   3500        -69946.183  0         
12172.8   3500        -69972.537  0         
12496.7   3500        -70033.472  0         
12817.1   3500        -70069.62   0         
13133.1   3500        -70043.279  0         
13443.8   3500        -70022.551  0         
13759.6   3500        -70053.489  0         
14087.2   3500        -70099.784  0         
14412.6   3500        -70169.587  0         
14734     3500        -70126.224  0         
15049.9   3500        -70084.923  0         
15365.7   3500        -70193.864  0         
15697.6   3500        -70183.824  0         
16032.4   3500        -70230.426  0         
16362.5   3500        -70239.076  0         
16687.2   3500        -70285.157  0         
17005.7   3500        -70275.857  0         
17323.5   3500        -70321.888  0         
17658.8   3500        -70356.144  0         
17995.1   3500        -70426.702  0         
18326.5   3500        -70466.968  0         
18652.3   3500        -70509.776  0         
18971.5   3500        -70537.305  0         
19289.8   3500        -70464.51   0         
19628.8   3500        -70493.811  0         
19967     3500        -70578.515  0         
20299.9   3500        -70619.402  0         
20627.1   3500        -70663.147  0         
20947.5   3500        -70624.012  0         
21266.8   3500        -70688.837  0         
21608.1   3500        -70781.829  0         
21949.7   3500        -70856.486  0         
22285.8   3500        -70891.691  0         
22615.9   3500        -70865.925  0         
22939.2   3500        -70852.153  0         
23256.3   3500        -70886.084  0         
23572.3   3500        -70938.639  0         
23905.7   3500        -70984.558  0         
24234     3500        -71076.412  0         
24557.8   3500        -71079.733  0         
24875.5   3500        -71047.654  0         
25192.2   3500        -71074.766  0         
25517.3   3500        -71153.459  0         
25850.1   3500        -71235.311  0         
26177.9   3500        -71252.717  0         
26500.5   3500        -71283.216  0         
26816.9   3500        -71293.703  0         
27132.3   3500        -71284.32   0         
27461     3500        -71312.105  0         
27792.9   3500        -71367.487  0         
28119.9   3500        -71399.367  0         
28441.5   3500        -71426.623  0         
28756.7   3500        -71477.64   0         
29070.9   3500        -71533.15   0         
29398     3500        -71544.459  0         
29727.6   3500        -71580.201  0         
30052.5   3500        -71623.357  0         
30371.9   3500        -71649.026  0         
30684.9   3500        -71702.024  0         
30996.9   3500        -71725.728  0         
31325.5   3500        -71775.67   0         
31652.9   3500        -71810.957  0         
31975.7   3500        -71857.2    0         
32292.9   3500        -71858.013  0         
32603.6   3500        -71856.843  0         
32913.3   3500        -71889.351  0         
33243.5   3500        -71940.34   0         
33568.4   3500        -71995.219  0         
33888.7   3500        -72042.406  0         
34203.4   3500        -72103.457  0         
34513.5   3500        -72145.934  0         
34823.1   3500        -72173.147  0         
35148.9   3500        -72186.52   0         
35469.9   3500        -72206.657  0         
35786.5   3500        -72211.914  0         
36097.4   3500        -72218.113  0         
36403.8   3500        -72257.452  0         
36709.8   3500        -72329.229  0         
37027.7   3500        -72374.723  0         
37342     3500        -72397.168  0         
37651.9   3500        -72418.718  0         
37958.1   3500        -72450.028  0         
38264.4   3500        -72503.764  0         
38586.9   3500        -72505.787  0         
38904.8   3500        -72520.366  0         
39218.5   3500        -72558.95   0         
39526.5   3500        -72622.778  0         
39830.4   3500        -72705.137  0         
40134.1   3500        -72757.291  0         
40449.3   3500        -72789.361  0         
40761     3500        -72807.723  0         
41068.2   3500        -72810.537  0         
41372.1   3500        -72856.706  0         
41676.2   3500        -72897.365  0         
41994.9   3500        -72945.133  0         
42309.7   3500        -72984.06   0         
42620.4   3500        -73022.882  0         
42925.5   3500        -73022.609  0         
43226.6   3500        -73003.244  0         
43527.6   3500        -73032.515  0         
43838.9   3500        -73097.918  0         
44146.9   3500        -73167.23   0         
44450.5   3500        -73212.913  0         
44751     3500        -73265.105  0         
45051.9   3500        -73318.892  0         
45365.8   3500        -73352.846  0         
45676.1   3500        -73364.849  0         
45982.1   3500        -73359.861  0         
46282.4   3500        -73350.687  0         
46582.4   3500        -73360.261  0         
46884.7   3500        -73397.542  0         
47192.3   3500        -73444.831  0         
47496.7   3500        -73486.668  0         
47796.3   3500        -73521.657  0         
48092.7   3500        -73575.319  0         
48389.4   3500        -73625.962  0         
48695.2   3500        -73682.87   0         
48998     3500        -73711.824  0         
49296.6   3500        -73743.529  0         
49592.5   3500        -73780.79   0         
49888.9   3500        -73815.613  0         
50195.6   3500        -73851.82   0         
50499.4   3500        -73894.632  0         
50798.8   3500        -73914.64   0         
51095.7   3500        -73943.166  0         
51393.2   3500        -73970.137  0         
51703.9   3500        -74018.38   0         
52011     3500        -74059.885  0         
52313.9   3500        -74077.34   0         
52611.1   3500        -74073.707  0         
52905.1   3500        -74094.246  0         
53199.1   3500        -74144.385  0         
53501.3   3500        -74211.595  0         
53800.5   3500        -74260.635  0         
54095.4   3500        -74301.614  0         
54387.6   3500        -74346.892  0         
54680.4   3500        -74379.247  0         
54981.9   3500        -74415.188  0         
55280.4   3500        -74419.97   0         
55574.8   3500        -74444.38   0         
55866.8   3500        -74479.112  0         
56159.4   3500        -74528.8    0         
56461     3500        -74573.335  0         
56759.8   3500        -74598.026  0         
