Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         1000        0           0         
0.01      1000        0           4939.44   
0.11      1000        0           4468.59   
0.226237  1000        0           4320.73   
0.478043  1000        0           4200.54   
1.00626   1000        0           4091.54   
1.65295   1000        0           4018.41   
2.71222   1000        0           3950.23   
4.23975   1000        0           3890.82   
5.93249   1000        0           3846.38   
7.79892   1000        0           3810.85   
10.4485   1000        0           3774.49   
13.5899   1000        0           3742.33   
18.2868   1000        0           3707.21   
24.2502   1000        0           3673.86   
31.9854   1000        0           3640.75   
41.4283   1000        0           3608.59   
52.8883   1000        0           3576.43   
67.8481   1000        0           3541.18   
85.8094   1000        0           3505      
107.977   1000        0           3466.94   
134.834   1000        0           3428.59   
167.846   1000        0           3391.84   
208.096   1000        0           3361.42   
255.544   1000        0           3343.9    
311.74    1000        0           3345.55   
378.227   1000        0           3372.81   
454.957   1000        0           3429.19   
538.065   1000        0           3510.24   
626.206   1000        0           3610.14   
717.35    1000        0           3721.56   
810.221   1000        0           3838.51   
905.526   1000        0           3958.49   
1003.1    1000        0           4078.8    
1103.34   1000        0           4198.05   
1211.55   1000        0           4320.54   
1323.77   1000        0           4440.21   
1439.17   1000        0           4555.28   
1557.82   1000        0           4665.24   
1679.75   1000        0           4769.76   
1804.38   1000        0           4868.21   
1932.06   1000        0           4960.83   
2067.63   1000        0           5050.59   
2208.34   1000        0           5135.28   
2353.24   1000        0           5214.32   
2502.49   1000        0           5287.85   
2656.74   1000        0           5356.23   
2820.1    1000        0           5420.96   
2989.61   1000        0           5480.8    
3164.21   1000        0           5535.54   
3343.7    1000        0           5585.37   
3531.53   1000        0           5631.26   
3725.68   1000        0           5672.87   
3926.97   1000        0           5710.57   
4133.47   1000        0           5744.33   
4346.11   1000        0           5774.62   
4566.33   1000        0           5801.92   
4791.95   1000        0           5826.3    
5023.03   1000        0           5848.07   
5260.14   1000        0           5867.53   
5503.38   1000        0           5884.93   
5751.55   1000        0           5900.44   
6005.73   1000        0           5914.35   
6265.14   1000        0           5926.84   
6531.59   1000        0           5938.19   
6803.07   1000        0           5948.47   
7077.15   1000        0           5957.79   
7356.51   1000        0           5966.41   
7640.47   1000        0           5974.39   
7929.47   1000        0           5981.85   
8220.62   1000        0           5988.78   
8510.43   1000        0           5995.24   
8803.18   1000        0           6001.43   
9099.74   1000        0           6007.34   
9402.75   1000        0           6013.03   
9704.81   1000        0           6018.45   
10004.1   1000        0           6023.64   
10305.2   1000        0           6028.68   
10614.1   1000        0           6033.64   
10927.6   1000        0           6038.47   
11238.7   1000        0           6043.13   
11546     1000        0           6047.66   
11854.3   1000        0           6052.11   
12172.8   1000        0           6056.59   
12496.7   1000        0           6061.02   
12817.1   1000        0           6065.3    
13133.1   1000        0           6069.47   
13443.8   1000        0           6073.6    
13759.6   1000        0           6077.74   
14087.2   1000        0           6081.91   
14412.6   1000        0           6085.97   
14734     1000        0           6089.98   
15049.9   1000        0           6093.98   
15365.7   1000        0           6097.87   
15697.6   1000        0           6101.89   
16032.4   1000        0           6105.9    
16362.5   1000        0           6109.85   
16687.2   1000        0           6113.7    
17005.7   1000        0           6117.48   
17323.5   1000        0           6121.23   
17658.8   1000        0           6125.12   
17995.1   1000        0           6128.96   
18326.5   1000        0           6132.71   
18652.3   1000        0           6136.4    
18971.5   1000        0           6140.01   
19289.8   1000        0           6143.66   
19628.8   1000        0           6147.53   
19967     1000        0           6151.33   
20299.9   1000        0           6155.03   
20627.1   1000        0           6158.67   
20947.5   1000        0           6162.29   
21266.8   1000        0           6165.86   
21608.1   1000        0           6169.61   
21949.7   1000        0           6173.3    
22285.8   1000        0           6176.89   
22615.9   1000        0           6180.47   
22939.2   1000        0           6184.08   
23256.3   1000        0           6187.62   
23572.3   1000        0           6191.1    
23905.7   1000        0           6194.75   
24234     1000        0           6198.27   
24557.8   1000        0           6201.74   
24875.5   1000        0           6205.25   
25192.2   1000        0           6208.77   
25517.3   1000        0           6212.3    
25850.1   1000        0           6215.86   
26177.9   1000        0           6219.37   
26500.5   1000        0           6222.82   
26816.9   1000        0           6226.28   
27132.3   1000        0           6229.77   
27461     1000        0           6233.36   
27792.9   1000        0           6236.97   
28119.9   1000        0           6240.52   
28441.5   1000        0           6244.02   
28756.7   1000        0           6247.48   
29070.9   1000        0           6250.9    
29398     1000        0           6254.41   
29727.6   1000        0           6257.96   
30052.5   1000        0           6261.47   
30371.9   1000        0           6264.94   
30684.9   1000        0           6268.38   
30996.9   1000        0           6271.8    
31325.5   1000        0           6275.33   
31652.9   1000        0           6278.85   
31975.7   1000        0           6282.33   
32292.9   1000        0           6285.79   
32603.6   1000        0           6289.27   
32913.3   1000        0           6292.73   
33243.5   1000        0           6296.34   
33568.4   1000        0           6299.88   
33888.7   1000        0           6303.35   
34203.4   1000        0           6306.78   
34513.5   1000        0           6310.21   
34823.1   1000        0           6313.57   
35148.9   1000        0           6317.1    
35469.9   1000        0           6320.63   
35786.5   1000        0           6324.11   
36097.4   1000        0           6327.63   
36403.8   1000        0           6331.12   
