Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	4922.84   	40        	60        	0         	
2         	5050.93   	40        	60        	0         	
3.3144    	5218.95   	40        	60        	0         	
4.78476   	5409.44   	40        	60        	0         	
6.30255   	5608.9    	40        	60        	0         	
7.82268   	5811.61   	40        	60        	0         	
9.32896   	6015.23   	40        	60        	0         	
10.817    	6217.03   	40        	60        	0         	
12.2958   	6420.51   	40        	60        	0         	
13.7575   	6624.54   	40        	60        	0         	
15.1995   	6828.71   	40        	60        	0         	
16.6215   	7154.43   	40        	60        	0         	
17.6234   	7831.72   	40        	60        	0         	
18.6234   	8500.3    	40        	60        	0         	
19.6234   	9207.35   	40        	60        	0         	
20.6234   	8200.18   	40        	60        	0         	
21.6234   	7237.64   	40        	60.0001   	0         	
22.6234   	6841.3    	40        	60        	0         	
23.6234   	6629.77   	40        	60        	0         	
24.6234   	6417.85   	40        	60.0001   	0         	
25.6234   	6205.55   	40        	60        	0         	
26.6234   	5992.77   	40        	60        	0         	
27.6234   	5777.14   	40        	60        	0         	
28.6234   	5561.12   	40        	60        	0         	
29.6234   	5344.7    	40        	60        	0         	
30.6234   	5127.87   	40        	60        	0         	
31.6234   	4908.75   	40        	60        	0         	
32.6234   	4686.51   	40        	60        	0         	
33.6234   	4463.85   	40        	60        	0         	
34.6234   	4240.76   	40        	60        	0         	
35.6234   	4017.25   	40        	60        	0         	
36.6234   	3789.91   	40        	60        	0         	
37.6234   	3561.84   	40        	60        	0         	
38.6234   	3333.33   	40        	60        	0         	
39.6234   	3104.37   	40        	60        	0         	
40.6234   	2873.32   	40        	60        	0         	
41.6234   	2640.44   	40        	60        	0         	
42.6234   	2407.09   	40        	60        	0         	
43.6234   	2173.25   	40        	60        	0         	
44.6234   	1937.86   	40        	60        	0         	
45.6234   	1698.94   	40        	60        	0         	
46.6234   	1459.52   	40        	60        	0         	
47.6234   	1219.62   	40        	60        	0         	
48.6234   	978.94    	40        	60        	0         	
49.6234   	734.744   	40        	60        	0         	
50        	642.657   	40        	60        	0         	
