Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	4959.1    	40        	0         	-90.0067  	
2         	5086.84   	40        	0         	-90.0067  	
3.3144    	5251.97   	40        	0         	-90.0067  	
4.78476   	5441.01   	40        	0         	-90.0067  	
6.30255   	5639.85   	40        	0         	-90.0067  	
7.82268   	5842.18   	40        	0         	-90.0067  	
9.32896   	6045.4    	40        	0         	-90.0067  	
10.817    	6246.78   	40        	0         	-90.0067  	
12.2958   	6449.86   	40        	0         	-90.0067  	
13.7575   	6653.55   	40        	0         	-90.0067  	
15.1995   	6857.43   	40        	0         	-90.0067  	
16.6215   	7182.89   	40        	0         	-90.0067  	
17.6234   	7860      	40        	0         	-90.0067  	
18.6234   	8528.43   	40        	0         	-90.0067  	
19.6234   	9235.35   	40        	0         	-90.0067  	
20.6234   	8216.67   	40        	0         	0         	
21.6234   	7254.11   	40        	0         	0         	
22.6234   	6857.72   	40        	0         	0         	
23.6234   	6646.16   	40        	0         	0         	
24.6234   	6434.21   	40        	0         	0         	
25.6234   	6221.89   	40        	0         	0         	
26.6234   	6009.11   	40        	0         	0         	
27.6234   	5793.49   	40        	0         	0         	
28.6234   	5577.49   	40        	0         	0         	
29.6234   	5361.09   	40        	0         	0         	
30.6234   	5144.29   	40        	0         	0         	
31.6234   	4925.19   	40        	0         	0         	
32.6234   	4702.98   	40        	0         	0         	
33.6234   	4480.35   	40        	0         	0         	
34.6234   	4257.29   	40        	0         	0         	
35.6234   	4033.8    	40        	0         	0         	
36.6234   	3806.47   	40        	0         	0         	
37.6234   	3578.42   	40        	0         	0         	
38.6234   	3349.92   	40        	0         	0         	
39.6234   	3120.98   	40        	0         	0         	
40.6234   	2889.94   	40        	0         	0         	
41.6234   	2657.08   	40        	0         	0         	
42.6234   	2423.74   	40        	0         	0         	
43.6234   	2189.91   	40        	0         	0         	
44.6234   	1954.54   	40        	0         	0         	
45.6234   	1715.63   	40        	0         	0         	
46.6234   	1476.23   	40        	0         	0         	
47.6234   	1236.34   	40        	0         	0         	
48.6234   	995.674   	40        	0         	0         	
49.6234   	751.493   	40        	0         	0         	
50        	659.413   	40        	0         	0         	
