KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
      10    4020.967  0.09574348  
      20    2013.717  0.04834578  
      30    1344.656  0.03255093  
      40    1010.142  0.02465686  
      50    809.4471  0.01992315  
      60    675.6628  0.01676967  
      70    580.1124  0.01451921  
      80    508.4584  0.01283318  
      90    452.7356  0.01152347  
     100    408.1645  0.01047721  
     110     371.704  0.009622572  
     120    341.3264  0.008911687  
     130     315.628  0.008311402  
     140    293.6067  0.007798041  
     150    274.5264  0.007354242  
     160     257.836  0.006966983  
     170    243.1138  0.006626309  
     180    230.0318  0.006324476  
     190    218.3312  0.006055371  
     200    207.8046  0.005814105  
     210    198.2846  0.00559672  
     220    189.6337  0.005399978  
     230    181.7388  0.005221206  
     240    174.5056  0.005058176  
     250    167.8543  0.004909018  
     260     161.718  0.004772148  
     270    156.0395  0.00464622  
     280    150.7699  0.004530078  
     290    145.8668  0.00442273  
     300    141.2936  0.004323312  
     310    137.0185  0.004231076  
     320    133.0134  0.004145365  
     330     129.254  0.004065605  
     340    125.7186  0.003991289  
     350     122.388  0.003921968  
     360    119.2453  0.003857243  
     370     116.275  0.00379676  
     380    113.4638  0.003740204  
     390    110.7993  0.00368729  
     400    108.2706  0.003637763  
     410    105.8679  0.003591396  
     420    103.5821  0.003547981  
     430    101.4051  0.003507333  
     440    99.32956  0.003469281  
     450    97.34871  0.003433673  
     460    95.45641  0.00340037  
     470    93.64705  0.003369246  
     480    91.91546  0.003340185  
     490      90.257  0.003313082  
     500    88.66717  0.003287843  
     510    87.14202  0.003264378  
     520    85.67785  0.00324261  
     530    84.27125  0.003222465  
     540    82.91904  0.003203877  
     550    81.61829  0.003186785  
     560    80.36627  0.003171135  
     570    79.16045  0.003156875  
     580    77.99846  0.003143962  
     590    76.87812  0.003132352  
     600    75.79736  0.00312201  
     610    74.75428  0.003112902  
     620    73.74708  0.003104996  
     630    72.77408  0.003098268  
     640    71.83379  0.003092693  
     650    70.92459  0.003088251  
     660    70.04516  0.003084924  
     670     69.1942  0.003082697  
     680    68.37049  0.003081558  
     690    67.57288  0.003081499  
     700    66.80028  0.003082511  
     710    66.05167  0.00308459  
     720    65.32608  0.003087735  
     730     64.6226  0.003091946  
     740    63.94036  0.003097227  
     750    63.27856  0.003103583  
     760    62.63642  0.003111023  
     770    62.01321  0.003119558  
     780    61.40824  0.003129202  
     790    60.82085  0.003139971  
     800    60.25048  0.003151886  
     810    59.69644  0.00316497  
     820     59.1582  0.003179249  
     830    58.63524  0.003194753  
     840    58.12705  0.003211516  
     850    57.63316  0.003229577  
     860     57.1531  0.003248977  
     870    56.68645  0.003269764  
     880    56.23278  0.003291991  
     890    55.79171  0.003315717  
     900    55.36286  0.003341005  
     910    54.94588  0.00336793  
     920    54.54042  0.00339657  
     930    54.14616  0.003427014  
     940     53.7628  0.003459362  
     950    53.39005  0.003493723  
     960    53.02762  0.00353022  
     970    52.67526  0.003568991  
     980    52.33276  0.003610189  
     990    51.99979  0.003653987  
    1000    51.67617  0.003700581  
    1010    51.36168  0.00375019  
    1020    51.05612  0.003803067  
    1030    50.75931  0.003859498  
    1040    50.47105  0.003919812  
    1050    50.19118  0.003984387  
    1060    49.91954  0.004053666  
    1070    49.65598  0.004128164  
    1080    49.40036  0.004208487  
    1090    49.15254  0.004295358  
    1100     48.9124  0.004389643  
    1110    48.67984  0.004492391  
    1120    48.45474  0.004604891  
    1130      48.237  0.004728744  
    1140    48.02652  0.004865972  
    1150    47.82323  0.005019175  
    1160      47.627  0.005191757  
    1170    47.43774  0.00538828  
    1180     47.2553  0.00561501  
    1190    47.07948  0.005880795  
    1200    46.90998  0.006198474  
    1210    46.74632  0.006587068  
    1220    46.58775  0.007074533  
    1230    46.43306  0.007697851  
    1240    46.28144  0.008486242  
    1250    46.13409  0.009410247  
    1260     45.9947  0.01036365  
    1270    45.86564  0.01125444  
    1280    45.74646  0.01205542  
    1290     45.6356  0.01277359  
    1300    45.53152  0.01342331  
    1310    45.43299  0.01401768  
    1320    45.33907   0.0145671  
    1330    45.24908  0.01507945  
    1340    45.16246  0.01556081  
    1350    45.07878  0.01601589  
    1360     44.9977  0.01644838  
    1370    44.91895  0.01686123  
    1380    44.84229  0.01725684  
    1390    44.76753  0.01763716  
    1400    44.69452  0.01800382  
    1410    44.62311  0.01835817  
    1420    44.55318   0.0187014  
    1430    44.48463  0.01903449  
    1440    44.41736   0.0193583  
    1450    44.35131  0.01967358  
    1460    44.28638  0.01998098  
    1470    44.22252  0.02028107  
    1480    44.15968  0.02057437  
    1490    44.09779  0.02086133  
    1500    44.03681  0.02114235  
    1510     43.9767  0.02141781  
    1520    43.91741  0.02168802  
    1530    43.85892  0.02195329  
    1540    43.80118  0.02221389  
    1550    43.74416  0.02247007  
    1560    43.68784  0.02272205  
    1570     43.6322  0.02297005  
    1580    43.57719  0.02321424  
    1590    43.52281  0.02345482  
    1600    43.46903  0.02369194  
    1610    43.41582  0.02392575  
    1620    43.36318   0.0241564  
    1630    43.31108  0.02438401  
    1640     43.2595  0.02460871  
    1650    43.20844  0.02483061  
    1660    43.15786  0.02504982  
    1670    43.10777  0.02526643  
    1680    43.05814  0.02548055  
    1690    43.00894  0.02569228  
    1700    42.96021  0.02590167  
    1710    42.91191   0.0261088  
    1720    42.86402  0.02631376  
    1730    42.81654  0.02651661  
    1740    42.76946  0.02671743  
    1750    42.72277  0.02691627  
    1760    42.67646   0.0271132  
    1770    42.63051  0.02730827  
    1780    42.58493  0.02750154  
    1790     42.5397  0.02769305  
    1800    42.49482  0.02788286  
    1810    42.45028    0.028071  
    1820    42.40606  0.02825754  
    1830    42.36217   0.0284425  
    1840     42.3186  0.02862594  
    1850    42.27534  0.02880788  
    1860    42.23238  0.02898837  
    1870    42.18972  0.02916744  
    1880    42.14736  0.02934512  
    1890    42.10528  0.02952145  
    1900    42.06348  0.02969646  
    1910    42.02196  0.02987018  
    1920    41.98072  0.03004264  
    1930    41.93974  0.03021387  
    1940    41.89902  0.03038389  
    1950    41.85856  0.03055273  
    1960    41.81836  0.03072041  
    1970     41.7784  0.03088696  
    1980    41.73869  0.03105241  
    1990    41.69922  0.03121676  
    2000    41.65999  0.03138006  
    2010    41.62099  0.03154231  
    2020    41.58222  0.03170353  
    2030    41.54368  0.03186376  
    2040    41.50536    0.032023  
    2050    41.46726  0.03218127  
    2060    41.42938  0.03233859  
    2070    41.39171  0.03249499  
    2080    41.35424  0.03265046  
    2090    41.31699  0.03280504  
    2100    41.27994  0.03295874  
    2110    41.24309  0.03311157  
    2120    41.20643  0.03326354  
    2130    41.16998  0.03341468  
    2140    41.13371  0.03356499  
    2150    41.09764  0.03371449  
    2160    41.06175  0.03386319  
    2170    41.02605  0.03401111  
    2180    40.99053  0.03415825  
    2190    40.95519  0.03430463  
