 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	
day	psi	F	**	**	**	**	**	**	**	**	**	
         0	   3203.67	       530	4.94696e+006	7.93149e+006	2.69793e+008	3.55281e+007	2.41624e+007	3.95348e+007	1.93994e+007	6.19392e+006	1.34917e+006	
      0.01	   3203.67	       530	4.94696e+006	7.93149e+006	2.69793e+008	3.55282e+007	2.41624e+007	3.95348e+007	1.93994e+007	6.19392e+006	1.34917e+006	
      0.51	   3203.78	       530	4.94701e+006	7.93157e+006	2.69796e+008	3.55285e+007	2.41627e+007	3.95352e+007	1.93996e+007	6.19386e+006	1.34916e+006	
   1.85821	   3204.05	       530	4.94715e+006	7.9318e+006	2.69804e+008	3.55295e+007	2.41634e+007	3.95363e+007	1.94001e+007	6.19372e+006	1.34912e+006	
   5.49668	   3204.75	       530	4.94751e+006	7.93237e+006	2.69823e+008	3.55321e+007	2.41651e+007	3.9539e+007	1.94013e+007	6.19335e+006	1.34903e+006	
   15.4506	   3206.61	       530	4.94844e+006	7.93387e+006	2.69874e+008	3.55388e+007	2.41696e+007	3.95461e+007	1.94046e+007	6.19239e+006	1.34879e+006	
   35.4506	   3210.19	       530	4.95025e+006	7.93677e+006	2.69973e+008	3.55518e+007	2.41784e+007	3.95599e+007	1.94108e+007	6.19044e+006	1.3483e+006	
   55.4506	   3213.61	       530	4.95198e+006	7.93955e+006	2.70068e+008	3.55642e+007	2.41868e+007	3.95731e+007	1.94168e+007	6.18843e+006	1.3478e+006	
   75.4506	   3216.86	       530	4.95364e+006	7.9422e+006	2.70158e+008	3.55761e+007	2.41948e+007	3.95857e+007	1.94225e+007	6.18634e+006	1.34729e+006	
   95.4506	   3219.93	       530	4.9552e+006	7.94471e+006	2.70243e+008	3.55873e+007	2.42024e+007	3.95975e+007	1.94278e+007	6.18419e+006	1.34676e+006	
   115.451	    3222.8	       530	4.95668e+006	7.94708e+006	2.70324e+008	3.55979e+007	2.42096e+007	3.96087e+007	1.94328e+007	6.18198e+006	1.34622e+006	
   135.451	    3225.5	       530	4.95807e+006	7.94931e+006	2.70399e+008	3.56078e+007	2.42163e+007	3.96192e+007	1.94374e+007	6.1797e+006	1.34567e+006	
   155.451	   3228.01	       530	4.95937e+006	7.9514e+006	2.70471e+008	3.56172e+007	2.42226e+007	3.9629e+007	1.94417e+007	6.17735e+006	1.3451e+006	
   175.451	   3230.35	       530	4.96059e+006	7.95337e+006	2.70537e+008	3.5626e+007	2.42286e+007	3.96381e+007	1.94458e+007	6.17496e+006	1.34452e+006	
