KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
      10    87.14445    664.4389    312.5992    40.11449    11.52967    1.733775   0.6709823  0.003310034  3.335604e-007  
      11    79.27369    604.3195    284.2123     36.4868    10.48983    1.578291   0.6111519  0.003022792  3.059595e-007  
      12     72.7155      554.22    260.5558    33.46391    9.623351    1.448736   0.5612996  0.00278349  2.829803e-007  
      13     67.1669    511.8289    240.5382    30.90619    8.890215    1.339123   0.5191217  0.002581064  2.635569e-007  
      14    62.41147    475.4951    223.3798    28.71394    8.261835    1.245176   0.4829728  0.002407611  2.469279e-007  
      15    58.29055    444.0075    208.5088    26.81405    7.717252     1.16376   0.4516466  0.002257336  2.325348e-007  
      16    54.68514    416.4576    195.4964    25.15167    7.240748    1.092525   0.4242386  0.002125894  2.199587e-007  
      17    51.50425    392.1507    184.0146     23.6849    6.820305    1.029673    0.400057  0.002009961  2.088792e-007  
      18     48.6771    370.5465    173.8084    22.38112    6.446577   0.9738058    0.378564  0.001906951  1.990471e-007  
      19    46.14784    351.2183    164.6763     21.2146    6.112186   0.9238209   0.3593349  0.001814825  1.902656e-007  
      20    43.87177    333.8248    156.4573    20.16473    5.811231   0.8788353   0.3420301  0.00173195  1.823774e-007  
      21    41.81272    318.0896     149.021    19.21486    5.538932   0.8381347   0.3263745  0.001657004  1.752548e-007  
      22     39.9411    303.7867    142.2605    18.35135    5.291383   0.8011346   0.3121433  0.001588906  1.687938e-007  
      23    38.23244    290.7292    136.0878    17.56292    5.065355   0.7673522   0.2991506  0.001526762  1.629079e-007  
      24    36.66647    278.7625    130.4294    16.84018    4.858144   0.7363832    0.287241  0.001469829  1.57526e-007  
      25     35.2259    267.7538    125.2235    16.17528    4.667516   0.7078935   0.2762855  0.001417481  1.525868e-007  
      26    33.89634    257.5935    120.4181    15.56153    4.491545   0.6815955   0.2661736  0.00136919  1.480398e-007  
      27    32.66544    248.1873    115.9685    14.99324    4.328605   0.6572456   0.2568116  0.001324503  1.438413e-007  
      28    31.52263    239.4543    111.8367    14.46555    4.177298   0.6346351    0.248119  0.001283036  1.399541e-007  
      29    30.45881     231.325    107.9898    13.97425    4.036421    0.613584   0.2400266  0.001244455  1.36346e-007  
      30    29.46606    223.7388    104.3993    13.51571    3.904933   0.5939364   0.2324745  0.00120847  1.329893e-007  
      31    28.53751    216.6432    101.0403    13.08675    3.781924   0.5755566   0.2254103  0.001174832  1.298595e-007  
      32    27.66713    209.9922    97.89127    12.68461    3.666599   0.5583258   0.2187882  0.001143319  1.269354e-007  
      33    26.84964    203.7453      94.933    12.30684    3.558261   0.5421394   0.2125682  0.001113739  1.241984e-007  
      34    26.08037    197.8668    92.14869     11.9513    3.456294   0.5269054   0.2067147  0.00108592  1.21632e-007  
      35    25.35518    192.3252    89.52342    11.61608    3.360151   0.5125423   0.2011963  0.001059712  1.192215e-007  
      36    24.67039    187.0922    87.04395    11.29949    3.269348   0.4989775   0.1959851  0.001034981  1.16954e-007  
      37    24.02272    182.1428    84.69845    11.00002    3.183452   0.4861463   0.1910562  0.001011605  1.148179e-007  
      38    23.40925    177.4546    82.47633    10.71632    3.102076   0.4739909   0.1863873  0.0009894791  1.128027e-007  
      39    22.82734    173.0074    80.36812    10.44717    3.024872   0.4624593   0.1819584  0.0009685056  1.108992e-007  
      40    22.27461    168.7831    78.36526    10.19149    2.951529   0.4515049   0.1777516  0.0009485983  1.09099e-007  
      41    21.74893    164.7653    76.46004    9.948287    2.881765   0.4410854   0.1737505  0.0009296789  1.073944e-007  
      42    21.24836    160.9393    74.64548    9.716674    2.815323   0.4311627   0.1699405  0.0009116766  1.057787e-007  
      43    20.77115    157.2915    72.91527    9.495841    2.751973   0.4217022   0.1663083  0.0008945272  1.042455e-007  
      44    20.31569    153.8098    71.26364    9.285056    2.691504   0.4126724   0.1628417  0.0008781723  1.027893e-007  
      45    19.88054     150.483    69.68535    9.083647    2.633724   0.4040448   0.1595298  0.0008625587  1.014049e-007  
