KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
      10    312.8187     28.7657    1.585448  0.04417176  0.0007946695  1.366666e-005  
      11    284.4031    26.16835    1.443355  0.04025455  0.0007254175  1.249318e-005  
      12     260.725    24.00393    1.324951   0.0369904  0.000667682  1.151472e-005  
      13    240.6912    22.17252    1.224766  0.03422852  0.0006188092  1.068635e-005  
      14    223.5205    20.60276    1.138896  0.03186124  0.0005769026  9.975987e-006  
      15    208.6403    19.24232    1.064477  0.02980961  0.0005405712  9.360082e-006  
      16    195.6209    18.05194   0.9993604  0.02801443  0.0005087714  8.820965e-006  
      17     184.134    17.00161   0.9419051  0.02643044  0.0004807047  8.345121e-006  
      18    173.9241      16.068   0.8908339  0.02502244  0.0004557502  7.92203e-006  
      19    164.7894    15.23266   0.8451386  0.02376264  0.0004334173  7.543386e-006  
      20    156.5687    14.48086   0.8040128  0.02262881  0.0004133136  7.202542e-006  
      21    149.1314    13.80067   0.7668037  0.02160296  0.0003951213  6.894113e-006  
      22    142.3705    13.18232   0.7329772  0.02067038  0.0003785804  6.613693e-006  
      23    136.1979    12.61774   0.7020921  0.01981889  0.0003634758  6.35764e-006  
      24      130.54    12.10021   0.6737808  0.01903836  0.0003496285  6.122918e-006  
      25     125.335    11.62408   0.6477344  0.01832029  0.0003368879  5.906977e-006  
      26    120.5306    11.18459   0.6236916  0.01765747  0.0003251268  5.707658e-006  
      27    116.0823    10.77765   0.6014298  0.01704376  0.0003142364  5.52312e-006  
      28    111.9519    10.39978   0.5807583  0.01647391  0.0003041239  5.351786e-006  
      29    108.1065    10.04797   0.5615125  0.01594338  0.0002947089  5.192295e-006  
      30    104.5177    9.719616   0.5435499  0.01544824  0.0002859218  5.043467e-006  
      31    101.1606    9.412449   0.5267464  0.01498507  0.0002777021  4.904276e-006  
      32    98.01336    9.124483   0.5109934  0.01455088  0.0002699968  4.773821e-006  
      33    95.05702    8.853971   0.4961952  0.01414303  0.0002627591  4.651311e-006  
      34     92.2747    8.599374   0.4822679  0.01375919  0.0002559481  4.536049e-006  
      35    89.65146    8.359327   0.4691366  0.01339732  0.0002495271  4.427416e-006  
      36    87.17405    8.132617   0.4567351  0.01305559  0.0002434639  4.324862e-006  
      37    84.83064    7.918164   0.4450042  0.01273236  0.0002377294  4.227897e-006  
      38    82.61064       7.715    0.433891  0.01242617  0.0002322979  4.136082e-006  
      39    80.50456    7.522256   0.4233481  0.01213571  0.0002271461  4.049022e-006  
      40    78.50385    7.339151   0.4133326  0.01185981  0.0002222531  3.966362e-006  
      41     76.6008     7.16498    0.403806   0.0115974   0.0002176  3.887783e-006  
      42    74.78843    6.999104   0.3947333  0.01134752  0.0002131697  3.812993e-006  
      43     73.0604    6.840945    0.386083   0.0111093  0.0002089468  3.741731e-006  
      44    71.41098    6.689977   0.3778262  0.01088194  0.0002049171  3.673757e-006  
      45     69.8349     6.54572   0.3699367  0.01066471  0.0002010679  3.608853e-006  
      46     68.3274    6.407737   0.3623906  0.01045696  0.0001973873  3.54682e-006  
      47    66.88408    6.275627   0.3551659  0.01025809  0.0001938647  3.487476e-006  
      48    65.50094    6.149023   0.3482426  0.01006754  0.0001904903  3.430653e-006  
      49    64.17429    6.027589   0.3416022  0.009884792  0.0001872549  3.376198e-006  
      50    62.90073    5.911013   0.3352277  0.009709392  0.0001841503  3.32397e-006  
      51    61.67716     5.79901   0.3291036  0.009540903  0.0001811689  3.273839e-006  
      52    60.50067    5.691317   0.3232154  0.009378927  0.0001783034  3.225684e-006  
      53     59.3686    5.587689   0.3175497  0.009223096  0.0001755475  3.179395e-006  
      54    58.27849    5.487901   0.3120942  0.009073069  0.000172895  3.134868e-006  
      55    57.22805    5.391743   0.3068374  0.00892853  0.0001703404  3.092008e-006  
      56    56.21514    5.299021   0.3017687  0.008789185  0.0001678783  3.050726e-006  
      57     55.2378    5.209553   0.2968782  0.008654761  0.000165504  3.01094e-006  
      58    54.29417    5.123173   0.2921567  0.008525004  0.0001632129  2.972573e-006  
      59    53.38256    5.039721   0.2875956  0.008399678  0.0001610008  2.935553e-006  
      60    52.50135    4.959053   0.2831868  0.00827856  0.0001588638  2.899814e-006  
      61    51.64905    4.881031   0.2789229  0.008161444  0.0001567983  2.865292e-006  
      62    50.82426    4.805528    0.274797  0.008048137  0.0001548006  2.83193e-006  
      63    50.02567    4.732422   0.2708023  0.007938458  0.0001528678  2.799673e-006  
      64    49.25205    4.661603   0.2669328  0.007832237  0.0001509966  2.768469e-006  
      65    48.50225    4.592964   0.2631826  0.007729314  0.0001491843  2.73827e-006  
      66    47.77519    4.526406   0.2595465  0.00762954  0.0001474283  2.709031e-006  
      67    47.06984    4.461837   0.2560192  0.007532774  0.000145726  2.680709e-006  
      68    46.38525    4.399168   0.2525959  0.007438884  0.000144075  2.653264e-006  
      69    45.72051    4.338317   0.2492723  0.007347745  0.0001424732  2.626659e-006  
      70    45.07478    4.279205   0.2460438  0.007259239  0.0001409184  2.600857e-006  
      71    44.44725     4.22176   0.2429067  0.007173254  0.0001394086  2.575825e-006  
      72    43.83716    4.165912    0.239857  0.007089687  0.0001379421  2.551532e-006  
      73     43.2438    4.111596   0.2368912  0.007008438  0.000136517  2.527947e-006  
      74    42.66648    4.058748   0.2340058  0.006929413  0.0001351317  2.505042e-006  
      75    42.10457    4.007312   0.2311977  0.006852523  0.0001337845  2.48279e-006  
      76    41.55745     3.95723   0.2284638  0.006777684  0.000132474  2.461165e-006  
      77    41.02455     3.90845   0.2258012  0.006704817  0.0001311988  2.440144e-006  
      78    40.50533    3.860922   0.2232072  0.006633846  0.0001299575  2.419703e-006  
      79    39.99926    3.814598   0.2206791  0.006564698  0.0001287488  2.39982e-006  
      80    39.50585    3.769434   0.2182146  0.006497306  0.0001275716  2.380476e-006  
      81    39.02462    3.725386   0.2158112  0.006431605  0.0001264246  2.361649e-006  
      82    38.55515    3.682414   0.2134667  0.006367533  0.0001253068  2.343323e-006  
      83    38.09699    3.640478    0.211179  0.006305031  0.000124217  2.325478e-006  
      84    37.64975    3.599542    0.208946  0.006244044  0.0001231544  2.308098e-006  
      85    37.21303    3.559571   0.2067659  0.006184517  0.000122118  2.291166e-006  
      86    36.78648     3.52053   0.2046368  0.006126401  0.0001211068  2.274667e-006  
      87    36.36974    3.482387   0.2025568  0.006069646  0.00012012  2.258587e-006  
      88    35.96248    3.445113   0.2005245  0.006014206  0.0001191568  2.242912e-006  
      89    35.56438    3.408677   0.1985381  0.005960038  0.0001182163  2.227627e-006  
      90    35.17512    3.373052   0.1965961  0.005907098  0.0001172979  2.212721e-006  
      91    34.79443    3.338212    0.194697  0.005855347  0.0001164008  2.19818e-006  
      92    34.42202    3.304129   0.1928396  0.005804745  0.0001155243  2.183994e-006  
      93    34.05763    3.270781   0.1910223  0.005755256  0.0001146677  2.17015e-006  
      94    33.70099    3.238143    0.189244  0.005706845  0.0001138305  2.156639e-006  
      95    33.35186    3.206194   0.1875033  0.005659476  0.000113012  2.14345e-006  
      96    33.01001    3.174911   0.1857992  0.005613119  0.0001122116  2.130572e-006  
      97    32.67522    3.144274   0.1841305  0.005567741  0.0001114289  2.117998e-006  
      98    32.34726    3.114264   0.1824961  0.005523314  0.0001106631  2.105717e-006  
      99    32.02593     3.08486    0.180895  0.005479807  0.000109914  2.09372e-006  
     100    31.71103    3.056046   0.1793262  0.005437194  0.0001091808  2.082e-006  
     101    31.40237    3.027804   0.1777887  0.005395447  0.0001084632  2.070549e-006  
     102    31.09977    3.000116   0.1762816  0.005354543  0.0001077608  2.059358e-006  
     103    30.80304    2.972967    0.174804  0.005314455  0.000107073  2.048421e-006  
     104    30.51203    2.946341   0.1733551  0.005275162  0.0001063996  2.037729e-006  
     105    30.22656    2.920223    0.171934  0.005236639  0.0001057399  2.027277e-006  
     106    29.94648    2.894599     0.17054  0.005198866  0.0001050938  2.017058e-006  
     107    29.67165    2.869455   0.1691723  0.005161821  0.0001044607  2.007065e-006  
     108     29.4019    2.844777   0.1678302  0.005125485  0.0001038404  1.997292e-006  
     109    29.13711    2.820553   0.1665129  0.005089837  0.0001032325  1.987734e-006  
     110    28.87713    2.796771   0.1652198  0.005054859  0.0001026366  1.978384e-006  
     111    28.62184    2.773418   0.1639503  0.005020534  0.0001020525  1.969237e-006  
     112    28.37111    2.750483   0.1627037  0.004986843  0.0001014798  1.960288e-006  
     113    28.12483    2.727955   0.1614794  0.00495377  0.0001009183  1.951532e-006  
     114    27.88286    2.705823   0.1602767  0.004921298  0.0001003676  1.942964e-006  
