Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	0.667615	0.315742	0.351873	0	0.47294	0.52706	0		0.953875	0.0455924	0.000532235	0.196429	0.120573	0.682999	
Seg 1	730.533	85.4	0.667615	0.313297	0.354318	0	0.469278	0.530722	0		0.954033	0.0454321	0.00053483	0.197725	0.120487	0.681788	
Seg 2	735.911	85.4	0.667615	0.310841	0.356774	0	0.4656	0.5344	0		0.954189	0.0452733	0.000537482	0.199027	0.1204	0.680573	
Seg 3	741.323	85.4	0.667615	0.308375	0.35924	0	0.461906	0.538094	0		0.954344	0.045116	0.000540192	0.200334	0.120311	0.679355	
Seg 4	746.769	85.4	0.667615	0.305899	0.361716	0	0.458196	0.541804	0		0.954497	0.0449602	0.000542961	0.201647	0.120221	0.678132	
Seg 5	752.249	85.4	0.667615	0.303412	0.364203	0	0.454471	0.545529	0		0.954648	0.044806	0.000545789	0.202966	0.120129	0.676905	
Seg 6	757.763	85.4	0.667615	0.300914	0.366701	0	0.45073	0.54927	0		0.954798	0.0446532	0.000548678	0.20429	0.120035	0.675675	
Seg 7	763.311	85.4	0.667615	0.298406	0.369209	0	0.446973	0.553027	0		0.954946	0.044502	0.000551629	0.20562	0.11994	0.67444	
Seg 8	768.893	85.4	0.667615	0.295887	0.371728	0	0.4432	0.5568	0		0.955093	0.0443522	0.000554642	0.206956	0.119843	0.673201	
Seg 9	774.509	85.4	0.667615	0.293358	0.374257	0	0.439412	0.560588	0		0.955238	0.0442039	0.000557719	0.208297	0.119745	0.671958	
Seg 10	780.16	85.4	0.667615	0.290819	0.376796	0	0.435609	0.564391	0		0.955382	0.0440571	0.000560861	0.209644	0.119645	0.670711	
Seg 11	785.846	85.4	0.667615	0.288269	0.379346	0	0.43179	0.56821	0		0.955524	0.0439118	0.000564069	0.210997	0.119544	0.66946	
Seg 12	791.565	85.4	0.667615	0.28571	0.381906	0	0.427955	0.572045	0		0.955665	0.0437679	0.000567343	0.212355	0.119441	0.668204	
Seg 13	797.32	85.4	0.667615	0.283139	0.384476	0	0.424106	0.575894	0		0.955804	0.0436256	0.000570685	0.213719	0.119336	0.666945	
Seg 14	803.109	85.4	0.667615	0.280559	0.387056	0	0.420241	0.579759	0		0.955941	0.0434846	0.000574096	0.215088	0.11923	0.665682	
Seg 15	808.933	85.4	0.667615	0.277969	0.389646	0	0.416361	0.583639	0		0.956077	0.0433452	0.000577577	0.216463	0.119123	0.664414	
Seg 16	814.792	85.4	0.667615	0.275369	0.392246	0	0.412467	0.587533	0		0.956212	0.0432071	0.000581129	0.217844	0.119013	0.663143	
Seg 17	820.686	85.4	0.667615	0.272759	0.394856	0	0.408557	0.591443	0		0.956345	0.0430706	0.000584754	0.21923	0.118903	0.661867	
Seg 18	826.615	85.4	0.667615	0.270139	0.397476	0	0.404633	0.595367	0		0.956476	0.0429355	0.000588452	0.220622	0.118791	0.660588	
Seg 19	832.579	85.4	0.667615	0.26751	0.400106	0	0.400694	0.599306	0		0.956606	0.0428018	0.000592225	0.222019	0.118677	0.659304	
Seg 20	838.578	85.4	0.667615	0.26487	0.402745	0	0.396741	0.603259	0		0.956734	0.0426695	0.000596074	0.223422	0.118562	0.658017	
Seg 21	844.612	85.4	0.667615	0.262222	0.405393	0	0.392774	0.607226	0		0.956861	0.0425388	0.000600001	0.224829	0.118445	0.656725	
Seg 22	850.682	85.4	0.667615	0.259564	0.408051	0	0.388793	0.611207	0		0.956987	0.0424094	0.000604006	0.226243	0.118327	0.655429	
Seg 23	856.786	85.4	0.667615	0.256896	0.410719	0	0.384797	0.615203	0		0.95711	0.0422815	0.00060809	0.227662	0.118208	0.65413	
Seg 24	862.927	85.4	0.667615	0.25422	0.413395	0	0.380788	0.619212	0		0.957233	0.0421549	0.000612256	0.229087	0.118087	0.652826	
Seg 25	869.102	85.4	0.667615	0.251534	0.416081	0	0.376765	0.623235	0		0.957354	0.0420298	0.000616504	0.230516	0.117965	0.651519	
Seg 26	875.314	85.4	0.667615	0.248839	0.418776	0	0.372729	0.627271	0		0.957473	0.0419061	0.000620836	0.231952	0.117841	0.650207	
Seg 27	881.56	85.4	0.667615	0.246136	0.421479	0	0.368679	0.631321	0		0.957591	0.0417839	0.000625253	0.233392	0.117716	0.648892	
Seg 28	887.843	85.4	0.667615	0.243423	0.424192	0	0.364617	0.635383	0		0.957707	0.041663	0.000629757	0.234838	0.117589	0.647573	
Seg 29	894.161	85.4	0.667615	0.240703	0.426912	0	0.360541	0.639459	0		0.957822	0.0415436	0.000634349	0.236289	0.117462	0.64625	
Seg 30	900.514	85.4	0.667615	0.237973	0.429642	0	0.356453	0.643547	0		0.957935	0.0414255	0.000639031	0.237745	0.117332	0.644923	
Seg 31	906.904	85.4	0.667615	0.235236	0.43238	0	0.352352	0.647648	0		0.958047	0.0413088	0.000643804	0.239206	0.117202	0.643592	
Seg 32	913.329	85.4	0.667615	0.23249	0.435125	0	0.348239	0.651761	0		0.958158	0.0411936	0.000648669	0.240672	0.11707	0.642258	
Seg 33	919.79	85.4	0.667615	0.229736	0.437879	0	0.344114	0.655886	0		0.958267	0.0410797	0.000653628	0.242144	0.116936	0.64092	
Seg 34	926.286	85.4	0.667615	0.226974	0.440641	0	0.339977	0.660023	0		0.958374	0.0409673	0.000658683	0.24362	0.116802	0.639578	
Seg 35	932.819	85.4	0.667615	0.224204	0.443411	0	0.335828	0.664172	0		0.95848	0.0408562	0.000663835	0.245102	0.116666	0.638232	
Seg 36	939.387	85.4	0.667615	0.221427	0.446188	0	0.331669	0.668331	0		0.958584	0.0407465	0.000669086	0.246588	0.116529	0.636883	
Seg 37	945.992	85.4	0.667615	0.218642	0.448973	0	0.327497	0.672503	0		0.958687	0.0406381	0.000674438	0.248079	0.11639	0.635531	
Seg 38	952.632	85.4	0.667615	0.21585	0.451765	0	0.323315	0.676685	0		0.958789	0.0405312	0.000679892	0.249575	0.11625	0.634174	
Seg 39	959.308	85.4	0.667615	0.213051	0.454564	0	0.319123	0.680877	0		0.958889	0.0404256	0.00068545	0.251076	0.116109	0.632815	
Seg 40	966.02	85.4	0.667615	0.210245	0.45737	0	0.31492	0.68508	0		0.958987	0.0403214	0.000691113	0.252582	0.115967	0.631451	
Seg 41	972.768	85.4	0.667615	0.207432	0.460183	0	0.310706	0.689294	0		0.959085	0.0402186	0.000696884	0.254092	0.115824	0.630085	
Seg 42	979.552	85.4	0.667615	0.204613	0.463002	0	0.306483	0.693517	0		0.95918	0.0401171	0.000702764	0.255607	0.115679	0.628714	
Seg 43	986.371	85.4	0.667615	0.201787	0.465828	0	0.30225	0.69775	0		0.959274	0.040017	0.000708755	0.257126	0.115533	0.627341	
Seg 44	993.227	85.4	0.667615	0.198954	0.468661	0	0.298008	0.701992	0		0.959367	0.0399182	0.000714859	0.25865	0.115386	0.625964	
Seg 45	1000.12	85.4	0.667615	0.196116	0.471499	0	0.293756	0.706244	0		0.959458	0.0398208	0.000721077	0.260178	0.115238	0.624584	
Seg 46	1007.05	85.4	0.667615	0.193272	0.474343	0	0.289496	0.710504	0		0.959548	0.0397247	0.000727412	0.261711	0.115088	0.623201	
Seg 47	1014.01	85.4	0.667615	0.190422	0.477193	0	0.285227	0.714773	0		0.959636	0.03963	0.000733866	0.263248	0.114938	0.621814	
Seg 48	1021.01	85.4	0.667615	0.187566	0.480049	0	0.280949	0.719051	0		0.959723	0.0395366	0.00074044	0.264789	0.114786	0.620424	
Seg 49	1028.04	85.4	0.667615	0.184705	0.48291	0	0.276664	0.723336	0		0.959808	0.0394446	0.000747137	0.266335	0.114634	0.619032	
Seg 50	1035.12	85.4	0.667615	0.181839	0.485776	0	0.272371	0.727629	0		0.959892	0.0393539	0.000753958	0.267884	0.11448	0.617636	


0.01      	725.189   	85.4      	25.4117   	2974.16   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 0	725.189	85.4	4.0249	4.0249	0	0	1	0	0		0.45087	0.0948648	0.454265	0.45087	0.0948648	0.454265	
Seg 1	729.357	85.4	0.777592	0.467536	0.310056	0	0.601262	0.398738	0		0.954247	0.0452185	0.000534329	0.197454	0.119857	0.682689	
Seg 2	736.231	85.4	0.770873	0.462095	0.308778	0	0.302297	0.697703	0		0.954433	0.0450289	0.000537709	0.199117	0.11978	0.681103	
Seg 3	743.24	85.4	0.764183	0.453257	0.310926	0	0.287132	0.712868	0		0.95462	0.0448392	0.000541224	0.200809	0.119697	0.679494	
Seg 4	750.291	85.4	0.757614	0.444401	0.313213	0	0.282415	0.717585	0		0.954803	0.0446518	0.00054483	0.202506	0.119611	0.677884	
Seg 5	757.381	85.4	0.751165	0.435649	0.315516	0	0.277918	0.722082	0		0.954985	0.0444669	0.000548527	0.204208	0.119521	0.676271	
Seg 6	764.509	85.4	0.744835	0.427001	0.317834	0	0.273439	0.726561	0		0.955163	0.0442844	0.000552315	0.205914	0.119428	0.674658	
Seg 7	771.676	85.4	0.738622	0.418456	0.320166	0	0.268973	0.731027	0		0.955339	0.0441043	0.000556197	0.207626	0.119331	0.673043	
Seg 8	778.881	85.4	0.732524	0.410013	0.322511	0	0.264521	0.735479	0		0.955513	0.0439267	0.000560174	0.209342	0.11923	0.671428	
Seg 9	786.125	85.4	0.726538	0.401669	0.32487	0	0.260083	0.739917	0		0.955684	0.0437514	0.000564245	0.211062	0.119127	0.669811	
Seg 10	793.406	85.4	0.720664	0.393423	0.327241	0	0.25566	0.74434	0		0.955853	0.0435786	0.000568414	0.212787	0.11902	0.668193	
