Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	725.189   	85.4      	25.4117   	2974.16   	
0.0226551 	725.189   	85.4      	18.0222   	3023.77   	
0.0429912 	725.189   	85.4      	15.0232   	2684.89   	
0.0781656 	725.189   	85.4      	13.0451   	2309.28   	
0.145664  	725.189   	85.4      	11.3731   	1991.59   	
0.292082  	725.189   	85.4      	9.9042    	1727.62   	
0.602327  	725.189   	85.4      	8.68155   	1520.51   	
1.28167   	725.189   	85.4      	7.65453   	1353.35   	
2.82524   	725.189   	85.4      	6.79468   	1213.91   	
5.82524   	725.189   	85.4      	6.14398   	1106.44   	
8.82524   	725.189   	85.4      	5.79755   	1048.29   	
11.8252   	725.189   	85.4      	5.57324   	1010.46   	
14.8252   	725.189   	85.4      	5.4126    	983.287   	
17.8252   	725.189   	85.4      	5.28921   	962.35    	
20.8252   	725.189   	85.4      	5.1905    	945.54    	
23.8252   	725.189   	85.4      	5.10772   	931.412   	
26.8252   	725.189   	85.4      	5.03699   	919.305   	
29.8252   	725.189   	85.4      	4.97527   	908.708   	
32.8252   	725.189   	85.4      	4.91983   	899.168   	
35.8252   	725.189   	85.4      	4.87049   	890.634   	
38.8252   	725.189   	85.4      	4.82555   	882.829   	
41.8252   	725.189   	85.4      	4.78415   	875.603   	
44.8252   	725.189   	85.4      	4.74561   	868.844   	
47.8252   	725.189   	85.4      	4.70947   	862.47    	
50.8252   	725.189   	85.4      	4.67531   	856.415   	
53.8252   	725.189   	85.4      	4.64283   	850.623   	
56.8252   	725.189   	85.4      	4.61176   	845.052   	
59.8252   	725.189   	85.4      	4.58192   	839.669   	
62.8252   	725.189   	85.4      	4.55312   	834.446   	
65.8252   	725.189   	85.4      	4.52524   	829.36    	
68.8252   	725.189   	85.4      	4.49814   	824.39    	
71.8252   	725.189   	85.4      	4.47158   	819.473   	
74.8252   	725.189   	85.4      	4.44577   	814.691   	
77.8252   	725.189   	85.4      	4.42058   	809.999   	
80.8252   	725.189   	85.4      	4.39587   	805.375   	
83.8252   	725.189   	85.4      	4.3716    	800.813   	
86.8252   	725.189   	85.4      	4.34775   	796.31    	
89.8252   	725.189   	85.4      	4.32427   	791.86    	
92.8252   	725.189   	85.4      	4.30114   	787.459   	
95.8252   	725.189   	85.4      	4.27833   	783.103   	
98.8252   	725.189   	85.4      	4.2558    	778.787   	
101.825   	725.189   	85.4      	4.23356   	774.511   	
104.825   	725.189   	85.4      	4.21159   	770.274   	
107.825   	725.189   	85.4      	4.18986   	766.072   	
110.825   	725.189   	85.4      	4.16837   	761.905   	
113.825   	725.189   	85.4      	4.1471    	757.769   	
116.825   	725.189   	85.4      	4.12603   	753.665   	
119.825   	725.189   	85.4      	4.10518   	749.592   	
122.825   	725.189   	85.4      	4.08452   	745.549   	
125.825   	725.189   	85.4      	4.06405   	741.536   	
