Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	15.5949	10.1407	5.45422	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.00532219	0.318111	0.611099	
Seg 1	302.089	160	15.5949	10.0984	5.49646	0	0.647547	0.352453	0		0.802895	0.0309093	0.163385	0.00281113	0.0659794	0.00535197	0.318146	0.610523	
Seg 2	304.194	160	15.5949	10.0559	5.53899	0	0.64482	0.35518	0		0.803743	0.0308844	0.162572	0.00280127	0.066494	0.00538182	0.318178	0.609946	
Seg 3	306.314	160	15.5949	10.0131	5.5818	0	0.642075	0.357925	0		0.804587	0.0308591	0.161762	0.0027915	0.0670122	0.00541174	0.318208	0.609368	
Seg 4	308.449	160	15.5949	9.96999	5.6249	0	0.639311	0.360689	0		0.805428	0.0308333	0.160957	0.00278184	0.0675343	0.00544175	0.318234	0.60879	
Seg 5	310.6	160	15.5949	9.9266	5.66829	0	0.636529	0.363471	0		0.806265	0.030807	0.160156	0.00277229	0.0680601	0.00547183	0.318258	0.60821	
Seg 6	312.767	160	15.5949	9.88292	5.71197	0	0.633728	0.366272	0		0.807098	0.0307802	0.159359	0.00276283	0.0685899	0.00550199	0.318278	0.60763	
Seg 7	314.949	160	15.5949	9.83893	5.75596	0	0.630907	0.369093	0		0.807928	0.030753	0.158565	0.00275347	0.0691236	0.00553224	0.318296	0.607049	
Seg 8	317.147	160	15.5949	9.79464	5.80025	0	0.628067	0.371933	0		0.808754	0.0307253	0.157776	0.00274422	0.0696613	0.00556256	0.31831	0.606466	
Seg 9	319.36	160	15.5949	9.75005	5.84484	0	0.625208	0.374792	0		0.809577	0.0306971	0.15699	0.00273506	0.0702031	0.00559297	0.318322	0.605882	
Seg 10	321.59	160	15.5949	9.70514	5.88975	0	0.622328	0.377672	0		0.810397	0.0306685	0.156208	0.00272601	0.0707489	0.00562346	0.31833	0.605297	
Seg 11	323.836	160	15.5949	9.65992	5.93497	0	0.619428	0.380572	0		0.811213	0.0306394	0.15543	0.00271705	0.071299	0.00565403	0.318336	0.604711	
Seg 12	326.098	160	15.5949	9.61438	5.98051	0	0.616508	0.383492	0		0.812026	0.0306098	0.154656	0.00270819	0.0718532	0.00568469	0.318339	0.604124	
Seg 13	328.376	160	15.5949	9.56852	6.02637	0	0.613568	0.386432	0		0.812835	0.0305798	0.153885	0.00269943	0.0724117	0.00571543	0.318338	0.603535	
Seg 14	330.671	160	15.5949	9.52234	6.07255	0	0.610606	0.389394	0		0.813642	0.0305492	0.153118	0.00269076	0.0729745	0.00574625	0.318335	0.602944	
Seg 15	332.982	160	15.5949	9.47583	6.11906	0	0.607624	0.392376	0		0.814444	0.0305182	0.152355	0.00268219	0.0735416	0.00577715	0.318329	0.602353	
Seg 16	335.309	160	15.5949	9.42898	6.16591	0	0.60462	0.39538	0		0.815244	0.0304868	0.151596	0.00267372	0.0741132	0.00580814	0.318319	0.601759	
Seg 17	337.654	160	15.5949	9.38181	6.21308	0	0.601595	0.398405	0		0.81604	0.0304548	0.15084	0.00266535	0.0746892	0.00583921	0.318307	0.601164	
Seg 18	340.015	160	15.5949	9.3343	6.26059	0	0.598548	0.401452	0		0.816833	0.0304224	0.150087	0.00265707	0.0752697	0.00587037	0.318292	0.600568	
Seg 19	342.393	160	15.5949	9.28645	6.30844	0	0.59548	0.40452	0		0.817623	0.0303895	0.149338	0.00264889	0.0758547	0.00590161	0.318274	0.59997	
Seg 20	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 21	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 22	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 23	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 24	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 25	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 26	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 27	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 28	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 29	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 30	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	


0.1       	300       	160       	49.7652   	4767.32   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	15.2814	9.93683	5.34458	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.00532219	0.318111	0.611099	
Seg 1	319.083	160	14.3332	8.96684	5.36634	0	0.6256	0.3744	0		0.809465	0.030701	0.157098	0.00273631	0.0701285	0.0055888	0.31832	0.605962	
Seg 2	337.362	160	13.539	8.15271	5.38628	0	0.602165	0.397835	0		0.815891	0.0304609	0.150982	0.00266692	0.0745804	0.00583336	0.31831	0.601277	
Seg 3	354.967	160	12.8614	7.45664	5.40472	0	0.579771	0.420229	0		0.821532	0.0302176	0.145641	0.00260934	0.0788562	0.00605935	0.318137	0.596947	
Seg 4	372	160	12.2745	6.85258	5.42195	0	0.558276	0.441724	0		0.826541	0.0299739	0.140924	0.0025611	0.0829808	0.00626947	0.317843	0.592907	
Seg 5	388.541	160	11.76	6.32183	5.4382	0	0.537569	0.462431	0		0.831032	0.0297316	0.136716	0.00252036	0.0869743	0.00646582	0.317455	0.589105	
Seg 6	404.655	160	11.3043	5.85061	5.45364	0	0.517559	0.482441	0		0.835091	0.0294918	0.132931	0.0024858	0.0908526	0.00665012	0.316994	0.585503	
Seg 7	420.395	160	10.8969	5.42851	5.4684	0	0.498169	0.501831	0		0.838786	0.0292552	0.129503	0.00245639	0.0946291	0.00682376	0.316475	0.582072	
Seg 8	435.805	160	10.5301	5.04747	5.48258	0	0.479339	0.520661	0		0.842168	0.0290223	0.126378	0.00243134	0.0983149	0.00698789	0.315909	0.578788	
Seg 9	450.923	160	10.1975	4.70119	5.49628	0	0.461015	0.538985	0		0.845282	0.0287933	0.123515	0.00241003	0.101919	0.00714348	0.315305	0.575632	
Seg 10	465.779	160	9.89418	4.38463	5.50955	0	0.443153	0.556847	0		0.848161	0.0285684	0.120878	0.00239195	0.10545	0.00729136	0.31467	0.572588	
Seg 11	480.401	160	9.61618	4.09373	5.52245	0	0.425713	0.574287	0		0.850835	0.0283476	0.118441	0.00237671	0.108914	0.00743221	0.31401	0.569643	
Seg 12	494.813	160	9.36018	3.82515	5.53503	0	0.408662	0.591338	0		0.853327	0.0281311	0.116178	0.00236396	0.112318	0.00756665	0.313328	0.566787	
Seg 13	509.034	160	9.12347	3.57613	5.54734	0	0.391971	0.608029	0		0.855656	0.0279186	0.114071	0.00235345	0.115666	0.0076952	0.312629	0.56401	
Seg 14	523.083	160	8.90379	3.34439	5.5594	0	0.375614	0.624386	0		0.857841	0.0277103	0.112103	0.00234493	0.118963	0.00781833	0.311915	0.561305	
Seg 15	536.976	160	8.69921	3.12796	5.57124	0	0.359569	0.640431	0		0.859896	0.0275059	0.11026	0.00233822	0.122212	0.00793643	0.311188	0.558664	
Seg 16	550.726	160	8.50812	2.92522	5.5829	0	0.343815	0.656185	0		0.861833	0.0273054	0.108528	0.00233315	0.125419	0.00804987	0.31045	0.556082	
Seg 17	564.346	160	8.32914	2.73475	5.59438	0	0.328336	0.671664	0		0.863663	0.0271087	0.106899	0.00232958	0.128585	0.00815897	0.309703	0.553553	
Seg 18	577.847	160	8.16106	2.55534	5.60572	0	0.313114	0.686886	0		0.865395	0.0269157	0.105362	0.00232739	0.131713	0.008264	0.308949	0.551074	
Seg 19	591.239	160	8.00285	2.38593	5.61692	0	0.298135	0.701865	0		0.867038	0.0267263	0.103909	0.00232648	0.134807	0.00836524	0.308188	0.548641	
Seg 20	604.532	160	7.85361	2.22561	5.62801	0	0.283386	0.716614	0		0.868598	0.0265405	0.102534	0.00232675	0.137867	0.0084629	0.307421	0.546249	
Seg 21	613.671	160	7.75531	2.11963	5.63568	0	0.273314	0.726686	0		0.869633	0.0264139	0.101625	0.00232759	0.139966	0.00852847	0.306888	0.544617	
Seg 22	622.7	160	7.6614	2.01815	5.64325	0	0.263418	0.736582	0		0.870627	0.0262898	0.100755	0.00232893	0.142036	0.00859202	0.306357	0.543015	
Seg 23	631.624	160	7.57156	1.92083	5.65073	0	0.25369	0.74631	0		0.871581	0.0261682	0.0999204	0.00233073	0.144076	0.00865365	0.305828	0.541442	
Seg 24	640.447	160	7.48553	1.8274	5.65812	0	0.244125	0.755875	0		0.872498	0.0260489	0.0991199	0.00233297	0.14609	0.00871345	0.305302	0.539895	
Seg 25	649.174	160	7.40304	1.73761	5.66543	0	0.234715	0.765285	0		0.873381	0.025932	0.0983512	0.00233561	0.148077	0.00877152	0.304778	0.538374	
Seg 26	657.807	160	7.32387	1.65121	5.67267	0	0.225455	0.774545	0		0.874232	0.0258172	0.0976122	0.00233864	0.150039	0.00882794	0.304256	0.536877	
Seg 27	666.351	160	7.24782	1.56799	5.67983	0	0.21634	0.78366	0		0.875052	0.0257045	0.0969013	0.00234204	0.151977	0.00888278	0.303737	0.535403	
Seg 28	674.81	160	7.17468	1.48776	5.68692	0	0.207363	0.792637	0		0.875843	0.0255939	0.0962168	0.00234578	0.153891	0.00893612	0.303221	0.533952	
