Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	2000      	160       	-14326.9  	0         	
0.138535  	2000      	160       	-14310.2  	0         	
0.189692  	2000      	160       	-13926.7  	0         	
0.246165  	2000      	160       	-12274.9  	0         	
0.293446  	2000      	160       	-11379.2  	0         	
0.35057   	2000      	160       	-10814.1  	0         	
0.416148  	2000      	160       	-10783.7  	0         	
0.484885  	2000      	160       	-11286.5  	0         	
0.556856  	2000      	160       	-12207.1  	0         	
0.633789  	2000      	160       	-13392.8  	0         	
0.717695  	2000      	160       	-14762.3  	0         	
0.810624  	2000      	160       	-16234.7  	0         	
0.91461   	2000      	160       	-17741.6  	0         	
1.03172   	2000      	160       	-18148.3  	0         	
1.16745   	2000      	160       	-18279.8  	0         	
1.29397   	2000      	160       	-18699.8  	0         	
1.41597   	2000      	160       	-19335.2  	0         	
1.54124   	2000      	160       	-19521.9  	0         	
1.68358   	2000      	160       	-19252.3  	0         	
1.84814   	2000      	160       	-19077.2  	0         	
2.01628   	2000      	160       	-19076.8  	0         	
2.18509   	2000      	160       	-19282.7  	0         	
2.36125   	2000      	160       	-19594.2  	0         	
2.55286   	2000      	160       	-20005.4  	0         	
2.76875   	2000      	160       	-20398.7  	0         	
3.01856   	2000      	160       	-20729.2  	0         	
3.31344   	2000      	160       	-19315.2  	0         	
3.63153   	2000      	160       	-18347.2  	0         	
3.93304   	2000      	160       	-17786.3  	0         	
4.23705   	2000      	160       	-17269.1  	0         	
4.57037   	2000      	160       	-16751.1  	0         	
4.89422   	2000      	160       	-16061.1  	0         	
5.23228   	2000      	160       	-15414.5  	0         	
5.59641   	2000      	160       	-14898.4  	0         	
5.98714   	2000      	160       	-14453.4  	0         	
6.40101   	2000      	160       	-13909.7  	0         	
6.84918   	2000      	160       	-13533.1  	0         	
7.34871   	2000      	160       	-13256.1  	0         	
7.91935   	2000      	160       	-12945.7  	0         	
8.58572   	2000      	160       	-12570    	0         	
9.23429   	2000      	160       	-12170.3  	0         	
9.90942   	2000      	160       	-11499.1  	0         	
10.6385   	2000      	160       	-10823    	0         	
11.335    	2000      	160       	-10394.5  	0         	
11.9849   	2000      	160       	-10164.3  	0         	
12.6325   	2000      	160       	-9959.86  	0         	
13.3202   	2000      	160       	-9747.53  	0         	
14.0516   	2000      	160       	-9638.16  	0         	
14.7847   	2000      	160       	-9634.6   	0         	
15.5355   	2000      	160       	-9713.07  	0         	
16.3265   	2000      	160       	-9856.04  	0         	
17.1811   	2000      	160       	-10057    	0         	
18.1257   	2000      	160       	-10092.4  	0         	
19.2074   	2000      	160       	-10028.2  	0         	
