Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	300       	160       	49.7652   	4767.32   	
0.138535  	300       	160       	48.6238   	4657.98   	
0.189692  	300       	160       	47.7471   	4573.99   	
0.246165  	300       	160       	47.1269   	4514.58   	
0.293446  	300       	160       	46.7473   	4478.22   	
0.35057   	300       	160       	46.4232   	4447.17   	
0.416148  	300       	160       	46.1734   	4423.24   	
0.484885  	300       	160       	46.0045   	4407.01   	
0.556856  	300       	160       	45.9266   	4399.57   	
0.633789  	300       	160       	45.919    	4398.86   	
0.717695  	300       	160       	45.9792   	4404.65   	
0.810624  	300       	160       	46.1086   	4417.07   	
0.91461   	300       	160       	46.3032   	4435.67   	
1.03172   	300       	160       	46.5883   	4462.98   	
1.16745   	300       	160       	46.9864   	4501.12   	
1.29397   	300       	160       	47.4105   	4541.75   	
1.41597   	300       	160       	47.8607   	4584.88   	
1.54124   	300       	160       	48.3626   	4632.95   	
1.68358   	300       	160       	48.9836   	4692.45   	
1.84814   	300       	160       	49.7629   	4767.1    	
2.01628   	300       	160       	50.6057   	4847.84   	
2.18509   	300       	160       	51.4753   	4931.14   	
2.36125   	300       	160       	52.3848   	5018.27   	
2.55286   	300       	160       	53.3557   	5111.28   	
2.76875   	300       	160       	54.4108   	5212.35   	
3.01856   	300       	160       	55.5715   	5323.55   	
3.31344   	300       	160       	56.8902   	5449.89   	
3.63153   	300       	160       	58.2582   	5580.92   	
3.93304   	300       	160       	59.4928   	5699.19   	
4.23705   	300       	160       	60.6675   	5811.72   	
4.57037   	300       	160       	61.8674   	5926.66   	
4.89422   	300       	160       	62.972    	6032.5    	
5.23228   	300       	160       	64.0539   	6136.12   	
5.59641   	300       	160       	65.1205   	6238.29   	
5.98714   	300       	160       	66.1366   	6335.62   	
6.40101   	300       	160       	67.0634   	6424.41   	
6.84918   	300       	160       	67.9029   	6504.86   	
7.34871   	300       	160       	68.655    	6576.88   	
7.91935   	300       	160       	69.3457   	6643.06   	
8.58572   	300       	160       	69.985    	6704.29   	
9.23429   	300       	160       	70.5058   	6754.22   	
9.90942   	300       	160       	71.0001   	6801.56   	
10.6385   	300       	160       	71.5233   	6851.75   	
11.335    	300       	160       	71.9625   	6893.72   	
11.9849   	300       	160       	72.3145   	6927.93   	
12.6325   	300       	160       	72.593    	6954.17   	
13.3202   	300       	160       	72.8824   	6982.26   	
14.0516   	300       	160       	73.1189   	7004.84   	
14.7847   	300       	160       	73.2932   	7021.45   	
15.5355   	300       	160       	73.418    	7033.32   	
16.3265   	300       	160       	73.4871   	7039.8    	
17.1811   	300       	160       	73.5398   	7044.86   	
18.1257   	300       	160       	73.6162   	7052.26   	
19.2074   	300       	160       	73.7401   	7064.05   	
20.0769   	300       	160       	73.8925   	7078.86   	
20.9243   	300       	160       	74.0318   	7091.98   	
21.7665   	300       	160       	74.1727   	7105.65   	
22.6362   	300       	160       	74.2771   	7115.6    	
23.549    	300       	160       	74.335    	7121.03   	
24.531    	300       	160       	74.4599   	7133.13   	
25.5484   	300       	160       	74.5457   	7141.21   	
26.5451   	300       	160       	74.6138   	7147.75   	
27.5537   	300       	160       	74.6666   	7152.81   	
28.6091   	300       	160       	74.7554   	7161.26   	
29.7623   	300       	160       	74.8504   	7170.4    	
30.7656   	300       	160       	74.9194   	7177.01   	
31.7569   	300       	160       	75.0182   	7186.44   	
32.8146   	300       	160       	75.1429   	7198.58   	
33.8676   	300       	160       	75.2174   	7205.56   	
34.9298   	300       	160       	75.2659   	7210.21   	
36.0353   	300       	160       	75.2846   	7212      	
37.2183   	300       	160       	75.2797   	7211.55   	
38.5148   	300       	160       	75.3348   	7216.76   	
40.0123   	300       	160       	75.4638   	7229.18   	
41.1859   	300       	160       	75.6023   	7242.65   	
42.329    	300       	160       	75.7092   	7252.79   	
43.4494   	300       	160       	75.7526   	7256.82   	
44.5945   	300       	160       	75.7745   	7258.93   	
