Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	15.5949	10.1407	5.45422	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.00532219	0.318111	0.611099	
Seg 1	302.089	160	15.5949	10.0984	5.49646	0	0.647547	0.352453	0		0.802895	0.0309093	0.163385	0.00281113	0.0659794	0.00535197	0.318146	0.610523	
Seg 2	304.194	160	15.5949	10.0559	5.53899	0	0.64482	0.35518	0		0.803743	0.0308844	0.162572	0.00280127	0.066494	0.00538182	0.318178	0.609946	
Seg 3	306.314	160	15.5949	10.0131	5.5818	0	0.642075	0.357925	0		0.804587	0.0308591	0.161762	0.0027915	0.0670122	0.00541174	0.318208	0.609368	
Seg 4	308.449	160	15.5949	9.96999	5.6249	0	0.639311	0.360689	0		0.805428	0.0308333	0.160957	0.00278184	0.0675343	0.00544175	0.318234	0.60879	
Seg 5	310.6	160	15.5949	9.9266	5.66829	0	0.636529	0.363471	0		0.806265	0.030807	0.160156	0.00277229	0.0680601	0.00547183	0.318258	0.60821	
Seg 6	312.767	160	15.5949	9.88292	5.71197	0	0.633728	0.366272	0		0.807098	0.0307802	0.159359	0.00276283	0.0685899	0.00550199	0.318278	0.60763	
Seg 7	314.949	160	15.5949	9.83893	5.75596	0	0.630907	0.369093	0		0.807928	0.030753	0.158565	0.00275347	0.0691236	0.00553224	0.318296	0.607049	
Seg 8	317.147	160	15.5949	9.79464	5.80025	0	0.628067	0.371933	0		0.808754	0.0307253	0.157776	0.00274422	0.0696613	0.00556256	0.31831	0.606466	
Seg 9	319.36	160	15.5949	9.75005	5.84484	0	0.625208	0.374792	0		0.809577	0.0306971	0.15699	0.00273506	0.0702031	0.00559297	0.318322	0.605882	
Seg 10	321.59	160	15.5949	9.70514	5.88975	0	0.622328	0.377672	0		0.810397	0.0306685	0.156208	0.00272601	0.0707489	0.00562346	0.31833	0.605297	
Seg 11	323.836	160	15.5949	9.65992	5.93497	0	0.619428	0.380572	0		0.811213	0.0306394	0.15543	0.00271705	0.071299	0.00565403	0.318336	0.604711	
Seg 12	326.098	160	15.5949	9.61438	5.98051	0	0.616508	0.383492	0		0.812026	0.0306098	0.154656	0.00270819	0.0718532	0.00568469	0.318339	0.604124	
Seg 13	328.376	160	15.5949	9.56852	6.02637	0	0.613568	0.386432	0		0.812835	0.0305798	0.153885	0.00269943	0.0724117	0.00571543	0.318338	0.603535	
Seg 14	330.671	160	15.5949	9.52234	6.07255	0	0.610606	0.389394	0		0.813642	0.0305492	0.153118	0.00269076	0.0729745	0.00574625	0.318335	0.602944	
Seg 15	332.982	160	15.5949	9.47583	6.11906	0	0.607624	0.392376	0		0.814444	0.0305182	0.152355	0.00268219	0.0735416	0.00577715	0.318329	0.602353	
Seg 16	335.309	160	15.5949	9.42898	6.16591	0	0.60462	0.39538	0		0.815244	0.0304868	0.151596	0.00267372	0.0741132	0.00580814	0.318319	0.601759	
Seg 17	337.654	160	15.5949	9.38181	6.21308	0	0.601595	0.398405	0		0.81604	0.0304548	0.15084	0.00266535	0.0746892	0.00583921	0.318307	0.601164	
Seg 18	340.015	160	15.5949	9.3343	6.26059	0	0.598548	0.401452	0		0.816833	0.0304224	0.150087	0.00265707	0.0752697	0.00587037	0.318292	0.600568	
Seg 19	342.393	160	15.5949	9.28645	6.30844	0	0.59548	0.40452	0		0.817623	0.0303895	0.149338	0.00264889	0.0758547	0.00590161	0.318274	0.59997	
Seg 20	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 21	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 22	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 23	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 24	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 25	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 26	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 27	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 28	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 29	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	
Seg 30	344.789	160	15.5949	9.23825	6.35664	0	0.59239	0.40761	0		0.81841	0.0303562	0.148593	0.0026408	0.0764444	0.00593293	0.318252	0.59937	


0.1       	300       	160       	49.2213   	4711.67   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	15.1101	9.82818	5.28189	0	0.650439	0.349561	0		0.802049	0.0309312	0.164198	0.00282112	0.0654689	0.00532176	0.318104	0.611105	
Seg 1	319.849	160	14.1374	8.83315	5.30429	0	0.598983	0.401017	0		0.809752	0.0306892	0.156826	0.0027332	0.0703157	0.00559887	0.318318	0.605767	
Seg 2	338.825	160	13.3284	8.00365	5.32472	0	0.573424	0.426576	0		0.816383	0.0304392	0.150516	0.00266182	0.0749364	0.00585212	0.318296	0.600915	
Seg 3	357.056	160	12.6424	7.29888	5.34354	0	0.549581	0.450419	0		0.822172	0.0301864	0.145038	0.00260306	0.0793629	0.00608522	0.318103	0.596449	
Seg 4	374.656	160	12.0515	6.69046	5.36109	0	0.526897	0.473103	0		0.827289	0.0299338	0.140223	0.00255418	0.0836229	0.00630117	0.317783	0.592292	
Seg 5	391.712	160	11.5358	6.15825	5.3776	0	0.50522	0.49478	0		0.831857	0.0296833	0.135946	0.00251319	0.0877386	0.00650232	0.317367	0.588392	
Seg 6	408.298	160	11.0808	5.68752	5.39326	0	0.484434	0.515566	0		0.835971	0.029436	0.132114	0.00247864	0.0917277	0.00669057	0.316877	0.584705	
Seg 7	424.47	160	10.6755	5.26725	5.40821	0	0.464441	0.535559	0		0.839704	0.0291926	0.128654	0.00244943	0.0956049	0.00686745	0.316328	0.5812	
Seg 8	440.277	160	10.3115	4.88897	5.42255	0	0.445161	0.554839	0		0.843111	0.0289536	0.12551	0.00242472	0.0993823	0.00703423	0.315733	0.57785	
Seg 9	455.76	160	9.98245	4.54607	5.43638	0	0.426527	0.573473	0		0.84624	0.0287192	0.122637	0.00240384	0.10307	0.00719195	0.315101	0.574637	
Seg 10	470.953	160	9.68309	4.23332	5.44977	0	0.408481	0.591519	0		0.849126	0.0284894	0.119998	0.00238628	0.106677	0.00734152	0.314439	0.571542	
Seg 11	485.886	160	9.40929	3.94651	5.46278	0	0.390974	0.609026	0		0.8518	0.0282644	0.117564	0.0023716	0.110211	0.00748369	0.313753	0.568553	
Seg 12	500.583	160	9.15765	3.68219	5.47545	0	0.373963	0.626037	0		0.854287	0.0280442	0.115309	0.00235946	0.113677	0.00761912	0.313047	0.565657	
Seg 13	515.066	160	8.92538	3.43755	5.48783	0	0.357411	0.642589	0		0.856609	0.0278285	0.113213	0.00234958	0.117082	0.00774838	0.312324	0.562845	
Seg 14	529.355	160	8.71018	3.21022	5.49996	0	0.341285	0.658715	0		0.858782	0.0276174	0.111259	0.0023417	0.120431	0.00787196	0.311588	0.560109	
Seg 15	543.468	160	8.51008	2.99823	5.51185	0	0.325556	0.674444	0		0.860823	0.0274107	0.109431	0.00233564	0.123727	0.00799029	0.310841	0.557442	
Seg 16	557.418	160	8.32344	2.79989	5.52355	0	0.310199	0.689801	0		0.862743	0.0272082	0.107718	0.00233122	0.126975	0.00810377	0.310084	0.554837	
Seg 17	571.219	160	8.14885	2.61378	5.53507	0	0.29519	0.70481	0		0.864555	0.02701	0.106107	0.0023283	0.130178	0.00821273	0.30932	0.552289	
Seg 18	584.883	160	7.98511	2.43868	5.54643	0	0.280509	0.719491	0		0.866267	0.0268158	0.10459	0.00232676	0.133339	0.00831748	0.30855	0.549793	
Seg 19	598.421	160	7.83115	2.2735	5.55765	0	0.266138	0.733862	0		0.867889	0.0266255	0.103159	0.00232648	0.136461	0.00841829	0.307775	0.547346	
Seg 20	611.842	160	7.68608	2.11734	5.56874	0	0.252059	0.747941	0		0.869429	0.026439	0.101805	0.00232738	0.139546	0.0085154	0.306995	0.544943	
Seg 21	620.689	160	7.59439	2.01826	5.57613	0	0.265738	0.734262	0		0.870408	0.0263173	0.100946	0.00232859	0.141575	0.00857793	0.306476	0.543372	
Seg 22	629.434	160	7.50661	1.9232	5.58341	0	0.256183	0.743817	0		0.871349	0.0261979	0.100123	0.00233025	0.143576	0.0086386	0.305958	0.541827	
Seg 23	638.082	160	7.42248	1.83188	5.59061	0	0.246783	0.753217	0		0.872255	0.0260808	0.0993323	0.00233233	0.14555	0.0086975	0.305443	0.540309	
Seg 24	646.636	160	7.34177	1.74404	5.59773	0	0.237533	0.762467	0		0.873127	0.0259659	0.0985726	0.0023348	0.147499	0.00875472	0.30493	0.538816	
Seg 25	655.1	160	7.26425	1.65948	5.60478	0	0.228427	0.771573	0		0.873968	0.0258531	0.0978418	0.00233765	0.149424	0.00881034	0.30442	0.537346	
Seg 26	663.478	160	7.18974	1.57798	5.61175	0	0.21946	0.78054	0		0.874779	0.0257423	0.0971383	0.00234085	0.151325	0.00886443	0.303912	0.535898	
Seg 27	671.773	160	7.11804	1.49937	5.61867	0	0.210627	0.789373	0		0.875562	0.0256335	0.0964605	0.00234439	0.153204	0.00891707	0.303406	0.534472	
Seg 28	679.988	160	7.04898	1.42346	5.62552	0	0.201924	0.798076	0		0.876318	0.0255267	0.095807	0.00234825	0.155061	0.0089683	0.302903	0.533067	
