Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	2000      	160       	-19351.4  	0         	
0.1814    	2000      	160       	-18607.8  	0         	
0.32666   	2000      	160       	-18945.6  	0         	
0.595856  	2000      	160       	-20266.8  	0         	
1.05967   	2000      	160       	-21821.4  	0         	
1.79823   	2000      	160       	-22235.1  	0         	
2.94924   	2000      	160       	-20929.5  	0         	
3.11367   	2000      	160       	-20533.7  	0         	
3.54534   	2000      	160       	-19824.8  	0         	
4.50594   	2000      	160       	-18326.1  	0         	
6.27603   	2000      	160       	-16197.5  	0         	
6.52889   	2000      	160       	-15817    	0         	
7.21539   	2000      	160       	-15113.2  	0         	
8.87864   	2000      	160       	-14025.6  	0         	
12.4841   	2000      	160       	-12933    	0         	
12.9992   	2000      	160       	-12712.4  	0         	
14.4649   	2000      	160       	-12418.9  	0         	
18.4191   	2000      	160       	-12144.4  	0         	
18.984    	2000      	160       	-12047.7  	0         	
20.6378   	2000      	160       	-11955.2  	0         	
25.3524   	2000      	160       	-11925.6  	0         	
26.0259   	2000      	160       	-11865    	0         	
28.012    	2000      	160       	-11827.4  	0         	
33.7607   	2000      	160       	-11866.5  	0         	
34.5819   	2000      	160       	-11814.4  	0         	
37.0072   	2000      	160       	-11787.8  	0         	
37.3537   	2000      	160       	-11772.5  	0         	
38.3872   	2000      	160       	-11754.2  	0         	
41.4436   	2000      	160       	-11764.3  	0         	
41.8803   	2000      	160       	-11749.8  	0         	
43.1824   	2000      	160       	-11736.8  	0         	
47.0316   	2000      	160       	-11762.4  	0         	
47.5815   	2000      	160       	-11746    	0         	
49.2201   	2000      	160       	-11733.3  	0         	
54.0573   	2000      	160       	-11769.2  	0         	
54.7483   	2000      	160       	-11749.7  	0         	
56.8053   	2000      	160       	-11735.1  	0         	
57.0992   	2000      	160       	-11728.8  	0         	
57.978    	2000      	160       	-11718.3  	0         	
60.5932   	2000      	160       	-11722.8  	0         	
60.9667   	2000      	160       	-11716.9  	0         	
62.0837   	2000      	160       	-11709.1  	0         	
65.4048   	2000      	160       	-11725.2  	0         	
75.1765   	2000      	160       	-11821.6  	0         	
76.5725   	2000      	160       	-11781.7  	0         	
80.7012   	2000      	160       	-11758.5  	0         	
81.291    	2000      	160       	-11746.3  	0         	
83.0511   	2000      	160       	-11728.3  	0         	
88.2647   	2000      	160       	-11745.2  	0         	
89.0095   	2000      	160       	-11734.3  	0         	
91.2312   	2000      	160       	-11721.9  	0         	
91.5486   	2000      	160       	-11718.2  	0         	
92.4986   	2000      	160       	-11710.1  	0         	
92.6343   	2000      	160       	-11708.7  	0         	
93.041    	2000      	160       	-11704.9  	0         	
94.258    	2000      	160       	-11699.9  	0         	
97.8836   	2000      	160       	-11713.5  	0         	
98.4016   	2000      	160       	-11710    	0         	
99.9505   	2000      	160       	-11705    	0         	
104.559   	2000      	160       	-11726.7  	0         	
114.559   	2000      	160       	-11796.6  	0         	
115.988   	2000      	160       	-11774.7  	0         	
120.229   	2000      	160       	-11757.5  	0         	
120.835   	2000      	160       	-11750.4  	0         	
122.645   	2000      	160       	-11737.2  	0         	
122.904   	2000      	160       	-11734.7  	0         	
123.678   	2000      	160       	-11728.2  	0         	
125.991   	2000      	160       	-11723.2  	0         	
132.857   	2000      	160       	-11758.1  	0         	
133.838   	2000      	160       	-11750.8  	0         	
136.764   	2000      	160       	-11742.7  	0         	
137.182   	2000      	160       	-11740    	0         	
138.433   	2000      	160       	-11733.5  	0         	
138.611   	2000      	160       	-11732.4  	0         	
139.147   	2000      	160       	-11729.2  	0         	
140.749   	2000      	160       	-11725.3  	0         	
145.519   	2000      	160       	-11742.4  	0         	
155.519   	2000      	160       	-11802    	0         	
156.948   	2000      	160       	-11790.1  	0         	
161.195   	2000      	160       	-11779.6  	0         	
171.195   	2000      	160       	-11819.8  	0         	
172.624   	2000      	160       	-11808.5  	0         	
176.869   	2000      	160       	-11797    	0         	
186.869   	2000      	160       	-11833.7  	0         	
188.297   	2000      	160       	-11824.3  	0         	
192.536   	2000      	160       	-11814.3  	0         	
193.142   	2000      	160       	-11811.1  	0         	
194.95    	2000      	160       	-11803.6  	0         	
200.305   	2000      	160       	-11811.5  	0         	
201.07    	2000      	160       	-11809.5  	0         	
203.351   	2000      	160       	-11805.7  	0         	
203.677   	2000      	160       	-11804.9  	0         	
204.652   	2000      	160       	-11802.2  	0         	
207.555   	2000      	160       	-11803.5  	0         	
207.969   	2000      	160       	-11803.1  	0         	
209.209   	2000      	160       	-11801.7  	0         	
209.386   	2000      	160       	-11801.5  	0         	
209.916   	2000      	160       	-11800.6  	0         	
211.501   	2000      	160       	-11800.4  	0         	
211.727   	2000      	160       	-11800.3  	0         	
212.405   	2000      	160       	-11799.8  	0         	
214.427   	2000      	160       	-11801.9  	0         	
220.398   	2000      	160       	-11829.1  	0         	
230.398   	2000      	160       	-11882.3  	0         	
231.827   	2000      	160       	-11879.4  	0         	
232.031   	2000      	160       	-11878.7  	0         	
232.642   	2000      	160       	-11876.1  	0         	
234.462   	2000      	160       	-11871.3  	0         	
239.828   	2000      	160       	-11881.5  	0         	
240.594   	2000      	160       	-11881    	0         	
242.874   	2000      	160       	-11880.2  	0         	
249.562   	2000      	160       	-11904.4  	0         	
250.518   	2000      	160       	-11904.5  	0         	
250.654   	2000      	160       	-11904.5  	0         	
251.063   	2000      	160       	-11903.9  	0         	
252.284   	2000      	160       	-11902.6  	0         	
252.459   	2000      	160       	-11902.4  	0         	
252.981   	2000      	160       	-11901.8  	0         	
254.539   	2000      	160       	-11901.8  	0         	
259.143   	2000      	160       	-11916.2  	0         	
269.143   	2000      	160       	-11971.2  	0         	
270.572   	2000      	160       	-11971.8  	0         	
270.776   	2000      	160       	-11971.7  	0         	
271.386   	2000      	160       	-11970.8  	0         	
273.208   	2000      	160       	-11970    	0         	
273.468   	2000      	160       	-11969.8  	0         	
274.246   	2000      	160       	-11969.3  	0         	
274.357   	2000      	160       	-11969.3  	0         	
274.691   	2000      	160       	-11969    	0         	
275.687   	2000      	160       	-11968.9  	0         	
278.649   	2000      	160       	-11974.8  	0         	
279.072   	2000      	160       	-11975.5  	0         	
280.336   	2000      	160       	-11977.2  	0         	
284.084   	2000      	160       	-11989.4  	0         	
294.084   	2000      	160       	-12047.1  	0         	
295.513   	2000      	160       	-12049.7  	0         	
299.743   	2000      	160       	-12059.9  	0         	
309.743   	2000      	160       	-12108.9  	0         	
311.172   	2000      	160       	-12111    	0         	
311.376   	2000      	160       	-12111.2  	0         	
311.987   	2000      	160       	-12111.3  	0         	
313.812   	2000      	160       	-12112.7  	0         	
314.072   	2000      	160       	-12112.9  	0         	
314.853   	2000      	160       	-12113.4  	0         	
317.181   	2000      	160       	-12117.6  	0         	
324.055   	2000      	160       	-12147    	0         	
334.055   	2000      	160       	-12196.2  	0         	
335.484   	2000      	160       	-12199.4  	0         	
339.727   	2000      	160       	-12210.5  	0         	
340.333   	2000      	160       	-12211.7  	0         	
342.145   	2000      	160       	-12215.3  	0         	
347.521   	2000      	160       	-12234.7  	0         	
348.289   	2000      	160       	-12236.9  	0         	
350.582   	2000      	160       	-12243.1  	0         	
357.377   	2000      	160       	-12272.2  	0         	
358.347   	2000      	160       	-12275.2  	0         	
361.243   	2000      	160       	-12284    	0         	
361.656   	2000      	160       	-12285.2  	0         	
361.716   	2000      	160       	-12285.4  	0         	
361.893   	2000      	160       	-12285.8  	0         	
361.918   	2000      	160       	-12285.9  	0         	
361.994   	2000      	160       	-12286.1  	0         	
362.222   	2000      	160       	-12286.6  	0         	
362.904   	2000      	160       	-12288.2  	0         	
363.002   	2000      	160       	-12288.5  	0         	
363.294   	2000      	160       	-12289.1  	0         	
364.17    	2000      	160       	-12291.3  	0         	
364.295   	2000      	160       	-12291.6  	0         	
364.67    	2000      	160       	-12292.6  	0         	
365.793   	2000      	160       	-12295.7  	0         	
365.953   	2000      	160       	-12296.1  	0         	
366.434   	2000      	160       	-12297.5  	0         	
367.873   	2000      	160       	-12301.9  	0         	
372.161   	2000      	160       	-12319.4  	0         	
372.774   	2000      	160       	-12321.6  	0         	
374.606   	2000      	160       	-12328    	0         	
380.058   	2000      	160       	-12351.8  	0         	
380.837   	2000      	160       	-12354.7  	0         	
383.165   	2000      	160       	-12362.9  	0         	
390.083   	2000      	160       	-12393.8  	0         	
391.071   	2000      	160       	-12397.3  	0         	
394.023   	2000      	160       	-12407.5  	0         	
402.782   	2000      	160       	-12446.4  	0         	
404.033   	2000      	160       	-12450.6  	0         	
404.212   	2000      	160       	-12451.1  	0         	
404.748   	2000      	160       	-12452.6  	0         	
406.352   	2000      	160       	-12457.1  	0         	
406.581   	2000      	160       	-12457.7  	0         	
407.268   	2000      	160       	-12459.6  	0         	
409.325   	2000      	160       	-12465.8  	0         	
415.454   	2000      	160       	-12489.4  	0         	
416.329   	2000      	160       	-12492.3  	0         	
416.454   	2000      	160       	-12492.7  	0         	
416.829   	2000      	160       	-12493.9  	0         	
417.953   	2000      	160       	-12497.1  	0         	
421.314   	2000      	160       	-12508.3  	0         	
431.304   	2000      	160       	-12549.4  	0         	
432.731   	2000      	160       	-12553.9  	0         	
432.935   	2000      	160       	-12554.4  	0         	
433.546   	2000      	160       	-12556.1  	0         	
435.377   	2000      	160       	-12560.9  	0         	
440.845   	2000      	160       	-12578.9  	0         	
441.626   	2000      	160       	-12581.2  	0         	
443.965   	2000      	160       	-12587.9  	0         	
450.947   	2000      	160       	-12611.3  	0         	
451.945   	2000      	160       	-12614.2  	0         	
452.087   	2000      	160       	-12614.6  	0         	
452.514   	2000      	160       	-12615.7  	0         	
453.795   	2000      	160       	-12619    	0         	
457.628   	2000      	160       	-12630    	0         	
467.628   	2000      	160       	-12663.3  	0         	
477.628   	2000      	160       	-12693.1  	0         	
479.057   	2000      	160       	-12696.4  	0         	
479.261   	2000      	160       	-12696.8  	0         	
479.873   	2000      	160       	-12698.1  	0         	
481.707   	2000      	160       	-12701.8  	0         	
487.195   	2000      	160       	-12714.9  	0         	
487.979   	2000      	160       	-12716.6  	0         	
490.328   	2000      	160       	-12721.7  	0         	
497.355   	2000      	160       	-12738.9  	0         	
500       	2000      	160       	-12744.5  	0         	
