Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	300       	160       	49.2213   	4711.67   	
0.1814    	300       	160       	47.4403   	4545.36   	
0.32666   	300       	160       	46.3112   	4436.3    	
0.595856  	300       	160       	45.9753   	4404.26   	
1.05967   	300       	160       	47.1045   	4512.7    	
1.79823   	300       	160       	50.0706   	4797.12   	
2.94924   	300       	160       	54.6601   	5236.89   	
3.11367   	300       	160       	55.3145   	5298.97   	
3.54534   	300       	160       	56.9128   	5452.16   	
4.50594   	300       	160       	59.8353   	5732.26   	
6.27603   	300       	160       	63.4447   	6078.12   	
6.52889   	300       	160       	63.9273   	6124      	
7.21539   	300       	160       	65.0193   	6228.64   	
8.87864   	300       	160       	66.7727   	6396.72   	
12.4841   	300       	160       	68.6078   	6572.37   	
12.9992   	300       	160       	68.856    	6596.41   	
14.4649   	300       	160       	69.3357   	6642.16   	
18.4191   	300       	160       	70.0205   	6707.68   	
18.984    	300       	160       	70.1246   	6717.75   	
20.6378   	300       	160       	70.3383   	6738.22   	
25.3524   	300       	160       	70.7058   	6773.35   	
26.0259   	300       	160       	70.7738   	6779.87   	
28.012    	300       	160       	70.9144   	6793.44   	
33.7607   	300       	160       	71.1889   	6819.59   	
34.5819   	300       	160       	71.2522   	6825.66   	
37.0072   	300       	160       	71.3744   	6837.52   	
37.3537   	300       	160       	71.4099   	6840.64   	
38.3872   	300       	160       	71.4527   	6844.92   	
41.4436   	300       	160       	71.5791   	6857.17   	
41.8803   	300       	160       	71.6027   	6859.27   	
43.1824   	300       	160       	71.6593   	6864.73   	
47.0316   	300       	160       	71.7871   	6877.16   	
47.5815   	300       	160       	71.815    	6879.6    	
49.2201   	300       	160       	71.8763   	6885.52   	
54.0573   	300       	160       	72.0121   	6898.46   	
54.7483   	300       	160       	72.0454   	6901.64   	
56.8053   	300       	160       	72.1123   	6908.15   	
57.0992   	300       	160       	72.1318   	6909.85   	
57.978    	300       	160       	72.1666   	6913.23   	
60.5932   	300       	160       	72.2328   	6919.72   	
60.9667   	300       	160       	72.2528   	6921.43   	
62.0837   	300       	160       	72.2814   	6924.29   	
65.4048   	300       	160       	72.3626   	6932.17   	
75.1765   	300       	160       	72.5358   	6948.22   	
76.5725   	300       	160       	72.5885   	6953.3    	
80.7012   	300       	160       	72.7039   	6964.25   	
81.291    	300       	160       	72.7292   	6966.44   	
83.0511   	300       	160       	72.7787   	6971.12   	
88.2647   	300       	160       	72.8859   	6980.93   	
89.0095   	300       	160       	72.9158   	6983.43   	
91.2312   	300       	160       	72.9679   	6988.17   	
91.5486   	300       	160       	72.9825   	6989.33   	
92.4986   	300       	160       	73.0144   	6992.28   	
92.6343   	300       	160       	73.0108   	6991.91   	
93.041    	300       	160       	73.0222   	6992.99   	
94.258    	300       	160       	73.0511   	6995.55   	
97.8836   	300       	160       	73.1236   	7001.62   	
