Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	13.0951	12.9977	0.0973924	0	0.992563	0.00743729	0		0.959249	0.0331371	0.00257852	0.00503501	0	0.0821117	0.149003	0.2564	0.512486	0	
Seg 1	300.172	99.67	13.0951	12.9977	0.0974631	0	0.992557	0.0074427	0		0.959256	0.0331331	0.0025776	0.00503317	0	0.0821584	0.149043	0.256371	0.512428	0	
Seg 2	300.345	99.67	13.0951	12.9976	0.0975339	0	0.992552	0.0074481	0		0.959263	0.0331292	0.00257669	0.00503132	0	0.0822051	0.149083	0.256342	0.51237	0	
Seg 3	300.517	99.67	13.0951	12.9975	0.0976048	0	0.992546	0.00745351	0		0.959269	0.0331253	0.00257577	0.00502948	0	0.0822519	0.149123	0.256313	0.512312	0	
Seg 4	300.69	99.67	13.0951	12.9975	0.0976757	0	0.992541	0.00745893	0		0.959276	0.0331214	0.00257486	0.00502764	0	0.0822987	0.149163	0.256284	0.512255	0	
Seg 5	300.863	99.67	13.0951	12.9974	0.0977466	0	0.992536	0.00746435	0		0.959283	0.0331174	0.00257395	0.0050258	0	0.0823455	0.149203	0.256255	0.512197	0	
Seg 6	301.036	99.67	13.0951	12.9973	0.0978176	0	0.99253	0.00746977	0		0.959289	0.0331135	0.00257304	0.00502397	0	0.0823923	0.149243	0.256226	0.512139	0	
Seg 7	301.209	99.67	13.0951	12.9972	0.0978887	0	0.992525	0.00747519	0		0.959296	0.0331096	0.00257213	0.00502213	0	0.0824391	0.149283	0.256197	0.512081	0	
Seg 8	301.382	99.67	13.0951	12.9972	0.0979598	0	0.992519	0.00748063	0		0.959303	0.0331057	0.00257122	0.0050203	0	0.082486	0.149323	0.256168	0.512023	0	
Seg 9	301.555	99.67	13.0951	12.9971	0.0980309	0	0.992514	0.00748606	0		0.95931	0.0331017	0.00257031	0.00501846	0	0.0825329	0.149363	0.256139	0.511965	0	
Seg 10	301.728	99.67	13.0951	12.997	0.0981022	0	0.992509	0.0074915	0		0.959316	0.0330978	0.0025694	0.00501663	0	0.0825799	0.149403	0.25611	0.511907	0	
Seg 11	301.902	99.67	13.0951	12.997	0.0981734	0	0.992503	0.00749694	0		0.959323	0.0330939	0.00256849	0.0050148	0	0.0826268	0.149443	0.256081	0.51185	0	
Seg 12	302.075	99.67	13.0951	12.9969	0.0982447	0	0.992498	0.00750239	0		0.95933	0.0330899	0.00256759	0.00501297	0	0.0826738	0.149483	0.256052	0.511792	0	
Seg 13	302.249	99.67	13.0951	12.9968	0.0983161	0	0.992492	0.00750784	0		0.959336	0.033086	0.00256668	0.00501115	0	0.0827208	0.149523	0.256022	0.511734	0	
Seg 14	302.423	99.67	13.0951	12.9967	0.0983875	0	0.992487	0.00751329	0		0.959343	0.0330821	0.00256577	0.00500932	0	0.0827679	0.149563	0.255993	0.511676	0	
Seg 15	302.596	99.67	13.0951	12.9967	0.098459	0	0.992481	0.00751875	0		0.95935	0.0330781	0.00256487	0.00500749	0	0.082815	0.149603	0.255964	0.511618	0	
Seg 16	302.77	99.67	13.0951	12.9966	0.0985305	0	0.992476	0.00752421	0		0.959356	0.0330742	0.00256396	0.00500567	0	0.0828621	0.149643	0.255935	0.51156	0	
Seg 17	302.944	99.67	13.0951	12.9965	0.0986021	0	0.99247	0.00752968	0		0.959363	0.0330703	0.00256306	0.00500385	0	0.0829092	0.149683	0.255906	0.511502	0	
Seg 18	303.118	99.67	13.0951	12.9965	0.0986738	0	0.992465	0.00753515	0		0.959369	0.0330663	0.00256216	0.00500203	0	0.0829563	0.149723	0.255877	0.511444	0	
Seg 19	303.293	99.67	13.0951	12.9964	0.0987455	0	0.992459	0.00754062	0		0.959376	0.0330624	0.00256125	0.00500021	0	0.0830035	0.149763	0.255848	0.511386	0	
Seg 20	303.293	99.67	13.0951	12.9964	0.0987455	0	0.992459	0.00754062	0		0.959376	0.0330624	0.00256125	0.00500021	0	0.0830035	0.149763	0.255848	0.511386	0	
Seg 21	303.293	99.67	13.0951	12.9964	0.0987455	0	0.992459	0.00754062	0		0.959376	0.0330624	0.00256125	0.00500021	0	0.0830035	0.149763	0.255848	0.511386	0	
Seg 22	303.293	99.67	13.0951	12.9964	0.0987455	0	0.992459	0.00754062	0		0.959376	0.0330624	0.00256125	0.00500021	0	0.0830035	0.149763	0.255848	0.511386	0	
Seg 23	303.293	99.67	13.0951	12.9964	0.0987455	0	0.992459	0.00754062	0		0.959376	0.0330624	0.00256125	0.00500021	0	0.0830035	0.149763	0.255848	0.511386	0	


0.0001    	300       	99.67     	63.3977   	464.509   	1.63918e-006	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	13.1769	12.6562	0.520646	1.81942e-009	0.960488	0.0395121	1.38077e-010		0.954605	0.0379521	0.0025208	0.00492254	0	0.0821617	0.170342	0.249178	0.498319	0	
Seg 1	302.574	99.67	13.0584	12.5373	0.521075	1.91683e-009	0.960097	0.0399035	1.46789e-010		0.954804	0.0377902	0.00250841	0.00489753	0	0.0828616	0.170597	0.248859	0.497682	0	
Seg 2	305.134	99.67	12.9481	12.4263	0.521718	2.02038e-009	0.959707	0.0402932	1.56038e-010		0.954999	0.0376313	0.00249635	0.00487317	0	0.0835571	0.170845	0.248544	0.497053	0	
Seg 3	307.68	99.67	12.8455	12.3229	0.522574	2.13046e-009	0.959319	0.0406814	1.65852e-010		0.955191	0.0374751	0.00248459	0.00484941	0	0.0842488	0.171086	0.248233	0.496432	0	
Seg 4	310.217	99.67	12.7504	12.2268	0.523642	2.24746e-009	0.958931	0.0410686	1.76266e-010		0.955379	0.0373215	0.00247311	0.00482622	0	0.0849373	0.171321	0.247925	0.495816	0	
