Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	700       	199.67    	0         	0         	-204864   	
0.00112965	700       	199.67    	0         	0         	-199402   	
0.00785375	700       	199.67    	0         	0         	-170423   	
0.0232445 	700       	199.67    	0         	0         	-128644   	
0.0457593 	700       	199.67    	0         	0         	-93276.9  	
0.0774522 	700       	199.67    	0         	0         	-66257.6  	
0.122747  	700       	199.67    	0         	0         	-46460.8  	
0.18759   	700       	199.67    	0         	0         	-32628.1  	
0.280695  	700       	199.67    	0         	0         	-23701.4  	
0.411531  	700       	199.67    	0         	0         	-18043.6  	
0.589767  	700       	199.67    	0         	0         	-14604.7  	
0.823342  	700       	199.67    	0         	0         	-12838    	
1.11273   	700       	199.67    	0         	0         	-11758.7  	
1.46571   	700       	199.67    	0         	0         	-11279.9  	
1.88826   	700       	199.67    	0         	0         	-11106.1  	
2.39289   	700       	199.67    	0         	0         	-10917.2  	
2.92616   	700       	199.67    	0         	0         	-10708.5  	
3.42288   	700       	199.67    	0         	0         	-10649    	
3.91074   	700       	199.67    	0         	0         	-10440.3  	
4.41578   	700       	199.67    	0         	0         	-10147.3  	
4.96333   	700       	199.67    	0         	0         	-9807.14  	
5.5821    	700       	199.67    	0         	0         	-9429.18  	
6.31291   	700       	199.67    	0         	0         	-9075.04  	
7.09004   	700       	199.67    	0         	0         	-8718.86  	
7.82502   	700       	199.67    	0         	0         	-8385.98  	
8.55713   	700       	199.67    	0         	0         	-8067.94  	
9.32566   	700       	199.67    	0         	0         	-7757.53  	
10.1626   	700       	199.67    	0         	0         	-7446.71  	
11.1073   	700       	199.67    	0         	0         	-7044.44  	
12.0976   	700       	199.67    	0         	0         	-6589.73  	
13.109    	700       	199.67    	0         	0         	-6117.49  	
14.1457   	700       	199.67    	0         	0         	-5771.56  	
15.2235   	700       	199.67    	0         	0         	-5268.78  	
16.4908   	700       	199.67    	0         	0         	-5063.86  	
17.9273   	700       	199.67    	0         	0         	-4960.83  	
19.5799   	700       	199.67    	0         	0         	-4895.47  	
21.1802   	700       	199.67    	0         	0         	-4831     	
22.6689   	700       	199.67    	0         	0         	-4761.06  	
24.1398   	700       	199.67    	0         	0         	-4679.55  	
25.6726   	700       	199.67    	0         	0         	-4572.41  	
27.3818   	700       	199.67    	0         	0         	-4466.5   	
29.3895   	700       	199.67    	0         	0         	-4383.52  	
31.8079   	700       	199.67    	0         	0         	-4315     	
34.8325   	700       	199.67    	0         	0         	-4264.03  	
38.7502   	700       	199.67    	0         	0         	-4239.06  	
44.0043   	700       	199.67    	0         	0         	-4241.36  	
51.2547   	700       	199.67    	0         	0         	-4273.21  	
61.5642   	700       	199.67    	0         	0         	-4334.21  	
76.5248   	700       	199.67    	0         	0         	-4428.2   	
96.5248   	700       	199.67    	0         	0         	-4539.73  	
116.525   	700       	199.67    	0         	0         	-4635.28  	
136.525   	700       	199.67    	0         	0         	-4717.98  	
156.525   	700       	199.67    	0         	0         	-4785.61  	
176.525   	700       	199.67    	0         	0         	-4848.39  	
196.525   	700       	199.67    	0         	0         	-4901.91  	
216.525   	700       	199.67    	0         	0         	-4947.56  	
236.525   	700       	199.67    	0         	0         	-4988.67  	
256.525   	700       	199.67    	0         	0         	-5024.93  	
276.525   	700       	199.67    	0         	0         	-5059.56  	
296.525   	700       	199.67    	0         	0         	-5090.86  	
316.525   	700       	199.67    	0         	0         	-5118.74  	
336.525   	700       	199.67    	0         	0         	-5143.6   	
356.525   	700       	199.67    	0         	0         	-5165.79  	
376.525   	700       	199.67    	0         	0         	-5185.72  	
396.525   	700       	199.67    	0         	0         	-5204.01  	
416.525   	700       	199.67    	0         	0         	-5220.67  	
436.525   	700       	199.67    	0         	0         	-5235.93  	
456.525   	700       	199.67    	0         	0         	-5249.98  	
476.525   	700       	199.67    	0         	0         	-5263.03  	
496.525   	700       	199.67    	0         	0         	-5275.61  	
500       	700       	199.67    	0         	0         	-5277.78  	
