Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	300       	99.67     	63.3977   	464.509   	1.63918e-006	
0.00112965	300       	99.67     	69.6921   	510.858   	6.85933e-005	
0.00785375	300       	99.67     	67.0903   	493.304   	0.000484808	
0.0232445 	300       	99.67     	61.827    	457.714   	0.00121341	
0.0457593 	300       	99.67     	55.6232   	415.683   	0.00193059	
0.0774522 	300       	99.67     	48.9833   	370.363   	0.00252248	
0.122747  	300       	99.67     	42.253    	323.786   	0.00292794	
0.18759   	300       	99.67     	35.9405   	279.177   	0.00311902	
0.280695  	300       	99.67     	30.4229   	239.259   	0.00312473	
0.411531  	300       	99.67     	25.9191   	205.901   	0.00301087	
0.589767  	300       	99.67     	22.3014   	178.526   	0.00283792	
0.823342  	300       	99.67     	19.246    	155.033   	0.00263294	
1.11273   	300       	99.67     	16.5183   	133.864   	0.00240382	
1.46571   	300       	99.67     	13.9632   	113.935   	0.00214917	
1.88826   	300       	99.67     	11.5919   	95.3825   	0.00187795	
2.39289   	300       	99.67     	9.42702   	78.4185   	0.0016006 	
2.92616   	300       	99.67     	7.68065   	64.7264   	0.00135611	
3.42288   	300       	99.67     	6.42565   	54.8987   	0.00116907	
3.91074   	300       	99.67     	5.47513   	47.5227   	0.00102182	
4.41578   	300       	99.67     	4.72658   	41.8555   	0.000903746	
4.96333   	300       	99.67     	4.10978   	37.4396   	0.000808205	
5.5821    	300       	99.67     	3.58009   	34.1008   	0.00073403	
6.31291   	300       	99.67     	3.11975   	32.166    	0.000697768	
7.09004   	300       	99.67     	2.74743   	32.1388   	0.000737189	
7.82502   	300       	99.67     	2.46256   	34.1722   	0.000902284	
8.55713   	300       	99.67     	2.1931    	38.1228   	0.00128319	
9.32566   	300       	99.67     	1.93566   	45.431    	0.0025248 	
10.1626   	300       	99.67     	1.64688   	56.8167   	0.0061481 	
11.1073   	300       	99.67     	1.29527   	72.3798   	0.0169013 	
12.0976   	300       	99.67     	0.930287  	89.3092   	0.0417991 	
13.109    	300       	99.67     	0.661697  	109.824   	0.0921974 	
14.1457   	300       	99.67     	0.537461  	140.834   	0.19661   	
15.2235   	300       	99.67     	0.554733  	198.853   	0.467422  	
16.4908   	300       	99.67     	0.560767  	236.716   	1.67222   	
17.9273   	300       	99.67     	0.576892  	251.687   	4.50535   	
19.5799   	300       	99.67     	0.570722  	247.319   	10.8469   	
21.1802   	300       	99.67     	0.539307  	233.025   	21.2243   	
22.6689   	300       	99.67     	0.497813  	215.83    	34.5658   	
24.1398   	300       	99.67     	0.450102  	197.058   	50.5177   	
25.6726   	300       	99.67     	0.412239  	180.793   	70.3804   	
27.3818   	300       	99.67     	0.369587  	160.262   	92.0709   	
29.3895   	300       	99.67     	0.316671  	135.539   	112.865   	
31.8079   	300       	99.67     	0.265928  	112.098   	133.124   	
34.8325   	300       	99.67     	0.219275  	90.7548   	152.227   	
38.7502   	300       	99.67     	0.178139  	72.0867   	170.061   	
44.0043   	300       	99.67     	0.142633  	56.1182   	186.665   	
51.2547   	300       	99.67     	0.112729  	42.818    	202.215   	
61.5642   	300       	99.67     	0.0874334 	31.798    	217.088   	
76.5248   	300       	99.67     	0.0663316 	22.8912   	231.685   	
96.5248   	300       	99.67     	0.0502567 	16.3913   	244.819   	
116.525   	300       	99.67     	0.0404545 	12.3513   	254.535   	
136.525   	300       	99.67     	0.0342932 	9.67261   	262.091   	
156.525   	300       	99.67     	0.028568  	7.72562   	267.944   	
176.525   	300       	99.67     	0.0251255 	6.47814   	272.894   	
196.525   	300       	99.67     	0.02186   	5.43428   	277.025   	
216.525   	300       	99.67     	0.0188673 	4.58424   	280.515   	
236.525   	300       	99.67     	0.0165438 	3.93045   	283.576   	
256.525   	300       	99.67     	0.0146069 	3.40138   	286.214   	
276.525   	300       	99.67     	0.0132685 	3.07308   	288.545   	
296.525   	300       	99.67     	0.0119838 	2.77137   	290.662   	
316.525   	300       	99.67     	0.0107756 	2.48995   	292.565   	
336.525   	300       	99.67     	0.00967229	2.23206   	294.269   	
356.525   	300       	99.67     	0.00868108	1.99879   	295.795   	
376.525   	300       	99.67     	0.00780403	1.79028   	297.164   	
396.525   	300       	99.67     	0.0070569 	1.60806   	298.412   	
416.525   	300       	99.67     	0.00642079	1.45057   	299.538   	
436.525   	300       	99.67     	0.00587534	1.31524   	300.561   	
456.525   	300       	99.67     	0.00540421	1.19906   	301.493   	
476.525   	300       	99.67     	0.00499769	1.09989   	302.35    	
496.525   	300       	99.67     	0.00468753	1.0217    	303.16    	
500       	300       	99.67     	0.00463627	1.00871   	303.299   	
