Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	536.83	99.67	2.4658	2.16124	0.304559	0	0.876487	0.123513	0		0.965718	0.0284337	0.00200043	0.00384831	0	0.144633	0.177011	0.226113	0.452243	0	
Seg 1	537.716	99.67	2.4658	2.16067	0.305133	0	0.876254	0.123746	0		0.965742	0.0284114	0.00199985	0.00384698	0	0.144859	0.176996	0.226043	0.452103	0	
Seg 2	538.603	99.67	2.4658	2.16009	0.305708	0	0.876021	0.123979	0		0.965766	0.0283891	0.00199927	0.00384565	0	0.145086	0.17698	0.225972	0.451962	0	
Seg 3	539.492	99.67	2.4658	2.15951	0.306285	0	0.875787	0.124213	0		0.96579	0.0283669	0.0019987	0.00384433	0	0.145312	0.176964	0.225902	0.451821	0	
Seg 4	540.383	99.67	2.4658	2.15894	0.306862	0	0.875553	0.124447	0		0.965814	0.0283447	0.00199813	0.00384302	0	0.145539	0.176948	0.225831	0.451681	0	
Seg 5	541.275	99.67	2.4658	2.15836	0.307441	0	0.875318	0.124682	0		0.965838	0.0283225	0.00199756	0.00384172	0	0.145767	0.176932	0.225761	0.45154	0	
Seg 6	542.168	99.67	2.4658	2.15778	0.30802	0	0.875083	0.124917	0		0.965862	0.0283004	0.001997	0.00384043	0	0.145995	0.176916	0.22569	0.451399	0	
Seg 7	543.063	99.67	2.4658	2.1572	0.308601	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 8	543.96	99.67	2.60713	2.28023	0.326905	0	0.874611	0.125389	0		0.96591	0.0282563	0.0019959	0.00383788	0	0.146451	0.176883	0.225549	0.451117	0	
Seg 9	544.858	99.67	2.60713	2.27961	0.327521	0	0.874375	0.125625	0		0.965934	0.0282343	0.00199535	0.00383661	0	0.14668	0.176867	0.225478	0.450975	0	
Seg 10	545.758	99.67	2.60713	2.27899	0.328139	0	0.874138	0.125862	0		0.965957	0.0282124	0.00199481	0.00383536	0	0.146909	0.17685	0.225407	0.450834	0	
Seg 11	546.659	99.67	2.60713	2.27837	0.328758	0	0.873901	0.126099	0		0.965981	0.0281905	0.00199428	0.00383411	0	0.147138	0.176833	0.225337	0.450692	0	
Seg 12	547.562	99.67	2.60713	2.27775	0.329378	0	0.873663	0.126337	0		0.966005	0.0281686	0.00199375	0.00383288	0	0.147368	0.176816	0.225266	0.45055	0	
Seg 13	548.466	99.67	2.60713	2.27713	0.33	0	0.873424	0.126576	0		0.966028	0.0281468	0.00199322	0.00383165	0	0.147598	0.176799	0.225195	0.450409	0	
Seg 14	549.372	99.67	2.60713	2.27651	0.330622	0	0.873185	0.126815	0		0.966052	0.028125	0.0019927	0.00383043	0	0.147829	0.176782	0.225123	0.450266	0	
Seg 15	550.28	99.67	2.60713	2.27589	0.331247	0	0.872946	0.127054	0		0.966075	0.0281033	0.00199219	0.00382922	0	0.148059	0.176764	0.225052	0.450124	0	
Seg 16	551.189	99.67	2.60713	2.27526	0.331872	0	0.872706	0.127294	0		0.966099	0.0280815	0.00199167	0.00382802	0	0.14829	0.176747	0.224981	0.449982	0	
Seg 17	552.1	99.67	2.60713	2.27463	0.332498	0	0.872466	0.127534	0		0.966122	0.0280599	0.00199117	0.00382683	0	0.148522	0.176729	0.22491	0.449839	0	
Seg 18	553.012	99.67	2.60713	2.27401	0.333126	0	0.872225	0.127775	0		0.966145	0.0280382	0.00199067	0.00382565	0	0.148754	0.176711	0.224838	0.449697	0	
Seg 19	553.926	99.67	2.60713	2.27338	0.333755	0	0.871984	0.128016	0		0.966169	0.0280166	0.00199017	0.00382448	0	0.148986	0.176693	0.224767	0.449554	0	
Seg 20	553.926	99.67	2.60713	2.27338	0.333755	0	0.871984	0.128016	0		0.966169	0.0280166	0.00199017	0.00382448	0	0.148986	0.176693	0.224767	0.449554	0	
Seg 21	553.926	99.67	2.60713	2.27338	0.333755	0	0.871984	0.128016	0		0.966169	0.0280166	0.00199017	0.00382448	0	0.148986	0.176693	0.224767	0.449554	0	
Seg 22	553.926	99.67	2.60713	2.27338	0.333755	0	0.871984	0.128016	0		0.966169	0.0280166	0.00199017	0.00382448	0	0.148986	0.176693	0.224767	0.449554	0	
Seg 23	553.926	99.67	2.60713	2.27338	0.333755	0	0.871984	0.128016	0		0.966169	0.0280166	0.00199017	0.00382448	0	0.148986	0.176693	0.224767	0.449554	0	
Seg 24	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 25	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 26	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 27	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 28	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
Seg 29	543.063	99.67	-0.141333	-0.123645	-0.0176882	0	0.874847	0.125153	0		0.965886	0.0282784	0.00199645	0.00383915	0	0.146223	0.1769	0.22562	0.451258	0	
