Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
2.5e-005  	547.711   	99.67     	12.8112   	299.999   	0         	
4.37404e-005	556.572   	99.67     	14.5458   	299.999   	0         	
5.07655e-005	559.604   	99.67     	15.0916   	300       	0         	
5.33995e-005	560.7     	99.67     	15.2802   	300       	0         	
5.58995e-005	561.705   	99.67     	15.4439   	300       	0         	
5.83995e-005	562.676   	99.67     	15.5949   	300       	0         	
5.96495e-005	563.152   	99.67     	15.6678   	300       	0         	
6.08995e-005	563.621   	99.67     	15.7382   	300       	0         	
6.21495e-005	564.08    	99.67     	15.8063   	300       	0         	
6.33995e-005	564.532   	99.67     	15.8725   	300       	0         	
6.46495e-005	564.975   	99.67     	15.937    	300       	0         	
6.58995e-005	565.411   	99.67     	16.0001   	300       	0         	
6.71495e-005	565.838   	99.67     	16.062    	300       	0         	
6.83995e-005	566.257   	99.67     	16.123    	300       	0         	
6.96495e-005	566.668   	99.67     	16.1833   	300       	0         	
7.08995e-005	567.072   	99.67     	16.2431   	300       	0         	
7.15245e-005	567.271   	99.67     	16.273    	300       	0         	
7.21495e-005	567.469   	99.67     	16.3027   	300       	0         	
7.27745e-005	567.665   	99.67     	16.3325   	300       	0         	
7.33995e-005	567.859   	99.67     	16.3622   	300       	0         	
7.40245e-005	568.051   	99.67     	16.3919   	300       	0         	
7.46495e-005	568.242   	99.67     	16.4216   	300       	0         	
7.52745e-005	568.43    	99.67     	16.4514   	300       	0         	
7.58995e-005	568.617   	99.67     	16.4812   	300       	0         	
7.65245e-005	568.802   	99.67     	16.5111   	300       	0         	
7.71495e-005	568.985   	99.67     	16.5411   	300       	0         	
7.77745e-005	569.166   	99.67     	16.5712   	300       	0         	
7.83995e-005	569.345   	99.67     	16.6015   	300       	0         	
7.90245e-005	569.522   	99.67     	16.6319   	300       	0         	
7.96495e-005	569.698   	99.67     	16.6626   	300       	0         	
8.02745e-005	569.872   	99.67     	16.6934   	300       	0         	
8.08995e-005	570.044   	99.67     	16.7244   	300       	0         	
8.15245e-005	570.215   	99.67     	16.7556   	300       	0         	
8.21495e-005	570.384   	99.67     	16.7871   	300       	0         	
8.27745e-005	570.551   	99.67     	16.8189   	300       	0         	
8.33995e-005	570.716   	99.67     	16.8509   	300       	0         	
8.40245e-005	570.88    	99.67     	16.8833   	300       	0         	
8.46495e-005	571.042   	99.67     	16.9159   	300       	0         	
8.52745e-005	571.202   	99.67     	16.9489   	300       	0         	
8.58995e-005	571.361   	99.67     	16.9822   	300       	0         	
8.65245e-005	571.518   	99.67     	17.0158   	300       	0         	
8.71495e-005	571.673   	99.67     	17.0498   	300       	0         	
8.77745e-005	571.827   	99.67     	17.0842   	300       	0         	
8.83995e-005	571.979   	99.67     	17.119    	300       	0         	
8.90245e-005	572.13    	99.67     	17.1542   	300       	0         	
8.96495e-005	572.279   	99.67     	17.1899   	300       	0         	
9.02745e-005	572.427   	99.67     	17.2259   	300       	0         	
9.08995e-005	572.572   	99.67     	17.2624   	300       	0         	
9.15245e-005	572.717   	99.67     	17.2994   	300       	0         	
9.21495e-005	572.86    	99.67     	17.3369   	300       	0         	
9.27745e-005	573.001   	99.67     	17.3748   	300       	0         	
9.33995e-005	573.141   	99.67     	17.4132   	300       	0         	
9.40245e-005	573.279   	99.67     	17.4522   	300       	0         	
9.46495e-005	573.416   	99.67     	17.4916   	300       	0         	
9.52745e-005	573.552   	99.67     	17.5316   	300       	0         	
9.58995e-005	573.686   	99.67     	17.5722   	300       	0         	
9.65245e-005	573.818   	99.67     	17.6133   	300       	0         	
9.71495e-005	573.949   	99.67     	17.655    	300       	0         	
9.77745e-005	574.079   	99.67     	17.6972   	300       	0         	
9.83995e-005	574.207   	99.67     	17.7401   	300       	0         	
9.90245e-005	574.334   	99.67     	17.7836   	300       	0         	
9.96495e-005	574.459   	99.67     	17.8277   	300       	0         	
0.000100275	574.583   	99.67     	17.8724   	300       	0         	
0.0001009 	574.706   	99.67     	17.9177   	300       	0         	
0.000101525	574.827   	99.67     	17.9637   	300       	0         	
0.00010215	574.947   	99.67     	18.0104   	300       	0         	
0.000102775	575.066   	99.67     	18.0578   	300       	0         	
0.0001034 	575.184   	99.67     	18.1058   	300       	0         	
0.000104025	575.3     	99.67     	18.1546   	300       	0         	
0.00010465	575.414   	99.67     	18.204    	300       	0         	
0.000104728	575.428   	99.67     	18.2103   	300       	0         	
