Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	25.0707	23.4707	1.6	0	0.93618	0.0638195	0		0.953683	0.0389075	0.00250944	0.00490001	0	0.0821726	0.174567	0.247761	0.4955	0	
Seg 1	300.48	99.67	25.0707	23.4678	1.6029	0	0.936065	0.0639352	0		0.953726	0.0388716	0.00250717	0.00489543	0	0.0823033	0.174595	0.247708	0.495394	0	
Seg 2	300.962	99.67	25.0707	23.4649	1.60581	0	0.935949	0.0640511	0		0.953768	0.0388358	0.00250491	0.00489085	0	0.0824343	0.174623	0.247655	0.495288	0	
Seg 3	301.444	99.67	25.0707	23.462	1.60872	0	0.935833	0.0641672	0		0.953811	0.0387999	0.00250265	0.00488629	0	0.0825655	0.174651	0.247602	0.495182	0	
Seg 4	301.927	99.67	25.0707	23.4591	1.61163	0	0.935716	0.0642836	0		0.953854	0.0387641	0.00250039	0.00488174	0	0.0826968	0.174679	0.247549	0.495076	0	
Seg 5	302.41	99.67	25.0707	23.4561	1.61456	0	0.9356	0.0644002	0		0.953896	0.0387283	0.00249814	0.00487719	0	0.0828284	0.174706	0.247496	0.49497	0	
Seg 6	302.895	99.67	25.0707	23.4532	1.61749	0	0.935483	0.064517	0		0.953939	0.0386926	0.0024959	0.00487266	0	0.0829603	0.174734	0.247442	0.494863	0	
Seg 7	303.38	99.67	25.0707	23.4503	1.62042	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 8	303.866	99.67	11.9663	11.1915	0.774834	0	0.935249	0.0647513	0		0.954024	0.0386212	0.00249142	0.00486362	0	0.0832245	0.174789	0.247336	0.494651	0	
Seg 9	304.353	99.67	11.9663	11.1901	0.776241	0	0.935131	0.0648688	0		0.954066	0.0385856	0.00248919	0.00485911	0	0.083357	0.174816	0.247283	0.494544	0	
Seg 10	304.841	99.67	11.9663	11.1887	0.77765	0	0.935013	0.0649865	0		0.954108	0.03855	0.00248696	0.00485462	0	0.0834897	0.174843	0.24723	0.494438	0	
Seg 11	305.33	99.67	11.9663	11.1873	0.779062	0	0.934895	0.0651045	0		0.954151	0.0385144	0.00248474	0.00485013	0	0.0836226	0.17487	0.247176	0.494331	0	
Seg 12	305.819	99.67	11.9663	11.1858	0.780476	0	0.934777	0.0652228	0		0.954193	0.0384789	0.00248253	0.00484565	0	0.0837558	0.174897	0.247123	0.494225	0	
Seg 13	306.309	99.67	11.9663	11.1844	0.781894	0	0.934659	0.0653412	0		0.954235	0.0384433	0.00248031	0.00484118	0	0.0838892	0.174923	0.247069	0.494118	0	
Seg 14	306.8	99.67	11.9663	11.183	0.783315	0	0.93454	0.06546	0		0.954277	0.0384079	0.00247811	0.00483672	0	0.0840228	0.17495	0.247016	0.494011	0	
Seg 15	307.292	99.67	11.9663	11.1816	0.784738	0	0.934421	0.0655789	0		0.954319	0.0383724	0.0024759	0.00483227	0	0.0841566	0.174977	0.246963	0.493904	0	
Seg 16	307.785	99.67	11.9663	11.1802	0.786165	0	0.934302	0.0656981	0		0.954361	0.038337	0.00247371	0.00482783	0	0.0842907	0.175003	0.246909	0.493797	0	
Seg 17	308.279	99.67	11.9663	11.1787	0.787595	0	0.934182	0.0658176	0		0.954404	0.0383016	0.00247151	0.0048234	0	0.0844251	0.175029	0.246855	0.49369	0	
Seg 18	308.773	99.67	11.9663	11.1773	0.789027	0	0.934063	0.0659373	0		0.954446	0.0382662	0.00246932	0.00481897	0	0.0845596	0.175056	0.246802	0.493583	0	
Seg 19	309.268	99.67	11.9663	11.1759	0.790463	0	0.933943	0.0660573	0		0.954487	0.0382308	0.00246714	0.00481456	0	0.0846944	0.175082	0.246748	0.493476	0	
Seg 20	309.268	99.67	11.9663	11.1759	0.790463	0	0.933943	0.0660573	0		0.954487	0.0382308	0.00246714	0.00481456	0	0.0846944	0.175082	0.246748	0.493476	0	
Seg 21	309.268	99.67	11.9663	11.1759	0.790463	0	0.933943	0.0660573	0		0.954487	0.0382308	0.00246714	0.00481456	0	0.0846944	0.175082	0.246748	0.493476	0	
Seg 22	309.268	99.67	11.9663	11.1759	0.790463	0	0.933943	0.0660573	0		0.954487	0.0382308	0.00246714	0.00481456	0	0.0846944	0.175082	0.246748	0.493476	0	
Seg 23	309.268	99.67	11.9663	11.1759	0.790463	0	0.933943	0.0660573	0		0.954487	0.0382308	0.00246714	0.00481456	0	0.0846944	0.175082	0.246748	0.493476	0	
Seg 24	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 25	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
Seg 26	303.38	99.67	13.1044	12.2574	0.846989	0	0.935366	0.064634	0		0.953981	0.0386569	0.00249366	0.00486814	0	0.0830923	0.174761	0.247389	0.494757	0	
