Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	700       	199.67    	0         	0         	-202668   	
0.000395024	700       	199.67    	0         	0         	-195353   	
0.00124011	700       	199.67    	0         	0         	-178645   	
0.00350231	700       	199.67    	0         	0         	-149975   	
0.00884121	700       	199.67    	0         	0         	-112453   	
0.019674  	700       	199.67    	0         	0         	-76167.3  	
0.0393657 	700       	199.67    	0         	0         	-49389    	
0.0733152 	700       	199.67    	0         	0         	-32149.9  	
0.131156  	700       	199.67    	0         	0         	-22695.6  	
0.229518  	700       	199.67    	0         	0         	-18326.5  	
0.396217  	700       	199.67    	0         	0         	-16825.5  	
0.682093  	700       	199.67    	0         	0         	-18023.8  	
1.05897   	700       	199.67    	0         	0         	-20093.3  	
1.51884   	700       	199.67    	0         	0         	-22517.5  	
2.12391   	700       	199.67    	0         	0         	-25332.2  	
2.8018    	700       	199.67    	0         	0         	-28146.8  	
3.61924   	700       	199.67    	0         	0         	-30955.4  	
4.53362   	700       	199.67    	0         	0         	-33660.6  	
5.55385   	700       	199.67    	0         	0         	-36122.2  	
6.72078   	700       	199.67    	0         	0         	-38449    	
8.01999   	700       	199.67    	0         	0         	-40716.1  	
9.46077   	700       	199.67    	0         	0         	-42778.2  	
11.0434   	700       	199.67    	0         	0         	-44603.9  	
12.7611   	700       	199.67    	0         	0         	-46174.6  	
14.617    	700       	199.67    	0         	0         	-47502.8  	
16.617    	700       	199.67    	0         	0         	-48582.4  	
18.617    	700       	199.67    	0         	0         	-49368.9  	
20.617    	700       	199.67    	0         	0         	-49883.8  	
22.617    	700       	199.67    	0         	0         	-50128.4  	
24.617    	700       	199.67    	0         	0         	-50097    	
26.617    	700       	199.67    	0         	0         	-49745.2  	
28.617    	700       	199.67    	0         	0         	-48884    	
30.617    	700       	199.67    	0         	0         	-47206.1  	
31.617    	700       	199.67    	0         	0         	-46072.6  	
32.5202   	700       	199.67    	0         	0         	-44876.1  	
33.3776   	700       	199.67    	0         	0         	-43629.7  	
34.9814   	700       	199.67    	0         	0         	-41320.1  	
35.9814   	700       	199.67    	0         	0         	-39880.8  	
37.6746   	700       	199.67    	0         	0         	-37937.1  	
38.6746   	700       	199.67    	0         	0         	-36949.9  	
39.5944   	700       	199.67    	0         	0         	-36220.2  	
40.5005   	700       	199.67    	0         	0         	-35660.8  	
41.3811   	700       	199.67    	0         	0         	-35249.3  	
42.2541   	700       	199.67    	0         	0         	-34949.9  	
43.1351   	700       	199.67    	0         	0         	-34729.6  	
43.9908   	700       	199.67    	0         	0         	-34580.5  	
44.8242   	700       	199.67    	0         	0         	-34472.1  	
46.4991   	700       	199.67    	0         	0         	-34371.3  	
