Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	300       	99.67     	110.058   	1089.59   	0         	
0.000395024	300       	99.67     	121.631   	1373.87   	0         	
0.00124011	300       	99.67     	119.819   	1451.6    	0         	
0.00350231	300       	99.67     	117.403   	1428.46   	0.001597  	
0.00884121	300       	99.67     	114.545   	1385.98   	0.00223558	
0.019674  	300       	99.67     	111.536   	1345.13   	0.00306552	
0.0393657 	300       	99.67     	108.519   	1310.71   	0.00377518	
0.0733152 	300       	99.67     	105.512   	1282.34   	0.00437986	
0.131156  	300       	99.67     	102.355   	1257.63   	0.00491454	
0.229518  	300       	99.67     	98.8306   	1234.32   	0.00541874	
0.396217  	300       	99.67     	94.7742   	1208.92   	0.00592219	
0.682093  	300       	99.67     	89.7521   	1179.49   	0.00648562	
1.05897   	300       	99.67     	84.5938   	1147.92   	0.00703209	
1.51884   	300       	99.67     	79.3524   	1112.21   	0.0075533 	
2.12391   	300       	99.67     	73.4409   	1067.49   	0.00807368	
2.8018    	300       	99.67     	67.7203   	1018.8    	0.00848574	
3.61924   	300       	99.67     	61.7484   	964.704   	0.00880209	
4.53362   	300       	99.67     	56.1428   	904.107   	0.00893272	
5.55385   	300       	99.67     	50.7607   	841.462   	0.0089099 	
6.72078   	300       	99.67     	45.5634   	773.715   	0.00869589	
8.01999   	300       	99.67     	40.8328   	702.513   	0.00827839	
9.46077   	300       	99.67     	36.556    	625.192   	0.00764023	
11.0434   	300       	99.67     	32.8814   	548.377   	0.0068765 	
12.7611   	300       	99.67     	30.0064   	481.436   	0.00615839	
14.617    	300       	99.67     	27.713    	427.848   	0.00571493	
16.617    	300       	99.67     	25.3323   	389.757   	0.00536011	
18.617    	300       	99.67     	22.855    	370.932   	0.00513542	
20.617    	300       	99.67     	20.3277   	372.236   	0.00509197	
22.617    	300       	99.67     	17.8186   	393.746   	0.0059622 	
24.617    	300       	99.67     	15.4574   	436.371   	0.0205301 	
26.617    	300       	99.67     	13.2289   	505.533   	0.163654  	
28.617    	300       	99.67     	10.6374   	608.643   	1.61924   	
30.617    	300       	99.67     	7.35242   	743.166   	16.3631   	
31.617    	300       	99.67     	5.64892   	817.574   	35.4375   	
32.5202   	300       	99.67     	4.35111   	889.16    	62.6189   	
33.3776   	300       	99.67     	3.48342   	965.32    	95.6061   	
34.9814   	300       	99.67     	2.76509   	1107.44   	165.866   	
35.9814   	300       	99.67     	2.57468   	1191.12   	214.817   	
37.6746   	300       	99.67     	2.62957   	1290.77   	294.446   	
38.6746   	300       	99.67     	2.6365    	1335.98   	340.96    	
39.5944   	300       	99.67     	2.64071   	1363.83   	379.324   	
40.5005   	300       	99.67     	2.64596   	1380.31   	412.318   	
41.3811   	300       	99.67     	2.64638   	1389.66   	439.92    	
42.2541   	300       	99.67     	2.64883   	1392.65   	463.195   	
43.1351   	300       	99.67     	2.65196   	1392.48   	483.97    	
43.9908   	300       	99.67     	2.65073   	1389.36   	501.573   	
44.8242   	300       	99.67     	2.64775   	1384.54   	516.928   	
46.4991   	300       	99.67     	2.64089   	1371.55   	542.328   	
