Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	1500      	160       	-2328.6   	0         	0         	
0.0397645 	1500      	160       	-2294.6   	0         	0         	
0.0617188 	1500      	160       	-2274.9   	0         	0         	
0.0698708 	1500      	160       	-2268.22  	0         	0         	
0.0759641 	1500      	160       	-2263.54  	0         	0         	
0.0942004 	1500      	160       	-2251.59  	0         	0         	
0.148572  	1500      	160       	-2225.77  	0         	0         	
0.309437  	1500      	160       	-2181.86  	0         	0         	
0.779716  	1500      	160       	-2128.48  	0         	0         	
2.13517   	1500      	160       	-2078.05  	0         	0         	
5.81439   	1500      	160       	-2069.66  	0         	0         	
10.8144   	1500      	160       	-2093.76  	0         	0         	
15.8144   	1500      	160       	-2113.81  	0         	0         	
20.8144   	1500      	160       	-2173.13  	0         	0         	
25.8144   	1500      	160       	-2400.68  	0         	0         	
30.8144   	1500      	160       	-2582.83  	0         	0         	
35.8144   	1500      	160       	-2735.14  	0         	0         	
40.8144   	1500      	160       	-2866.6   	0         	0         	
45.8144   	1500      	160       	-2984.19  	0         	0         	
50.8144   	1500      	160       	-3154.05  	0         	0         	
55.8144   	1500      	160       	-3403.86  	0         	0         	
60.8144   	1500      	160       	-3630.75  	0         	0         	
65.8144   	1500      	160       	-3843.94  	0         	0         	
70.8144   	1500      	160       	-4044.06  	0         	0         	
75.8144   	1500      	160       	-4230.97  	0         	0         	
80.8144   	1500      	160       	-4404.35  	0         	0         	
85.8144   	1500      	160       	-4563.9   	0         	0         	
90.8144   	1500      	160       	-4709.37  	0         	0         	
95.8144   	1500      	160       	-4883.07  	0         	0         	
100.814   	1500      	160       	-5066.59  	0         	0         	
105.814   	1500      	160       	-5219.86  	0         	0         	
110.814   	1500      	160       	-5352.15  	0         	0         	
115.814   	1500      	160       	-5468.39  	0         	0         	
120.814   	1500      	160       	-5565.16  	0         	0         	
125.814   	1500      	160       	-5642.23  	0         	0         	
130.814   	1500      	160       	-5700.47  	0         	0         	
135.814   	1500      	160       	-5741.14  	0         	0         	
140.814   	1500      	160       	-5765.59  	0         	0         	
145.814   	1500      	160       	-5775.24  	0         	0         	
150.814   	1500      	160       	-5771.47  	0         	0         	
155.814   	1500      	160       	-5755.61  	0         	0         	
160.814   	1500      	160       	-5729.7   	0         	0         	
165.814   	1500      	160       	-5695.66  	0         	0         	
170.814   	1500      	160       	-5652.78  	0         	0         	
175.814   	1500      	160       	-5601.82  	0         	0         	
180.814   	1500      	160       	-5540.17  	0         	0         	
185.814   	1500      	160       	-5467.34  	0         	0         	
190.814   	1500      	160       	-5390.74  	0         	0         	
195.814   	1500      	160       	-5311.1   	0         	0         	
200.814   	1500      	160       	-5228.8   	0         	0         	
205.814   	1500      	160       	-5144.43  	0         	0         	
210.814   	1500      	160       	-5058.74  	0         	0         	
215.814   	1500      	160       	-4972.33  	0         	0         	
220.814   	1500      	160       	-4885.59  	0         	0         	
225.814   	1500      	160       	-4798.73  	0         	0         	
230.814   	1500      	160       	-4712.21  	0         	0         	
235.814   	1500      	160       	-4626.69  	0         	0         	
240.814   	1500      	160       	-4542.5   	0         	0         	
245.814   	1500      	160       	-4459.93  	0         	0         	
250.814   	1500      	160       	-4379.29  	0         	0         	
255.814   	1500      	160       	-4300.87  	0         	0         	
260.814   	1500      	160       	-4224.94  	0         	0         	
265.814   	1500      	160       	-4151.69  	0         	0         	
270.814   	1500      	160       	-4081.98  	0         	0         	
275.814   	1500      	160       	-4015.41  	0         	0         	
280.814   	1500      	160       	-3951.62  	0         	0         	
285.814   	1500      	160       	-3890.61  	0         	0         	
290.814   	1500      	160       	-3832.39  	0         	0         	
295.814   	1500      	160       	-3776.94  	0         	0         	
300.814   	1500      	160       	-3724.2   	0         	0         	
305.814   	1500      	160       	-3674.1   	0         	0         	
310.814   	1500      	160       	-3626.62  	0         	0         	
315.814   	1500      	160       	-3581.56  	0         	0         	
320.814   	1500      	160       	-3538.91  	0         	0         	
325.814   	1500      	160       	-3498.65  	0         	0         	
