Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	1150      	160       	15.3085   	1043.22   	0         	
0.0397645 	1150      	160       	15.1454   	1049.47   	0         	
0.0617188 	1150      	160       	15.1023   	1048.15   	0         	
0.0698708 	1150      	160       	15.0863   	1047.08   	0         	
0.0759641 	1150      	160       	15.0771   	1046.4    	0         	
0.0942004 	1150      	160       	15.0485   	1044.46   	0.000612637	
0.148572  	1150      	160       	14.9762   	1038.53   	0.000222864	
0.309437  	1150      	160       	14.8061   	1026.69   	0.000364994	
0.779716  	1150      	160       	14.459    	1007.48   	0.000601202	
2.13517   	1150      	160       	13.7319   	978.824   	0.000952714	
5.81439   	1150      	160       	12.2551   	942.231   	0.00136897	
10.8144   	1150      	160       	10.6757   	916.932   	0.00157129	
15.8144   	1150      	160       	9.35521   	899.86    	0.00161427	
20.8144   	1150      	160       	8.21596   	884.952   	0.0015826 	
25.8144   	1150      	160       	7.22454   	870.52    	0.0015082 	
30.8144   	1150      	160       	6.36493   	857.172   	0.0014053 	
35.8144   	1150      	160       	5.61022   	843.043   	0.00129129	
40.8144   	1150      	160       	4.94359   	827.323   	0.00117573	
45.8144   	1150      	160       	4.35438   	810.005   	0.00106287	
50.8144   	1150      	160       	3.8387    	792.353   	0.000952882	
55.8144   	1150      	160       	3.51613   	786.245   	0.000863142	
60.8144   	1150      	160       	3.34434   	793.529   	0.000790258	
65.8144   	1150      	160       	3.19147   	801.32    	0.000719611	
70.8144   	1150      	160       	3.05793   	810.221   	0.000651756	
75.8144   	1150      	160       	2.94174   	820.234   	0.000586303	
80.8144   	1150      	160       	2.84093   	831.327   	0.000522779	
85.8144   	1150      	160       	2.75378   	843.444   	0.000460768	
90.8144   	1150      	160       	2.67887   	856.531   	0.000399937	
95.8144   	1150      	160       	2.61565   	870.723   	0.000340153	
100.814   	1150      	160       	2.56322   	885.966   	0.000281147	
105.814   	1150      	160       	2.52245   	902.819   	0.000220954	
110.814   	1150      	160       	2.49768   	921.877   	0.000157946	
115.814   	1150      	160       	2.49342   	943.462   	9.12459e-005	
120.814   	1150      	160       	2.50594   	966.246   	2.24377e-005	
125.814   	1150      	160       	2.53496   	989.935   	0         	
130.814   	1150      	160       	2.58043   	1014.29   	1.66855e-008	
135.814   	1150      	160       	2.63717   	1039.2    	1.59612e-008	
140.814   	1150      	160       	2.70389   	1064.14   	0         	
145.814   	1150      	160       	2.78136   	1089.03   	5.65996e-018	
150.814   	1150      	160       	2.86999   	1113.72   	0         	
155.814   	1150      	160       	2.97033   	1138.12   	5.85885e-010	
160.814   	1150      	160       	3.08295   	1162.12   	4.7367e-009	
165.814   	1150      	160       	3.20841   	1185.61   	0         	
170.814   	1150      	160       	3.34471   	1207.74   	3.60367e-012	
175.814   	1150      	160       	3.49933   	1230.44   	0         	
180.814   	1150      	160       	3.66874   	1252.58   	0         	
185.814   	1150      	160       	4.04747   	1293.19   	0         	
190.814   	1150      	160       	4.25915   	1311.71   	0         	
195.814   	1150      	160       	4.48612   	1328.87   	0         	
200.814   	1150      	160       	4.48794   	1329.3    	0         	
205.814   	1150      	160       	4.72906   	1344.84   	0         	
210.814   	1150      	160       	4.98485   	1358.8    	4.03702e-017	
215.814   	1150      	160       	5.25522   	1371.12   	0         	
220.814   	1150      	160       	5.53862   	1381.9    	3.33422e-009	
225.814   	1150      	160       	5.83415   	1391.05   	1.7204e-009	
230.814   	1150      	160       	6.14105   	1398.51   	0         	
235.814   	1150      	160       	6.45878   	1404.3    	0         	
240.814   	1150      	160       	6.78673   	1408.44   	0         	
245.814   	1150      	160       	7.24328   	1415.86   	0         	
250.814   	1150      	160       	7.85452   	1425.67   	0         	
255.814   	1150      	160       	8.47803   	1432.75   	0         	
260.814   	1150      	160       	9.11101   	1437.14   	0         	
265.814   	1150      	160       	9.7499    	1439.1    	0         	
270.814   	1150      	160       	10.3914   	1438.9    	0         	
275.814   	1150      	160       	11.0325   	1436.76   	0         	
280.814   	1150      	160       	11.6703   	1432.94   	0         	
285.814   	1150      	160       	12.3026   	1427.66   	0         	
290.814   	1150      	160       	12.927    	1421.12   	0         	
295.814   	1150      	160       	13.5419   	1413.52   	0         	
300.814   	1150      	160       	14.1457   	1405.03   	0         	
305.814   	1150      	160       	14.737    	1395.83   	0         	
310.814   	1150      	160       	15.3148   	1386.04   	0         	
315.814   	1150      	160       	15.8783   	1375.81   	0         	
320.814   	1150      	160       	16.4287   	1365.21   	0         	
325.814   	1150      	160       	16.9681   	1354.26   	0         	
330.814   	1150      	160       	17.4952   	1343.06   	0         	
335.814   	1150      	160       	17.9984   	1334.03   	2.48885e-009	
340.814   	1150      	160       	18.4992   	1322.54   	3.75958e-016	
345.814   	1150      	160       	18.9865   	1310.98   	0         	
350.814   	1150      	160       	19.46     	1299.42   	0         	
355.814   	1150      	160       	19.9195   	1287.89   	0         	
360.814   	1150      	160       	20.365    	1276.45   	0         	
365.814   	1150      	160       	20.7965   	1265.12   	1.14142e-016	
370.814   	1150      	160       	21.2141   	1253.94   	0         	
375.814   	1150      	160       	21.618    	1242.93   	0         	
380.814   	1150      	160       	22.0082   	1232.12   	5.90398e-018	
385.814   	1150      	160       	22.3851   	1221.51   	0         	
390.814   	1150      	160       	22.7483   	1211.15   	3.84029e-016	
395.814   	1150      	160       	23.0985   	1201.01   	6.46426e-016	
400.814   	1150      	160       	23.435    	1191.17   	4.29139e-018	
405.814   	1150      	160       	23.7585   	1181.59   	3.66311e-016	
410.814   	1150      	160       	24.0694   	1172.29   	6.51686e-016	
415.814   	1150      	160       	24.368    	1163.27   	2.93995e-016	
420.814   	1150      	160       	24.6547   	1154.53   	0         	
425.814   	1150      	160       	24.93     	1146.06   	4.56632e-016	
430.814   	1150      	160       	25.1941   	1137.86   	7.75313e-017	
435.814   	1150      	160       	25.4134   	1132.92   	0         	
440.814   	1150      	160       	25.6536   	1125.28   	0         	
445.814   	1150      	160       	25.8688   	1119.64   	6.12364e-019	
450.814   	1150      	160       	26.0776   	1114.12   	1.44379e-017	
455.814   	1150      	160       	26.2802   	1108.71   	0         	
460.814   	1150      	160       	26.4766   	1103.42   	0         	
465.814   	1150      	160       	26.667    	1098.24   	0         	
470.814   	1150      	160       	26.8516   	1093.18   	1.48812e-010	
475.814   	1150      	160       	27.0305   	1088.24   	0         	
480.814   	1150      	160       	27.2039   	1083.41   	0         	
485.814   	1150      	160       	27.372    	1078.69   	0         	
490.814   	1150      	160       	27.5348   	1074.09   	0         	
495.814   	1150      	160       	27.6925   	1069.59   	8.41593e-017	
500.814   	1150      	160       	27.8454   	1065.21   	0         	
505.814   	1150      	160       	27.9934   	1060.93   	8.07903e-017	
510.814   	1150      	160       	28.1369   	1056.75   	0         	
515.814   	1150      	160       	28.2758   	1052.68   	0         	
520.814   	1150      	160       	28.4104   	1048.71   	0         	
525.814   	1150      	160       	28.5409   	1044.83   	0         	
530.814   	1150      	160       	28.6683   	1041.03   	0         	
535.814   	1150      	160       	28.7929   	1037.29   	0         	
540.814   	1150      	160       	28.9145   	1033.62   	0         	
545.814   	1150      	160       	29.0332   	1030.01   	0         	
550.814   	1150      	160       	29.1489   	1026.47   	2.22659e-017	
555.814   	1150      	160       	29.2618   	1023      	0         	
560.814   	1150      	160       	29.3717   	1019.6    	8.38615e-018	
565.814   	1150      	160       	29.4787   	1016.27   	0         	
570.814   	1150      	160       	29.5828   	1013.02   	0         	
575.814   	1150      	160       	29.684    	1009.83   	0         	
580.814   	1150      	160       	29.7825   	1006.72   	1.14884e-018	
585.814   	1150      	160       	29.8782   	1003.68   	1.07132e-018	
590.814   	1150      	160       	29.9713   	1000.71   	0         	
595.814   	1150      	160       	30.0616   	997.806   	0         	
600.814   	1150      	160       	30.1494   	994.974   	0         	
605.814   	1150      	160       	30.2346   	992.214   	0         	
610.814   	1150      	160       	30.3173   	989.522   	7.31916e-018	
615.814   	1150      	160       	30.3975   	986.897   	0         	
620.814   	1150      	160       	30.4754   	984.338   	6.60353e-018	
625.814   	1150      	160       	30.551    	981.846   	0         	
630.814   	1150      	160       	30.6243   	979.418   	0         	
635.814   	1150      	160       	30.6954   	977.054   	0         	
640.814   	1150      	160       	30.7643   	974.751   	8.01195e-019	
645.814   	1150      	160       	30.8312   	972.51    	3.31009e-018	
650.814   	1150      	160       	30.896    	970.328   	2.28815e-018	
655.814   	1150      	160       	30.9589   	968.206   	3.91138e-018	
660.814   	1150      	160       	31.0199   	966.14    	6.08559e-018	
665.814   	1150      	160       	31.0791   	964.141   	3.34516e-018	
670.814   	1150      	160       	31.1363   	962.191   	0         	
675.814   	1150      	160       	31.1918   	960.303   	4.05487e-018	
680.814   	1150      	160       	31.2454   	958.47    	3.19696e-018	
685.814   	1150      	160       	31.2974   	956.693   	0         	
690.814   	1150      	160       	31.3477   	954.968   	0         	
695.814   	1150      	160       	31.3963   	953.294   	4.58144e-018	
700.814   	1150      	160       	31.4434   	951.674   	0         	
705.814   	1150      	160       	31.489    	950.096   	0         	
710.814   	1150      	160       	31.5332   	948.571   	0         	
715.814   	1150      	160       	31.5759   	947.09    	0         	
720.814   	1150      	160       	31.6172   	945.654   	0         	
725.814   	1150      	160       	31.6573   	944.259   	8.97712e-018	
730.814   	1150      	160       	31.6961   	942.91    	0         	
735.814   	1150      	160       	31.7337   	941.599   	0         	
740.814   	1150      	160       	31.7702   	940.327   	0         	
745.814   	1150      	160       	31.8055   	939.095   	5.4615e-018	
750.814   	1150      	160       	31.8397   	937.9     	5.86841e-018	
755.814   	1150      	160       	31.9095   	934.898   	0         	
760.814   	1150      	160       	31.9407   	933.801   	0         	
765.814   	1150      	160       	31.9709   	932.763   	0         	
770.814   	1150      	160       	32.0003   	931.757   	2.49342e-016	
775.814   	1150      	160       	32.0288   	930.781   	1.74702e-017	
780.814   	1150      	160       	32.0565   	929.833   	0         	
785.814   	1150      	160       	32.0835   	928.914   	0         	
790.814   	1150      	160       	32.1097   	928.022   	2.54955e-015	
795.814   	1150      	160       	32.1352   	927.155   	0         	
800.814   	1150      	160       	32.1601   	926.316   	0         	
805.814   	1150      	160       	32.1843   	925.502   	0         	
810.814   	1150      	160       	32.2079   	924.714   	0         	
815.814   	1150      	160       	32.2308   	923.95    	1.82547e-017	
820.814   	1150      	160       	32.2532   	923.209   	0         	
825.814   	1150      	160       	32.275    	922.49    	0         	
830.814   	1150      	160       	32.2963   	921.792   	0         	
835.814   	1150      	160       	32.317    	921.116   	0         	
840.814   	1150      	160       	32.3373   	920.459   	1.79766e-018	
845.814   	1150      	160       	32.3571   	919.823   	0         	
850.814   	1150      	160       	32.3765   	919.203   	0         	
855.814   	1150      	160       	32.3955   	918.602   	0         	
860.814   	1150      	160       	32.414    	918.019   	1.12484e-016	
865.814   	1150      	160       	32.4322   	917.453   	0         	
870.814   	1150      	160       	32.45     	916.901   	1.35787e-015	
875.814   	1150      	160       	32.4675   	916.367   	5.60723e-018	
880.814   	1150      	160       	32.4846   	915.847   	7.11048e-019	
885.814   	1150      	160       	32.5014   	915.343   	2.46335e-023	
890.814   	1150      	160       	32.5179   	914.851   	1.73552e-015	
895.814   	1150      	160       	32.5341   	914.374   	1.3192e-015	
