Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	300       	104.833   	20.2147   	1358.58   	1.17502e-006	
0.000398709	300       	110.87    	22.3232   	1743.91   	4.37353e-005	
0.00128484	300       	112.716   	21.4966   	1921.54   	0.000254602	
0.00386744	300       	112.811   	21.5846   	1894.61   	0.000766201	
0.011134  	300       	112.657   	21.7809   	1790.61   	0.00159983	
0.0307047 	300       	112.439   	21.4133   	1672.64   	0.00255484	
0.0820382 	300       	112.193   	20.2385   	1570.55   	0.00341203	
0.216317  	300       	111.922   	18.4092   	1485.51   	0.00411579	
0.56772   	300       	111.616   	16.1258   	1408.7    	0.00466622	
0.954764  	300       	111.418   	14.6506   	1366.19   	0.00490477	
1.37339   	300       	111.275   	13.5478   	1339.09   	0.00502246	
1.82389   	300       	111.16    	12.6256   	1320.15   	0.00508188	
2.31043   	300       	111.059   	11.8302   	1304.43   	0.00511357	
2.84015   	300       	110.962   	11.0928   	1289.6    	0.00513046	
3.42338   	300       	110.863   	10.3813   	1274.35   	0.00513783	
4.07348   	300       	110.759   	9.69267   	1257.79   	0.00513807	
4.80267   	300       	110.653   	9.02116   	1241.32   	0.00512987	
5.60284   	300       	110.537   	8.34586   	1222.94   	0.00511413	
6.476     	300       	110.411   	7.70664   	1201.99   	0.0050943 	
6.95397   	300       	110.341   	7.37732   	1190.18   	0.0050803 	
7.5565    	300       	110.253   	6.98109   	1175.34   	0.0050596 	
8.29011   	300       	110.146   	6.52205   	1157.39   	0.00502949	
9.15198   	300       	110.019   	6.01619   	1136.4    	0.00498802	
10.1413   	300       	109.873   	5.47796   	1112.3    	0.00493326	
10.7025   	300       	109.789   	5.19989   	1098.42   	0.00490046	
11.4154   	300       	109.684   	4.87712   	1080.95   	0.00485832	
12.2872   	300       	109.565   	4.5285    	1061.34   	0.00480383	
13.322    	300       	109.433   	4.16752   	1040.02   	0.00473632	
14.5221   	300       	109.279   	3.77937   	1015.55   	0.00465247	
15.1973   	300       	109.191   	3.57877   	1001.6    	0.00460421	
16.0548   	300       	109.081   	3.35005   	984.038   	0.00454576	
17.1105   	300       	108.948   	3.10921   	962.709   	0.00448037	
18.3616   	300       	108.796   	2.87659   	938.093   	0.00441291	
19.8062   	300       	108.626   	2.6613    	910.702   	0.00434541	
20.6209   	300       	108.53    	2.55317   	895.483   	0.00430834	
21.6546   	300       	108.411   	2.43165   	876.671   	0.00426435	
22.9246   	300       	108.267   	2.3009    	854.185   	0.0042136 	
23.678    	300       	108.181   	2.22908   	841.015   	0.00418355	
24.6551   	300       	108.073   	2.14497   	824.511   	0.00414574	
25.8793   	300       	107.944   	2.05424   	805.268   	0.00409864	
27.365    	300       	107.786   	1.94751   	782.117   	0.00403845	
28.2422   	300       	107.691   	1.8865    	768.441   	0.00400144	
29.3749   	300       	107.565   	1.81055   	750.839   	0.00395298	
30.7738   	300       	107.409   	1.7209    	729.218   	0.00389197	
32.4156   	300       	107.221   	1.62166   	704.043   	0.00381915	
34.2544   	300       	107.009   	1.5176    	676.327   	0.00373587	
36.2637   	300       	106.774   	1.4117    	646.778   	0.0036428 	
37.3553   	300       	106.645   	1.35682   	630.936   	0.00359049	
38.7065   	300       	106.486   	1.29216   	611.786   	0.00352553	
40.2938   	300       	106.3     	1.22075   	589.933   	0.00344921	
42.0706   	300       	106.094   	1.1462    	566.301   	0.00336384	
43.9808   	300       	105.874   	1.07149   	541.812   	0.0032717 	
45.9785   	300       	105.646   	0.99887   	517.176   	0.00317514	
48.0258   	300       	105.415   	0.929828  	492.916   	0.00307625	
50.0918   	300       	105.186   	0.865262  	469.408   	0.00297686	
52.1684   	300       	104.959   	0.805816  	446.779   	0.00287885	
54.2797   	300       	104.734   	0.750807  	424.81    	0.00278191	
56.474    	300       	104.507   	0.698403  	403.056   	0.00268329	
58.7318   	300       	104.28    	0.648987  	381.82    	0.00258418	
63.3307   	300       	103.854   	0.562975  	343.051   	0.00239741	
66.8523   	300       	103.543   	0.505383  	315.7     	0.00225878	
69.9554   	300       	103.284   	0.459977  	293.25    	0.00214081	
72.8708   	300       	103.053   	0.421432  	273.522   	0.00203399	
78.518    	300       	102.653   	0.358584  	239.9     	0.00184671	
80.5983   	300       	102.511   	0.337225  	228.041   	0.00177737	
85.1186   	300       	102.229   	0.296573  	204.79    	0.00163895	
88.9607   	300       	102.01    	0.266047  	186.719   	0.00152746	
89.881    	300       	101.958   	0.259026  	182.485   	0.00150057	
92.3267   	300       	101.828   	0.241731  	171.923   	0.00143313	
93.0322   	300       	101.792   	0.236886  	168.931   	0.00141368	
94.9878   	300       	101.695   	0.224268  	161.065   	0.00136239	
95.5974   	300       	101.666   	0.220434  	158.653   	0.00134645	
97.3221   	300       	101.585   	0.210163  	152.147   	0.00130334	
97.9916   	300       	101.556   	0.206285  	149.668   	0.00128672	
98.467    	300       	101.534   	0.203575  	147.933   	0.00127505	
99.1536   	300       	101.503   	0.199751  	145.477   	0.00125849	
100       	300       	101.467   	0.195174  	142.52    	0.00123847	
