Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	700       	200       	0         	0         	-80920.3  	
0.000397924	700       	200       	0         	0         	-79290.1  	
0.00127416	700       	200       	0         	0         	-75077.5  	
0.00376943	700       	200       	0         	0         	-66825.6  	
0.0103682 	700       	200       	0         	0         	-54097.8  	
0.0257439 	700       	200       	0         	0         	-40654.4  	
0.0565017 	700       	200       	0         	0         	-29754.9  	
0.110463  	700       	200       	0         	0         	-22242.3  	
0.197748  	700       	200       	0         	0         	-18128.9  	
0.332757  	700       	200       	0         	0         	-15781.8  	
0.543941  	700       	200       	0         	0         	-15441    	
0.878241  	700       	200       	0         	0         	-16003.3  	
1.29047   	700       	200       	0         	0         	-16826.9  	
1.82574   	700       	200       	0         	0         	-17824    	
2.46006   	700       	200       	0         	0         	-18771.3  	
2.85757   	700       	200       	0         	0         	-19352.7  	
3.48971   	700       	200       	0         	0         	-20056.2  	
3.91624   	700       	200       	0         	0         	-20486.3  	
4.64351   	700       	200       	0         	0         	-21124.8  	
5.12169   	700       	200       	0         	0         	-21498.5  	
5.942     	700       	200       	0         	0         	-21988.2  	
6.4767    	700       	200       	0         	0         	-22273.2  	
7.3896    	700       	200       	0         	0         	-22698.6  	
7.98904   	700       	200       	0         	0         	-22970.8  	
8.49044   	700       	200       	0         	0         	-23188.2  	
9.42196   	700       	200       	0         	0         	-23532.6  	
10.0639   	700       	200       	0         	0         	-23755.7  	
10.6151   	700       	200       	0         	0         	-23933.7  	
11.125    	700       	200       	0         	0         	-24088.3  	
11.598    	700       	200       	0         	0         	-24223    	
12.0555   	700       	200       	0         	0         	-24346.9  	
12.5088   	700       	200       	0         	0         	-24464.1  	
12.9628   	700       	200       	0         	0         	-24573.7  	
13.8504   	700       	200       	0         	0         	-24756.5  	
14.5207   	700       	200       	0         	0         	-24881.2  	
15.1174   	700       	200       	0         	0         	-24987.8  	
16.2049   	700       	200       	0         	0         	-25154.9  	
16.9792   	700       	200       	0         	0         	-25265.2  	
17.6489   	700       	200       	0         	0         	-25355.5  	
18.8569   	700       	200       	0         	0         	-25498.7  	
19.2921   	700       	200       	0         	0         	-25551.3  	
19.7625   	700       	200       	0         	0         	-25604    	
20.2521   	700       	200       	0         	0         	-25657.6  	
20.7546   	700       	200       	0         	0         	-25709.6  	
21.271    	700       	200       	0         	0         	-25759.9  	
