Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.0001    	300       	104.833   	20.2147   	1358.58   	1.17502e-006	
0.000397924	300       	110.866   	22.3249   	1743.54   	4.35581e-005	
0.00127416	300       	112.715   	21.4974   	1921.39   	0.000252094	
0.00376943	300       	112.814   	21.578    	1896.52   	0.000750613	
0.0103682 	300       	112.67    	21.7833   	1798.07   	0.00153993	
0.0257439 	300       	112.477   	21.5416   	1690.66   	0.00240411	
0.0565017 	300       	112.281   	20.7657   	1603.08   	0.00313154	
0.110463  	300       	112.1     	19.6846   	1537.93   	0.00368218	
0.197748  	300       	111.931   	18.5019   	1487.01   	0.00410048	
0.332757  	300       	111.768   	17.2964   	1444.24   	0.00442607	
0.543941  	300       	111.608   	16.0733   	1406.83   	0.00467949	
0.878241  	300       	111.454   	14.8184   	1376.05   	0.00485875	
1.29047   	300       	111.336   	13.7506   	1356.91   	0.00494726	
1.82574   	300       	111.24    	12.7317   	1346.48   	0.00497395	
2.46006   	300       	111.164   	11.8274   	1341.53   	0.00496052	
2.85757   	300       	111.125   	11.3347   	1339.83   	0.00494241	
3.48971   	300       	111.077   	10.6949   	1338.86   	0.00490469	
3.91624   	300       	111.054   	10.3422   	1339.9    	0.00487686	
4.64351   	300       	111.023   	9.81554   	1342.16   	0.00482782	
5.12169   	300       	111.004   	9.50456   	1343.41   	0.00479606	
5.942     	300       	110.975   	9.0521    	1345.08   	0.00474532	
6.4767    	300       	110.958   	8.78095   	1346.02   	0.0047129 	
7.3896    	300       	110.932   	8.36177   	1347.84   	0.00465905	
7.98904   	300       	110.917   	8.10577   	1349.05   	0.00462408	
8.49044   	300       	110.905   	7.90474   	1350.06   	0.00459536	
9.42196   	300       	110.886   	7.57127   	1351.99   	0.00454483	
10.0639   	300       	110.874   	7.36915   	1353.19   	0.00451209	
10.6151   	300       	110.866   	7.22665   	1354.07   	0.00448668	
11.125    	300       	110.859   	7.10319   	1354.92   	0.00446368	
11.598    	300       	110.854   	6.99307   	1355.8    	0.00444242	
12.0555   	300       	110.849   	6.895     	1356.71   	0.00442233	
12.5088   	300       	110.845   	6.8021    	1357.7    	0.00440245	
12.9628   	300       	110.845   	6.7262    	1359.7    	0.00438319	
13.8504   	300       	110.847   	6.57591   	1364.07   	0.00434515	
14.5207   	300       	110.849   	6.4699    	1367.34   	0.00431753	
15.1174   	300       	110.851   	6.38402   	1370.14   	0.00429424	
16.2049   	300       	110.855   	6.26062   	1374.51   	0.00425772	
16.9792   	300       	110.858   	6.18763   	1377.25   	0.00423446	
17.6489   	300       	110.861   	6.13511   	1379.38   	0.00421628	
18.8569   	300       	110.865   	6.0734    	1382.19   	0.00419021	
19.2921   	300       	110.866   	6.05577   	1383.11   	0.0041816 	
19.7625   	300       	110.868   	6.04211   	1383.95   	0.00417332	
20.2521   	300       	110.869   	6.03392   	1384.64   	0.00416585	
20.7546   	300       	110.871   	6.03192   	1385.14   	0.00415943	
21.271    	300       	110.872   	6.0367    	1385.4    	0.00415421	
21.7977   	300       	110.873   	6.04974   	1385.39   	0.00415043	
22.3317   	300       	110.874   	6.0713    	1385.05   	0.00414825	
22.8637   	300       	110.874   	6.10008   	1384.4    	0.00414759	
23.3993   	300       	110.874   	6.13576   	1383.43   	0.00414832	
23.9375   	300       	110.873   	6.17895   	1382.13   	0.00415049	
24.4859   	300       	110.872   	6.22951   	1380.43   	0.0041542 	
25.0361   	300       	110.87    	6.2857    	1378.4    	0.00415916	
25.5865   	300       	110.867   	6.34511   	1376.03   	0.00416522	
26.1374   	300       	110.864   	6.40578   	1373.38   	0.00417209	
26.6977   	300       	110.86    	6.46779   	1370.49   	0.00417971	
27.2648   	300       	110.855   	6.52866   	1367.42   	0.00418804	
28.4096   	300       	110.844   	6.6101    	1361.68   	0.00421818	
28.8442   	300       	110.84    	6.63369   	1359.68   	0.00423255	
29.3228   	300       	110.835   	6.64926   	1357.76   	0.0042549 	
29.8394   	300       	110.83    	6.65184   	1356.03   	0.0042942 	
30.387    	300       	110.825   	6.63921   	1354.67   	0.00436953	
30.9491   	300       	110.82    	6.60822   	1353.77   	0.00453453	
