Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         4700        0           0         
0.01      4700        3627.7698   3154.58   
0.11      4700        3620.6568   3148.4    
0.402074  4700        3613.6767   3142.33   
1.25783   4700        3603.461    3133.44   
3.73073   4700        3582.5991   3115.3    
10.5966   4700        3535.1914   3074.08   
20.5966   4700        3469.5251   3016.98   
30.5966   4700        3404.4581   2960.4    
40.5966   4700        3339.6274   2904.02   
50        4700        3278.5488   2850.91   
