Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         4800        0           0           0         
0.01      4800        3111.4596   2705.62     846.766   
0.11      4800        3102.7325   2698.03     844.267   
0.398608  4800        3095.4204   2691.67     842.299   
1.23795   4800        3085.0225   2682.63     839.789   
3.65524   4800        3060.256    2661.09     834.147   
10.2524   4800        2996.1878   2605.38     820.231   
20.2524   4800        2901.0311   2522.64     800.737   
30.2524   4800        2806.3632   2440.32     782.27    
40.2524   4800        2711.9124   2358.18     764.535   
50.2524   4800        2617.5248   2276.11     747.275   
60.2524   4800        2523.4283   2194.29     730.351   
70.2524   4800        2429.7806   2112.85     713.622   
80.2524   4800        2336.5524   2031.78     696.977   
90.2524   4800        2242.7331   1950.2      682.909   
100       4800        2152.0229   1871.32     669.438   
