Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         5200        0           0           0         
0.01      5200        1943.8758   1690.33     533.017   
0.11      5200        1925.9964   1674.78     527.979   
0.399924  5200        1918.5038   1668.26     525.879   
1.24467   5200        1915.6336   1665.77     525.094   
3.68784   5200        1910.7196   1661.5      523.731   
6.68784   5200        1905.2864   1656.77     522.214   
9.68784   5200        1900.6358   1652.73     520.915   
10        5200        1900.16     1652.31     520.782   
