Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         4800        0           0           0         
0.01      4800        1328.6114   1155.31     360.728   
0.11      4800        1324.112    1151.4      359.011   
0.399685  4800        1321.7354   1149.34     357.175   
1.24668   4800        1321.4879   1149.12     353.815   
3.72768   4800        1323.4849   1150.86     345.024   
10.8479   4800        1330.1277   1156.63     321.883   
20.8479   4800        1337.7759   1163.28     292.413   
30.8479   4800        1343.1834   1167.99     265.665   
40.8479   4800        1346.3886   1170.77     241.333   
50.8479   4800        1347.4944   1171.73     219.176   
60.8479   4800        1346.6629   1171.01     198.994   
70.8479   4800        1344.0771   1168.76     180.613   
80.8479   4800        1339.8899   1165.12     163.877   
90.8479   4800        1334.2394   1160.21     148.641   
100       4800        1327.9138   1154.71     135.869   
