Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         5100        0           0           0         
0.01      5100        1764.7338   1534.55     476.614   
0.11      5100        1785.0604   1552.23     445.368   
0.292066  5100        1813.6651   1577.1      416.308   
0.624527  5100        1834.0407   1594.82     396.749   
1.1616    5100        1845.6198   1604.89     388.396   
1.97824   5100        1854.0752   1612.24     383.94    
3.24382   5100        1862.7171   1619.75     379.468   
5.05536   5100        1860.0808   1617.46     386.754   
7.42406   5100        1812.3451   1575.95     436.719   
10.0641   5100        1670.4494   1452.56     580.04    
12.694    5100        1461.3948   1270.78     796.877   
15.604    5100        1227.654    1067.53     1053.53   
18.7333   5100        1071.5093   931.747     1239.16   
22.5474   5100        985.45315   856.916     1351.63   
26.96     5100        948.63938   824.904     1406.82   
30        5100        936.51775   814.363     1427.24   
