Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	2500	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 1	2508.84	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 2	2517.68	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 3	2526.53	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 4	2535.37	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 5	2544.21	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 6	2553.05	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 7	2561.89	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 8	2570.74	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 9	2579.58	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 10	2588.42	119.33	33.633	8.28783	9.4449	15.9003	0.246419	0.280822	0.472758
Seg 11	2597.26	119.33	29.2694	7.21254	8.21949	13.8373	0.246419	0.280822	0.472758
Seg 12	2606.11	119.33	29.2694	7.21254	8.21949	13.8373	0.246419	0.280822	0.472758
Seg 13	2614.95	119.33	29.2694	7.21254	8.21949	13.8373	0.246419	0.280822	0.472758
Seg 14	2623.79	119.33	29.2694	7.21254	8.21949	13.8373	0.246419	0.280822	0.472758
Seg 15	2632.63	119.33	29.2694	7.21254	8.21949	13.8373	0.246419	0.280822	0.472758
Seg 16	2641.47	119.33	27.0769	6.67228	7.6038	12.8008	0.246419	0.280822	0.472758
Seg 17	2650.32	119.33	27.0769	6.67228	7.6038	12.8008	0.246419	0.280822	0.472758
Seg 18	2659.16	119.33	27.0769	6.67228	7.6038	12.8008	0.246419	0.280822	0.472758
Seg 19	2668	119.33	27.0769	6.67228	7.6038	12.8008	0.246419	0.280822	0.472758
Seg 20	2676.84	119.33	27.0769	6.67228	7.6038	12.8008	0.246419	0.280822	0.472758
Seg 21	2685.68	119.33	15.852	3.90624	4.45159	7.49416	0.246419	0.280822	0.472758
Seg 22	2694.53	119.33	15.852	3.90624	4.45159	7.49416	0.246419	0.280822	0.472758
