Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	2500      	-         	33479.9   	22096.3   	37493.9   	
0.106368  	2500      	-         	32498.4   	22189.3   	37020.8   	
0.111417  	2500      	-         	31965.3   	22245.7   	36643.3   	
0.116271  	2500      	-         	31600     	22287.6   	36283.4   	
0.121178  	2500      	-         	31329.3   	22321.1   	35927.3   	
0.126216  	2500      	-         	31119.3   	22348.8   	35572.9   	
0.131415  	2500      	-         	30949.7   	22372.1   	35220.7   	
0.136788  	2500      	-         	30807.4   	22392     	34872.2   	
0.142342  	2500      	-         	30683.2   	22409.3   	34528.2   	
0.148086  	2500      	-         	30571.6   	22424.4   	34189.9   	
0.154026  	2500      	-         	30468.4   	22437.6   	33857.5   	
0.16017   	2500      	-         	30371     	22448.9   	33531.3   	
0.166526  	2500      	-         	30277.9   	22458.6   	33211.6   	
0.173101  	2500      	-         	30188.2   	22466.5   	32898.3   	
0.179904  	2500      	-         	30101.1   	22472.7   	32591.4   	
0.186944  	2500      	-         	30016.5   	22477.3   	32291.1   	
0.194228  	2500      	-         	29934.3   	22480.5   	31997.6   	
0.201765  	2500      	-         	29854     	22482.3   	31710.9   	
0.209564  	2500      	-         	29775.3   	22482.6   	31430.8   	
0.217633  	2500      	-         	29697.8   	22481.3   	31157.1   	
0.225981  	2500      	-         	29621     	22478.6   	30889.8   	
0.234616  	2500      	-         	29544.4   	22474.4   	30629     	
0.243546  	2500      	-         	29467.7   	22468.8   	30374.4   	
0.252781  	2500      	-         	29390.3   	22461.8   	30126     	
0.262328  	2500      	-         	29312.1   	22453.6   	29883.9   	
0.272195  	2500      	-         	29232.4   	22444     	29647.9   	
0.282352  	2500      	-         	29151.3   	22433.2   	29418.7   	
0.29277   	2500      	-         	29068.8   	22421.2   	29196.6   	
0.303443  	2500      	-         	28984.8   	22408     	28981.6   	
0.314372  	2500      	-         	28899.3   	22393.7   	28773.5   	
0.325561  	2500      	-         	28812.2   	22378.3   	28571.8   	
0.337017  	2500      	-         	28723.7   	22361.8   	28376.3   	
0.348743  	2500      	-         	28633.9   	22344.3   	28186.6   	
0.360747  	2500      	-         	28543     	22325.9   	28002.6   	
0.373035  	2500      	-         	28451     	22306.5   	27823.9   	
0.385611  	2500      	-         	28358     	22286     	27650.1   	
0.398484  	2500      	-         	28264.3   	22264.6   	27480.9   	
0.411659  	2500      	-         	28169.9   	22242.1   	27316.2   	
0.425142  	2500      	-         	28075.1   	22218.6   	27155.7   	
0.438941  	2500      	-         	27979.9   	22194.1   	26999.2   	
0.453062  	2500      	-         	27884.7   	22168.7   	26846.6   	
0.46751   	2500      	-         	27789.2   	22142.4   	26697.6   	
0.482225  	2500      	-         	27694.2   	22115.2   	26552.7   	
0.497194  	2500      	-         	27599.6   	22087.2   	26411.8   	
0.512415  	2500      	-         	27505.5   	22058.5   	26274.6   	
0.527895  	2500      	-         	27412     	22029.1   	26141.1   	
0.543639  	2500      	-         	27318.9   	21999     	26010.9   	
0.559656  	2500      	-         	27226.2   	21968.3   	25883.9   	
0.575954  	2500      	-         	27133.9   	21937     	25759.9   	
0.592539  	2500      	-         	27041.9   	21905     	25638.5   	
0.609419  	2500      	-         	26950.1   	21872.3   	25519.8   	
0.626603  	2500      	-         	26858.2   	21839.2   	25403.4   	
0.644097  	2500      	-         	26766.2   	21805.4   	25289.3   	
0.66191   	2500      	-         	26674.1   	21771.1   	25177.4   	
0.68005   	2500      	-         	26581.9   	21736.4   	25067.5   	
0.698524  	2500      	-         	26489.7   	21701.1   	24959.4   	
0.717341  	2500      	-         	26397.2   	21665.4   	24853     	
0.736509  	2500      	-         	26304.1   	21629.1   	24748.2   	
0.756036  	2500      	-         	26210.7   	21592.4   	24644.8   	
0.775931  	2500      	-         	26116.9   	21555.1   	24542.8   	
0.796201  	2500      	-         	26022.4   	21517.5   	24442.2   	
0.816857  	2500      	-         	25927.3   	21479.6   	24342.8   	
0.837906  	2500      	-         	25831.6   	21441.2   	24244.4   	
0.859359  	2500      	-         	25735.4   	21402.5   	24147     	
0.881226  	2500      	-         	25638.7   	21363.3   	24050.5   	
0.903517  	2500      	-         	25541.6   	21323.7   	23954.8   	
0.926243  	2500      	-         	25444     	21283.8   	23859.7   	
0.949414  	2500      	-         	25346.1   	21243.4   	23765.3   	
0.973043  	2500      	-         	25247.9   	21202.8   	23671.4   	
0.99714   	2500      	-         	25149.5   	21161.8   	23578     	
1.02172   	2500      	-         	25050.9   	21120.4   	23484.9   	
1.04679   	2500      	-         	24952.2   	21078.6   	23392.1   	
1.07237   	2500      	-         	24853.4   	21036.5   	23299.5   	
1.09846   	2500      	-         	24754.6   	20994     	23207     	
1.1251    	2500      	-         	24655.8   	20951     	23114.6   	
1.15228   	2500      	-         	24557.1   	20907.8   	23022.2   	
1.18002   	2500      	-         	24458.6   	20864.1   	22929.7   	
1.20835   	2500      	-         	24360.5   	20820     	22837     	
1.23726   	2500      	-         	24262.7   	20775.6   	22744.3   	
1.26678   	2500      	-         	24165.3   	20730.8   	22651.2   	
1.29693   	2500      	-         	24068.3   	20685.5   	22557.8   	
1.32774   	2500      	-         	23971.6   	20639.9   	22464.1   	
1.35923   	2500      	-         	23875.3   	20593.9   	22369.9   	
1.39142   	2500      	-         	23779.5   	20547.4   	22275.2   	
1.42434   	2500      	-         	23684.1   	20500.6   	22179.9   	
1.45799   	2500      	-         	23589.2   	20453.3   	22084     	
1.49242   	2500      	-         	23494.8   	20405.6   	21987.5   	
1.52765   	2500      	-         	23400.9   	20357.5   	21890.2   	
1.56346   	2500      	-         	23308     	20309.3   	21792.8   	
1.5998    	2500      	-         	23216.4   	20261     	21695.4   	
1.63665   	2500      	-         	23126     	20212.7   	21598.1   	
1.674     	2500      	-         	23036.9   	20164.5   	21500.8   	
1.71187   	2500      	-         	22949     	20116.3   	21403.5   	
1.75027   	2500      	-         	22862.2   	20068.2   	21306.2   	
1.7892    	2500      	-         	22776.5   	20020.1   	21208.9   	
1.82868   	2500      	-         	22691.9   	19972     	21111.5   	
1.86872   	2500      	-         	22608.3   	19924     	21014     	
1.90934   	2500      	-         	22525.7   	19876     	20916.4   	
1.95055   	2500      	-         	22444     	19828     	20818.6   	
1.99236   	2500      	-         	22363.2   	19780     	20720.5   	
2.03479   	2500      	-         	22283.3   	19732     	20622.3   	
2.07786   	2500      	-         	22204.2   	19684     	20523.8   	
2.12158   	2500      	-         	22125.8   	19636     	20425     	
2.16596   	2500      	-         	22048.2   	19588     	20326     	
2.21102   	2500      	-         	21971.4   	19540     	20226.6   	
2.25676   	2500      	-         	21895.3   	19492     	20126.9   	
2.30318   	2500      	-         	21819.9   	19444     	20027     	
2.35031   	2500      	-         	21745.1   	19396     	19926.7   	
2.39816   	2500      	-         	21671.1   	19348     	19826.1   	
2.44672   	2500      	-         	21597.6   	19300     	19725.2   	
2.49601   	2500      	-         	21524.8   	19252     	19624     	
2.54607   	2500      	-         	21452.6   	19203.9   	19522.4   	
2.59693   	2500      	-         	21381     	19155.9   	19420.4   	
2.6486    	2500      	-         	21309.7   	19107.7   	19318     	
2.70111   	2500      	-         	21238.9   	19059.6   	19215.1   	
2.75448   	2500      	-         	21168.5   	19011.3   	19111.8   	
2.80873   	2500      	-         	21098.5   	18963     	19008.1   	
2.86388   	2500      	-         	21028.8   	18914.7   	18903.9   	
2.91995   	2500      	-         	20959.5   	18866.2   	18799.2   	
2.97698   	2500      	-         	20890.5   	18817.6   	18694.1   	
3.03498   	2500      	-         	20821.8   	18769     	18588.4   	
3.09399   	2500      	-         	20753.3   	18720.2   	18482.3   	
3.15403   	2500      	-         	20685     	18671.3   	18375.6   	
3.21512   	2500      	-         	20616.9   	18622.2   	18268.4   	
3.2773    	2500      	-         	20549     	18573     	18160.6   	
3.34059   	2500      	-         	20481.3   	18523.6   	18052.4   	
3.40504   	2500      	-         	20413.6   	18474.1   	17943.5   	
3.47066   	2500      	-         	20346.1   	18424.4   	17834.2   	
3.53724   	2500      	-         	20278.9   	18374.7   	17724.6   	
3.60465   	2500      	-         	20212.2   	18325     	17615.2   	
3.67285   	2500      	-         	20145.9   	18275.5   	17505.9   	
3.74185   	2500      	-         	20080.1   	18226.1   	17396.7   	
3.81167   	2500      	-         	20014.7   	18176.8   	17287.8   	
3.8823    	2500      	-         	19949.7   	18127.6   	17179     	
3.95379   	2500      	-         	19885.1   	18078.4   	17070.4   	
4.02614   	2500      	-         	19820.9   	18029.3   	16962     	
4.09937   	2500      	-         	19756.9   	17980.2   	16853.7   	
4.1735    	2500      	-         	19693.3   	17931.2   	16745.6   	
4.24855   	2500      	-         	19629.9   	17882.2   	16637.6   	
4.32451   	2500      	-         	19566.8   	17833.3   	16529.9   	
4.40145   	2500      	-         	19504     	17784.3   	16422.2   	
4.4794    	2500      	-         	19441.3   	17735.3   	16314.7   	
4.55839   	2500      	-         	19378.8   	17686.3   	16207.3   	
4.63844   	2500      	-         	19316.4   	17637.1   	16100     	
4.71959   	2500      	-         	19254.1   	17588     	15992.7   	
4.80185   	2500      	-         	19191.9   	17538.7   	15885.5   	
4.88527   	2500      	-         	19129.7   	17489.3   	15778.5   	
4.96986   	2500      	-         	19067.6   	17439.9   	15671.4   	
5.05566   	2500      	-         	19005.6   	17390.3   	15564.5   	
5.1427    	2500      	-         	18943.5   	17340.5   	15457.6   	
5.23102   	2500      	-         	18881.4   	17290.6   	15350.8   	
5.32051   	2500      	-         	18819.4   	17240.7   	15244.2   	
5.41103   	2500      	-         	18757.5   	17190.7   	15138     	
5.50255   	2500      	-         	18695.8   	17140.7   	15032.2   	
5.59507   	2500      	-         	18634.2   	17090.7   	14927     	
5.68855   	2500      	-         	18572.8   	17040.8   	14822.2   	
5.78306   	2500      	-         	18511.5   	16990.9   	14718     	
