Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5000	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 1	5000.03	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 2	5017.06	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 3	5034.09	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 4	5051.12	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 5	5068.15	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 6	5085.18	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 7	5102.21	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 8	5119.24	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 9	5136.27	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 10	5153.3	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 11	5170.32	46.33	36.0743	0	2.25952	33.8147	0	0.0626352	0.937365
Seg 12	5187.35	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 13	5204.38	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 14	5221.41	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 15	5238.44	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 16	5255.47	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 17	5272.5	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 18	5289.53	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 19	5306.56	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 20	5323.59	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 21	5340.61	46.33	23.9297	0	1.49884	22.4309	0	0.0626352	0.937365
Seg 22	5170.32	46.33	12.1445	0	0.760675	11.3839	0	0.0626352	0.937365
Seg 23	5170.32	46.33	12.1445	0	0.760675	11.3839	0	0.0626352	0.937365
