Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	5000      	-         	1053.16   	1028.47   	21735.1   	
0.13157   	5000      	-         	1044.94   	1020.45   	21475.5   	
0.168529  	5000      	-         	1038.98   	1014.63   	21291.6   	
0.221636  	5000      	-         	1033.78   	1009.55   	21135.7   	
0.305606  	5000      	-         	1028.84   	1004.73   	20993.3   	
0.446945  	5000      	-         	1023.76   	999.77    	20855.3   	
0.696008  	5000      	-         	1018.06   	994.198   	20713     	
1.11018   	5000      	-         	1011.38   	987.679   	20562.5   	
1.74887   	5000      	-         	1003.18   	979.669   	20393.2   	
2.65725   	5000      	-         	992.908   	969.637   	20192.2   	
3.83581   	5000      	-         	980.529   	957.548   	19955.9   	
5.24189   	5000      	-         	966.508   	943.855   	19690.8   	
6.84045   	5000      	-         	951.237   	928.942   	19403     	
8.60683   	5000      	-         	934.992   	913.078   	19096.5   	
10.5212   	5000      	-         	917.977   	896.462   	18774.4   	
12.5683   	5000      	-         	900.336   	879.234   	18438.5   	
14.7333   	5000      	-         	882.191   	861.514   	18090.6   	
17.0017   	5000      	-         	863.651   	843.409   	17732.3   	
19.3601   	5000      	-         	844.813   	825.013   	17365.1   	
21.7824   	5000      	-         	825.865   	806.508   	16992.7   	
24.2445   	5000      	-         	806.968   	788.055   	16618.4   	
26.7444   	5000      	-         	788.119   	769.647   	16242.1   	
29.2863   	5000      	-         	769.27    	751.24    	15863.2   	
31.8761   	5000      	-         	750.371   	732.785   	15481     	
34.5195   	5000      	-         	731.377   	714.236   	15094.6   	
37.2222   	5000      	-         	712.25    	695.556   	14703.5   	
39.9897   	5000      	-         	692.954   	676.713   	14307.2   	
42.8276   	5000      	-         	673.462   	657.677   	13905.3   	
45.7418   	5000      	-         	653.744   	638.422   	13497.5   	
48.7383   	5000      	-         	633.777   	618.923   	13083.4   	
51.824    	5000      	-         	613.535   	599.156   	12662.7   	
55.0061   	5000      	-         	592.995   	579.097   	12235.1   	
58.293    	5000      	-         	572.133   	558.723   	11800.3   	
61.6938   	5000      	-         	550.924   	538.012   	11358     	
65.219    	5000      	-         	529.346   	516.94    	10907.7   	
68.8807   	5000      	-         	507.374   	495.482   	10449.3   	
72.6927   	5000      	-         	484.982   	473.616   	9982.35   	
76.6712   	5000      	-         	462.148   	451.316   	9506.47   	
80.835    	5000      	-         	438.845   	428.56    	9021.33   	
85.2068   	5000      	-         	415.05    	405.323   	8526.56   	
89.8132   	5000      	-         	390.741   	381.583   	8021.81   	
94.687    	5000      	-         	365.895   	357.32    	7506.79   	
99.8681   	5000      	-         	340.496   	332.516   	6981.21   	
100       	5000      	-         	339.837   	331.872   	6967.59   	
