Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	1000	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 1	1011.48	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 2	1022.96	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 3	1034.44	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 4	1045.92	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 5	1057.4	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 6	1068.88	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 7	1080.36	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 8	1091.85	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 9	1103.33	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 10	1114.81	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 11	1126.29	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 12	1137.77	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 13	1149.25	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 14	1160.73	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 15	1172.21	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 16	1183.69	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 17	1195.17	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 18	1206.65	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 19	1218.13	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 20	1229.61	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 21	1241.09	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 22	1252.58	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 23	1264.06	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 24	1275.54	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 25	1287.02	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 26	1298.5	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 27	1309.98	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 28	1321.46	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 29	1332.94	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 30	1344.42	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 31	1355.9	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 32	1367.38	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
Seg 33	1378.86	76.33	4.74804	2.56978	0.119516	2.05874	0.54123	0.0251717	0.433598
