 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	
day	psi	F	**	**	**	
         0	   2663.82	       615	5.20634e+008	1.28718e+010	1.82714e+010	
       0.1	   2663.78	    614.97	5.20619e+008	1.28718e+010	1.82713e+010	
  0.198839	   2663.74	   614.946	5.20602e+008	1.28718e+010	1.82713e+010	
  0.313422	   2663.69	   614.924	5.20581e+008	1.28718e+010	1.82712e+010	
  0.454344	   2663.63	   614.904	5.20555e+008	1.28718e+010	1.82711e+010	
  0.639012	   2663.56	   614.886	5.20519e+008	1.28718e+010	1.82709e+010	
  0.895322	   2663.45	   614.869	5.2047e+008	1.28718e+010	1.82708e+010	
   1.26791	    2663.3	   614.853	5.20399e+008	1.28718e+010	1.82705e+010	
   1.81506	   2663.08	   614.837	5.20298e+008	1.28718e+010	1.82701e+010	
   2.62589	   2662.77	    614.82	5.20153e+008	1.28717e+010	1.82696e+010	
   3.83619	   2662.31	   614.802	5.19945e+008	1.28717e+010	1.82687e+010	
   5.65308	   2661.66	   614.782	5.19648e+008	1.28717e+010	1.82675e+010	
   8.39086	   2660.73	   614.758	5.19226e+008	1.28716e+010	1.82656e+010	
   12.5498	   2659.38	    614.73	5.1863e+008	1.28715e+010	1.82628e+010	
   18.8962	   2657.47	   614.694	5.17799e+008	1.28713e+010	1.82584e+010	
        20	   2657.14	   614.688	5.17656e+008	1.28713e+010	1.82577e+010	
