Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	-         	2497.49   	124.455   	2444.77   	
0.198839  	1000      	-         	2809.1    	117.109   	2307.71   	
0.313422  	1000      	-         	3018.4    	111.445   	2205.34   	
0.454344  	1000      	-         	3138.83   	107.078   	2128.91   	
0.639012  	1000      	-         	3188.83   	103.76    	2073.37   	
0.895322  	1000      	-         	3183.51   	101.236   	2033.91   	
1.26791   	1000      	-         	3136.2    	99.2753   	2006.12   	
1.81506   	1000      	-         	3056.45   	97.7466   	1987.29   	
2.62589   	1000      	-         	2953.36   	96.5026   	1974.44   	
3.83619   	1000      	-         	2833.33   	95.4276   	1965.22   	
5.65308   	1000      	-         	2697.92   	94.4602   	1958.49   	
8.39086   	1000      	-         	2544.56   	93.5823   	1954.03   	
12.5498   	1000      	-         	2367.86   	92.7838   	1951.88   	
18.8962   	1000      	-         	2163.88   	92.022    	1951.23   	
20        	1000      	-         	2129.73   	91.8862   	1950.85   	
