Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4000      	70        	-38398.3  	0         	
0.316017  	4000      	70        	-37120.5  	0         	
0.450679  	4000      	70        	-36495.2  	0         	
0.777657  	4000      	70        	-35521.6  	0         	
1.56346   	4000      	70        	-34354.7  	0         	
2.10575   	4000      	70        	-33832.3  	0         	
3.03109   	4000      	70        	-33310.4  	0         	
3.68269   	4000      	70        	-33048    	0         	
4.1306    	4000      	70        	-32902.5  	0         	
4.44219   	4000      	70        	-32814.7  	0         	
4.663     	4000      	70        	-32758.2  	0         	
5.25407   	4000      	70        	-32636.9  	0         	
5.65674   	4000      	70        	-32565    	0         	
5.94491   	4000      	70        	-32518.2  	0         	
6.71616   	4000      	70        	-32417.8  	0         	
7.24463   	4000      	70        	-32357.9  	0         	
8.55385   	4000      	70        	-32246.7  	0         	
9.40745   	4000      	70        	-32185.6  	0         	
10.0046   	4000      	70        	-32147.7  	0         	
10.4202   	4000      	70        	-32123.4  	0         	
10.7138   	4000      	70        	-32107.2  	0         	
10.9227   	4000      	70        	-32096.1  	0         	
11.5172   	4000      	70        	-32067.9  	0         	
11.9334   	4000      	70        	-32049.6  	0         	
13.0619   	4000      	70        	-32008.8  	0         	
13.8384   	4000      	70        	-31984    	0         	
15.8928   	4000      	70        	-31936.3  	0         	
17.2467   	4000      	70        	-31910.9  	0         	
18.2065   	4000      	70        	-31895.5  	0         	
18.8668   	4000      	70        	-31886.2  	0         	
19.3272   	4000      	70        	-31880.2  	0         	
20.6386   	4000      	70        	-31867    	0         	
21.5548   	4000      	70        	-31859.4  	0         	
24.0843   	4000      	70        	-31848.1  	0         	
25.8029   	4000      	70        	-31843.8  	0         	
30.2604   	4000      	70        	-31851    	0         	
33.3057   	4000      	70        	-31862.6  	0         	
41.1506   	4000      	70        	-31922.9  	0         	
46.108    	4000      	70        	-31970    	0         	
58.3321   	4000      	70        	-32106.6  	0         	
66.2448   	4000      	70        	-32201.4  	0         	
72.0207   	4000      	70        	-32273.3  	0         	
75.792    	4000      	70        	-32321.1  	0         	
78.3075   	4000      	70        	-32353.3  	0         	
85.0705   	4000      	70        	-32440.5  	0         	
89.6385   	4000      	70        	-32499.7  	0         	
101.332   	4000      	70        	-32645.6  	0         	
108.592   	4000      	70        	-32734.8  	0         	
113.471   	4000      	70        	-32795.3  	0         	
126.079   	4000      	70        	-32939.9  	0         	
133.536   	4000      	70        	-33025.2  	0         	
150.684   	4000      	70        	-33213.9  	0         	
160.756   	4000      	70        	-33322.1  	0         	
167.103   	4000      	70        	-33385.7  	0         	
171.147   	4000      	70        	-33425.6  	0         	
173.923   	4000      	70        	-33452.9  	0         	
175.795   	4000      	70        	-33471    	0         	
177.042   	4000      	70        	-33483    	0         	
180.648   	4000      	70        	-33516.5  	0         	
183       	4000      	70        	-33538.1  	0         	
184.678   	4000      	70        	-33553.2  	0         	
185.812   	4000      	70        	-33563.3  	0         	
189.063   	4000      	70        	-33592.1  	0         	
191.261   	4000      	70        	-33611.5  	0         	
192.731   	4000      	70        	-33624.4  	0         	
193.728   	4000      	70        	-33633.1  	0         	
196.618   	4000      	70        	-33658.8  	0         	
204.506   	4000      	70        	-33728.8  	0         	
209.511   	4000      	70        	-33773.9  	0         	
222.221   	4000      	70        	-33882.9  	0         	
230.503   	4000      	70        	-33953.6  	0         	
236.467   	4000      	70        	-34000.8  	0         	
240.341   	4000      	70        	-34031    	0         	
242.785   	4000      	70        	-34049.6  	0         	
244.428   	4000      	70        	-34061.6  	0         	
245.503   	4000      	70        	-34069.4  	0         	
248.632   	4000      	70        	-34091.5  	0         	
250.7     	4000      	70        	-34106.2  	0         	
256.427   	4000      	70        	-34144.3  	0         	
260.163   	4000      	70        	-34168.8  	0         	
262.661   	4000      	70        	-34185.5  	0         	
269.567   	4000      	70        	-34228.4  	0         	
274.04    	4000      	70        	-34255.9  	0         	
276.95    	4000      	70        	-34274    	0         	
278.865   	4000      	70        	-34286.1  	0         	
284.215   	4000      	70        	-34321.6  	0         	
288.063   	4000      	70        	-34347.9  	0         	
290.521   	4000      	70        	-34365.2  	0         	
297.326   	4000      	70        	-34414.1  	0         	
301.883   	4000      	70        	-34446.3  	0         	
305.176   	4000      	70        	-34469.8  	0         	
314.137   	4000      	70        	-34533    	0         	
319.711   	4000      	70        	-34568.9  	0         	
323.39    	4000      	70        	-34591.2  	0         	
325.794   	4000      	70        	-34605.8  	0         	
332.506   	4000      	70        	-34646.7  	0         	
336.876   	4000      	70        	-34671.4  	0         	
339.706   	4000      	70        	-34687.4  	0         	
347.444   	4000      	70        	-34729.5  	0         	
352.485   	4000      	70        	-34755.8  	0         	
355.788   	4000      	70        	-34773.6  	0         	
364.831   	4000      	70        	-34820.4  	0         	
370.519   	4000      	70        	-34848.3  	0         	
374.197   	4000      	70        	-34866.4  	0         	
376.58    	4000      	70        	-34877.8  	0         	
378.127   	4000      	70        	-34885.2  	0         	
382.543   	4000      	70        	-34906.7  	0         	
385.74    	4000      	70        	-34923.1  	0         	
394.476   	4000      	70        	-34967.3  	0         	
399.829   	4000      	70        	-34993.7  	0         	
403.186   	4000      	70        	-35009.5  	0         	
405.39    	4000      	70        	-35020.1  	0         	
411.636   	4000      	70        	-35052.9  	0         	
427.752   	4000      	70        	-35136.7  	0         	
438.482   	4000      	70        	-35194.9  	0         	
458.482   	4000      	70        	-35304.9  	0         	
478.482   	4000      	70        	-35406.1  	0         	
489.395   	4000      	70        	-35461.1  	0         	
509.395   	4000      	70        	-35556.1  	0         	
525.153   	4000      	70        	-35626.4  	0         	
536.493   	4000      	70        	-35677    	0         	
556.493   	4000      	70        	-35758.1  	0         	
570.842   	4000      	70        	-35816.4  	0         	
590.842   	4000      	70        	-35895.7  	0         	
610.842   	4000      	70        	-35971.5  	0         	
630.842   	4000      	70        	-36043.6  	0         	
650.842   	4000      	70        	-36112.3  	0         	
670.842   	4000      	70        	-36178.3  	0         	
690.842   	4000      	70        	-36240.3  	0         	
710.842   	4000      	70        	-36299.1  	0         	
730.842   	4000      	70        	-36355.6  	0         	
750.842   	4000      	70        	-36411    	0         	
770.842   	4000      	70        	-36466.9  	0         	
790.842   	4000      	70        	-36519.5  	0         	
810.842   	4000      	70        	-36571.7  	0         	
830.842   	4000      	70        	-36621    	0         	
850.842   	4000      	70        	-36668.3  	0         	
870.842   	4000      	70        	-36713.9  	0         	
890.842   	4000      	70        	-36754.9  	0         	
910.842   	4000      	70        	-36796.3  	0         	
930.842   	4000      	70        	-36833.8  	0         	
950.842   	4000      	70        	-36868.4  	0         	
970.842   	4000      	70        	-36902.9  	0         	
980.842   	4000      	70        	-36919.6  	0         	
982.806   	4000      	70        	-36922.8  	0         	
983.085   	4000      	70        	-36923.3  	0         	
983.571   	4000      	70        	-36924.1  	0         	
984.254   	4000      	70        	-36925.2  	0         	
985.342   	4000      	70        	-36927.1  	0         	
987.564   	4000      	70        	-36931.1  	0         	
991.964   	4000      	70        	-36938.9  	0         	
1003.85   	4000      	70        	-36957.9  	0         	
1023.85   	4000      	70        	-36986.6  	0         	
1043.85   	4000      	70        	-37017.6  	0         	
1052.79   	4000      	70        	-37030.6  	0         	
1072.79   	4000      	70        	-37057.1  	0         	
1092.79   	4000      	70        	-37082.2  	0         	
1112.79   	4000      	70        	-37108.6  	0         	
1132.72   	4000      	70        	-37131.6  	0         	
1152.72   	4000      	70        	-37152.4  	0         	
1172.72   	4000      	70        	-37173    	0         	
1180      	4000      	70        	-37180.2  	0         	
1198.28   	4000      	70        	-37197.3  	0         	
1218.28   	4000      	70        	-37216.3  	0         	
1238.28   	4000      	70        	-37234.3  	0         	
1258.28   	4000      	70        	-37251.1  	0         	
1278.28   	4000      	70        	-37268.4  	0         	
1296.49   	4000      	70        	-37284.5  	0         	
1303.02   	4000      	70        	-37290    	0         	
1317.56   	4000      	70        	-37301.5  	0         	
1321.95   	4000      	70        	-37304.9  	0         	
1330.98   	4000      	70        	-37312.7  	0         	
1342.41   	4000      	70        	-37321.7  	0         	
1362.41   	4000      	70        	-37335.2  	0         	
1382.41   	4000      	70        	-37347.6  	0         	
1400      	4000      	70        	-37357.9  	0         	
