Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	67510.8   	2950.1    	
0.316017  	1000      	70        	43898     	1944.85   	
0.450679  	1000      	70        	42618.8   	1910.78   	
0.777657  	1000      	70        	42541.2   	1927.05   	
1.56346   	1000      	70        	41881.7   	1912.14   	
2.10575   	1000      	70        	41411.8   	1893.47   	
3.03109   	1000      	70        	40783     	1871.72   	
3.68269   	1000      	70        	40414.2   	1860.95   	
4.1306    	1000      	70        	40186.4   	1855.31   	
4.44219   	1000      	70        	40037.6   	1852.07   	
4.663     	1000      	70        	39936.8   	1850.1    	
5.25407   	1000      	70        	39687.6   	1846.35   	
5.65674   	1000      	70        	39527.2   	1844.37   	
5.94491   	1000      	70        	39417.1   	1843.25   	
6.71616   	1000      	70        	39151.7   	1842.15   	
7.24463   	1000      	70        	38981.6   	1842      	
8.55385   	1000      	70        	38616.5   	1844.32   	
9.40745   	1000      	70        	38398.6   	1846.51   	
10.0046   	1000      	70        	38255.1   	1848.3    	
10.4202   	1000      	70        	38170.4   	1850.56   	
10.7138   	1000      	70        	38113.8   	1852.29   	
10.9227   	1000      	70        	38074.3   	1853.51   	
11.5172   	1000      	70        	37968     	1857.04   	
11.9334   	1000      	70        	37896.3   	1859.47   	
13.0619   	1000      	70        	37720.9   	1866.06   	
13.8384   	1000      	70        	37608     	1870.5    	
15.8928   	1000      	70        	37357     	1881.41   	
17.2467   	1000      	70        	37209.1   	1887.99   	
18.2065   	1000      	70        	37112.5   	1892.34   	
18.8668   	1000      	70        	37049.8   	1895.16   	
19.3272   	1000      	70        	37007.8   	1897.05   	
20.6386   	1000      	70        	36900.7   	1901.7    	
21.5548   	1000      	70        	36831.5   	1904.57   	
24.0843   	1000      	70        	36673.9   	1909.22   	
25.8029   	1000      	70        	36580.8   	1910.88   	
30.2604   	1000      	70        	36416.3   	1907.08   	
33.3057   	1000      	70        	36334.6   	1901.08   	
41.1506   	1000      	70        	36245.8   	1871.63   	
46.108    	1000      	70        	36229.4   	1849.51   	
58.3321   	1000      	70        	36265.8   	1790.05   	
66.2448   	1000      	70        	36309.1   	1753.7    	
72.0207   	1000      	70        	36344.3   	1729.48   	
75.792    	1000      	70        	36384.8   	1715.91   	
78.3075   	1000      	70        	36413.5   	1707.4    	
85.0705   	1000      	70        	36478.3   	1687.48   	
89.6385   	1000      	70        	36516.9   	1675.47   	
101.332   	1000      	70        	36579.2   	1652.39   	
108.592   	1000      	70        	36606.8   	1640.58   	
113.471   	1000      	70        	36622     	1633.52   	
126.079   	1000      	70        	36638.6   	1618.57   	
133.536   	1000      	70        	36645.1   	1610.95   	
150.684   	1000      	70        	36641.8   	1598.14   	
160.756   	1000      	70        	36634.6   	1591.98   	
167.103   	1000      	70        	36627.2   	1588.49   	
171.147   	1000      	70        	36621.6   	1586.44   	
173.923   	1000      	70        	36617.4   	1585.1    	
175.795   	1000      	70        	36614.4   	1584.24   	
177.042   	1000      	70        	36612.3   	1583.67   	
180.648   	1000      	70        	36605.6   	1582.13   	
183       	1000      	70        	36600.9   	1581.16   	
184.678   	1000      	70        	36597.4   	1580.48   	
185.812   	1000      	70        	36594.9   	1580.03   	
189.063   	1000      	70        	36587.5   	1578.81   	
191.261   	1000      	70        	36582.3   	1578.01   	
192.731   	1000      	70        	36578.7   	1577.5    	
193.728   	1000      	70        	36576.3   	1577.16   	
