 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
0	3000	1	0	3007.195	1	0	
0.1	3021.286	1	0	2968.317	1	0	
0.3160174	3051.436	1	0	2944.122	0.624856	0.375144	
0.4506793	3066.558	1	0	2931.316	0.6013047	0.3986953	
0.7776575	3091.322	1	0	2906.843	0.5776233	0.4223767	
1.563465	3124.373	1	0	2855.618	0.5541972	0.4458028	
2.105751	3140.554	1	0	2828.487	0.5464599	0.4535401	
3.031091	3159.135	1	0	2795.412	0.5374682	0.4625318	
3.682694	3169.489	1	0	2777.293	0.5325262	0.4674738	
4.130602	3175.659	1	0	2766.509	0.5294767	0.4705233	
4.442195	3179.577	1	0	2759.626	0.5274743	0.4725257	
4.663004	3182.189	1	0	2755.037	0.5261039	0.4738961	
5.254066	3188.288	1	0	2743.958	0.5225848	0.4774152	
5.65674	3192.099	1	0	2736.996	0.5203157	0.4796843	
5.944908	3194.67	1	0	2732.298	0.5187455	0.4812545	
6.716156	3200.679	1	0	2721.293	0.5147323	0.4852677	
7.244626	3204.45	1	0	2714.429	0.5121318	0.4878682	
8.553848	3212.213	1	0	2700.279	0.506202	0.493798	
9.407455	3216.719	1	0	2692.127	0.5026347	0.4973653	
10.00464	3219.629	1	0	2686.872	0.500263	0.499737	
10.42015	3221.545	1	0	2683.413	0.4986771	0.5013229	
10.71379	3222.848	1	0	2681.06	0.4975876	0.5024124	
10.92273	3223.75	1	0	2679.429	0.4968276	0.5031724	
11.51715	3226.132	1	0	2675.093	0.494759	0.505241	
11.93344	3227.716	1	0	2672.2	0.4933659	0.5066341	
13.0619	3231.481	1	0	2665.249	0.4898818	0.5101182	
13.83839	3233.849	1	0	2660.866	0.4876394	0.5123606	
15.89283	3238.876	1	0	2651.371	0.4825468	0.5174532	
17.24669	3241.733	1	0	2645.918	0.4795809	0.5204191	
18.20655	3243.553	1	0	2642.411	0.4776583	0.5223417	
18.86678	3244.714	1	0	2640.153	0.4764186	0.5235814	
19.3272	3245.481	1	0	2638.65	0.4755934	0.5244066	
20.63858	3247.371	1	0	2634.838	0.4735346	0.5264654	
21.55475	3248.562	1	0	2632.392	0.4722428	0.5277572	
24.08434	3251.066	1	0	2626.783	0.4696835	0.5303165	
25.80289	3252.468	1	0	2623.447	0.4683925	0.5316075	
30.2604	3254.676	1	0	2617.227	0.4674068	0.5325932	
33.30572	3255.671	1	0	2613.909	0.4676927	0.5323073	
41.15059	3256.223	1	0	2608.9	0.472284	0.527716	
46.10796	3256.021	1	0	2606.913	0.4762314	0.5237686	
