Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4000      	70        	-38398.3  	0         	
0.316016  	4000      	70        	-37120.6  	0         	
0.450678  	4000      	70        	-36495.2  	0         	
0.777655  	4000      	70        	-35521.7  	0         	
1.56346   	4000      	70        	-34354.7  	0         	
2.10574   	4000      	70        	-33832.3  	0         	
3.03109   	4000      	70        	-33310.5  	0         	
3.6827    	4000      	70        	-33048    	0         	
4.13061   	4000      	70        	-32902.5  	0         	
4.4422    	4000      	70        	-32814.7  	0         	
4.663     	4000      	70        	-32758.2  	0         	
5.25406   	4000      	70        	-32636.9  	0         	
5.65673   	4000      	70        	-32565    	0         	
5.94489   	4000      	70        	-32518.2  	0         	
6.71612   	4000      	70        	-32417.8  	0         	
7.24458   	4000      	70        	-32357.9  	0         	
8.55379   	4000      	70        	-32246.7  	0         	
9.40738   	4000      	70        	-32185.7  	0         	
10.0046   	4000      	70        	-32147.7  	0         	
10.4201   	4000      	70        	-32123.4  	0         	
10.7137   	4000      	70        	-32107.2  	0         	
10.9226   	4000      	70        	-32096.1  	0         	
11.517    	4000      	70        	-32068    	0         	
11.9333   	4000      	70        	-32049.7  	0         	
13.0618   	4000      	70        	-32008.8  	0         	
13.8382   	4000      	70        	-31984    	0         	
15.8926   	4000      	70        	-31936.3  	0         	
17.2464   	4000      	70        	-31910.9  	0         	
18.2063   	4000      	70        	-31895.6  	0         	
18.8665   	4000      	70        	-31886.2  	0         	
19.3269   	4000      	70        	-31880.2  	0         	
20.6382   	4000      	70        	-31867    	0         	
21.5544   	4000      	70        	-31859.4  	0         	
24.0839   	4000      	70        	-31848.1  	0         	
25.8024   	4000      	70        	-31843.8  	0         	
30.2598   	4000      	70        	-31851    	0         	
33.3051   	4000      	70        	-31862.6  	0         	
41.1498   	4000      	70        	-31922.9  	0         	
46.107    	4000      	70        	-31970    	0         	
58.3309   	4000      	70        	-32106.6  	0         	
66.2434   	4000      	70        	-32201.4  	0         	
72.0192   	4000      	70        	-32273.3  	0         	
75.7905   	4000      	70        	-32321    	0         	
78.306    	4000      	70        	-32353.3  	0         	
85.0689   	4000      	70        	-32440.5  	0         	
89.6368   	4000      	70        	-32499.7  	0         	
101.33    	4000      	70        	-32645.6  	0         	
108.59    	4000      	70        	-32734.8  	0         	
113.469   	4000      	70        	-32795.3  	0         	
126.077   	4000      	70        	-32939.9  	0         	
133.534   	4000      	70        	-33025.2  	0         	
150.682   	4000      	70        	-33213.9  	0         	
160.754   	4000      	70        	-33322.1  	0         	
167.101   	4000      	70        	-33385.7  	0         	
171.145   	4000      	70        	-33425.6  	0         	
173.921   	4000      	70        	-33452.9  	0         	
175.793   	4000      	70        	-33471    	0         	
177.04    	4000      	70        	-33483    	0         	
180.647   	4000      	70        	-33516.5  	0         	
182.998   	4000      	70        	-33538.1  	0         	
184.676   	4000      	70        	-33553.2  	0         	
185.81    	4000      	70        	-33563.3  	0         	
189.061   	4000      	70        	-33592.1  	0         	
191.26    	4000      	70        	-33611.5  	0         	
192.73    	4000      	70        	-33624.4  	0         	
193.727   	4000      	70        	-33633.1  	0         	
196.616   	4000      	70        	-33658.8  	0         	
204.505   	4000      	70        	-33728.8  	0         	
209.51    	4000      	70        	-33773.9  	0         	
222.22    	4000      	70        	-33882.9  	0         	
230.502   	4000      	70        	-33953.6  	0         	
236.466   	4000      	70        	-34000.8  	0         	
240.341   	4000      	70        	-34031    	0         	
242.784   	4000      	70        	-34049.6  	0         	
244.427   	4000      	70        	-34061.6  	0         	
245.502   	4000      	70        	-34069.4  	0         	
248.631   	4000      	70        	-34091.5  	0         	
250.699   	4000      	70        	-34106.2  	0         	
256.426   	4000      	70        	-34144.3  	0         	
260.162   	4000      	70        	-34168.8  	0         	
262.66    	4000      	70        	-34185.5  	0         	
269.566   	4000      	70        	-34228.4  	0         	
274.039   	4000      	70        	-34255.9  	0         	
276.949   	4000      	70        	-34274    	0         	
278.864   	4000      	70        	-34286.1  	0         	
284.214   	4000      	70        	-34321.6  	0         	
288.062   	4000      	70        	-34347.9  	0         	
290.52    	4000      	70        	-34365.2  	0         	
297.325   	4000      	70        	-34414.1  	0         	
301.882   	4000      	70        	-34446.3  	0         	
305.175   	4000      	70        	-34469.8  	0         	
314.136   	4000      	70        	-34533    	0         	
319.71    	4000      	70        	-34568.9  	0         	
323.389   	4000      	70        	-34591.2  	0         	
325.793   	4000      	70        	-34605.8  	0         	
332.505   	4000      	70        	-34646.7  	0         	
336.875   	4000      	70        	-34671.4  	0         	
339.704   	4000      	70        	-34687.4  	0         	
347.443   	4000      	70        	-34729.5  	0         	
352.483   	4000      	70        	-34755.8  	0         	
355.786   	4000      	70        	-34773.6  	0         	
364.829   	4000      	70        	-34820.4  	0         	
370.518   	4000      	70        	-34848.3  	0         	
374.196   	4000      	70        	-34866.4  	0         	
376.578   	4000      	70        	-34877.8  	0         	
378.125   	4000      	70        	-34885.2  	0         	
382.542   	4000      	70        	-34906.7  	0         	
385.739   	4000      	70        	-34923.1  	0         	
394.474   	4000      	70        	-34967.3  	0         	
399.827   	4000      	70        	-34993.6  	0         	
403.184   	4000      	70        	-35009.5  	0         	
405.389   	4000      	70        	-35020.1  	0         	
411.634   	4000      	70        	-35052.9  	0         	
427.75    	4000      	70        	-35136.7  	0         	
438.48    	4000      	70        	-35194.9  	0         	
458.48    	4000      	70        	-35304.9  	0         	
478.48    	4000      	70        	-35406.1  	0         	
489.393   	4000      	70        	-35461.1  	0         	
509.393   	4000      	70        	-35556.1  	0         	
525.152   	4000      	70        	-35626.4  	0         	
536.491   	4000      	70        	-35677    	0         	
556.491   	4000      	70        	-35758.1  	0         	
570.84    	4000      	70        	-35816.4  	0         	
590.84    	4000      	70        	-35895.7  	0         	
610.84    	4000      	70        	-35971.5  	0         	
630.84    	4000      	70        	-36043.6  	0         	
650.84    	4000      	70        	-36112.3  	0         	
670.84    	4000      	70        	-36178.3  	0         	
690.84    	4000      	70        	-36240.3  	0         	
710.84    	4000      	70        	-36299.1  	0         	
730.84    	4000      	70        	-36355.6  	0         	
750.84    	4000      	70        	-36411    	0         	
770.84    	4000      	70        	-36466.9  	0         	
790.84    	4000      	70        	-36519.5  	0         	
810.84    	4000      	70        	-36571.7  	0         	
830.84    	4000      	70        	-36621    	0         	
850.84    	4000      	70        	-36668.3  	0         	
870.84    	4000      	70        	-36713.9  	0         	
890.84    	4000      	70        	-36754.9  	0         	
910.84    	4000      	70        	-36796.3  	0         	
930.84    	4000      	70        	-36833.8  	0         	
950.84    	4000      	70        	-36868.4  	0         	
970.84    	4000      	70        	-36902.9  	0         	
980.84    	4000      	70        	-36919.6  	0         	
982.805   	4000      	70        	-36922.8  	0         	
983.365   	4000      	70        	-36923.7  	0         	
984.089   	4000      	70        	-36924.9  	0         	
984.726   	4000      	70        	-36926    	0         	
986.612   	4000      	70        	-36929.4  	0         	
992.039   	4000      	70        	-36939.1  	0         	
1006.41   	4000      	70        	-36961.7  	0         	
1026.41   	4000      	70        	-36990.4  	0         	
1027.66   	4000      	70        	-36992.2  	0         	
1030.12   	4000      	70        	-36996.1  	0         	
1031.11   	4000      	70        	-36997.7  	0         	
1034.03   	4000      	70        	-37002.7  	0         	
1042.35   	4000      	70        	-37015.8  	0         	
1062.35   	4000      	70        	-37043.4  	0         	
1082.35   	4000      	70        	-37069.3  	0         	
1102.35   	4000      	70        	-37094.6  	0         	
1122.35   	4000      	70        	-37119.9  	0         	
1142.35   	4000      	70        	-37141.8  	0         	
1162.35   	4000      	70        	-37162.2  	0         	
1182.35   	4000      	70        	-37182.3  	0         	
1189.29   	4000      	70        	-37189.1  	0         	
1206.31   	4000      	70        	-37204.7  	0         	
1226.31   	4000      	70        	-37224.2  	0         	
1246.31   	4000      	70        	-37241.4  	0         	
1266.31   	4000      	70        	-37258.7  	0         	
1279.95   	4000      	70        	-37270.3  	0         	
1299.95   	4000      	70        	-37287.5  	0         	
1306.99   	4000      	70        	-37293.3  	0         	
1321.11   	4000      	70        	-37304.4  	0         	
1325.24   	4000      	70        	-37307.7  	0         	
1333.22   	4000      	70        	-37314.5  	0         	
1345.66   	4000      	70        	-37324.1  	0         	
1365.66   	4000      	70        	-37337.3  	0         	
1385.66   	4000      	70        	-37349.6  	0         	
1400      	4000      	70        	-37358    	0         	
