Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	67510.8   	2950.1    	
0.316016  	1000      	70        	43898     	1944.85   	
0.450678  	1000      	70        	42618.8   	1910.78   	
0.777655  	1000      	70        	42541.2   	1927.05   	
1.56346   	1000      	70        	41881.7   	1912.14   	
2.10574   	1000      	70        	41411.8   	1893.47   	
3.03109   	1000      	70        	40782.9   	1871.72   	
3.6827    	1000      	70        	40414.2   	1860.95   	
4.13061   	1000      	70        	40186.4   	1855.31   	
4.4422    	1000      	70        	40037.6   	1852.07   	
4.663     	1000      	70        	39936.8   	1850.1    	
5.25406   	1000      	70        	39687.6   	1846.35   	
5.65673   	1000      	70        	39527.2   	1844.37   	
5.94489   	1000      	70        	39417.1   	1843.25   	
6.71612   	1000      	70        	39151.7   	1842.15   	
7.24458   	1000      	70        	38981.6   	1842      	
8.55379   	1000      	70        	38616.5   	1844.32   	
9.40738   	1000      	70        	38398.6   	1846.51   	
10.0046   	1000      	70        	38255.1   	1848.3    	
10.4201   	1000      	70        	38170.4   	1850.56   	
10.7137   	1000      	70        	38113.8   	1852.28   	
10.9226   	1000      	70        	38074.3   	1853.51   	
11.517    	1000      	70        	37968.1   	1857.04   	
11.9333   	1000      	70        	37896.4   	1859.47   	
13.0618   	1000      	70        	37720.9   	1866.06   	
13.8382   	1000      	70        	37608     	1870.5    	
15.8926   	1000      	70        	37357     	1881.41   	
17.2464   	1000      	70        	37209.1   	1887.99   	
18.2063   	1000      	70        	37112.6   	1892.33   	
18.8665   	1000      	70        	37049.8   	1895.16   	
19.3269   	1000      	70        	37007.8   	1897.05   	
20.6382   	1000      	70        	36900.7   	1901.7    	
21.5544   	1000      	70        	36831.5   	1904.57   	
24.0839   	1000      	70        	36673.9   	1909.22   	
25.8024   	1000      	70        	36580.8   	1910.88   	
30.2598   	1000      	70        	36416.3   	1907.08   	
33.3051   	1000      	70        	36334.6   	1901.08   	
41.1498   	1000      	70        	36245.8   	1871.63   	
46.107    	1000      	70        	36229.4   	1849.51   	
58.3309   	1000      	70        	36265.8   	1790.06   	
66.2434   	1000      	70        	36309.1   	1753.7    	
72.0192   	1000      	70        	36344.2   	1729.48   	
75.7905   	1000      	70        	36384.8   	1715.91   	
78.306    	1000      	70        	36413.4   	1707.41   	
85.0689   	1000      	70        	36478.3   	1687.49   	
89.6368   	1000      	70        	36516.9   	1675.48   	
101.33    	1000      	70        	36579.2   	1652.39   	
108.59    	1000      	70        	36606.8   	1640.58   	
113.469   	1000      	70        	36622     	1633.52   	
126.077   	1000      	70        	36638.5   	1618.58   	
133.534   	1000      	70        	36645.1   	1610.95   	
150.682   	1000      	70        	36641.8   	1598.14   	
160.754   	1000      	70        	36634.6   	1591.98   	
167.101   	1000      	70        	36627.2   	1588.49   	
171.145   	1000      	70        	36621.6   	1586.44   	
173.921   	1000      	70        	36617.4   	1585.1    	
175.793   	1000      	70        	36614.4   	1584.24   	
177.04    	1000      	70        	36612.3   	1583.67   	
180.647   	1000      	70        	36605.6   	1582.13   	
182.998   	1000      	70        	36600.9   	1581.16   	
184.676   	1000      	70        	36597.4   	1580.48   	
185.81    	1000      	70        	36594.9   	1580.03   	
189.061   	1000      	70        	36587.5   	1578.81   	
191.26    	1000      	70        	36582.3   	1578.01   	
192.73    	1000      	70        	36578.7   	1577.5    	
193.727   	1000      	70        	36576.3   	1577.16   	
